"Stage_Normal_0001_01","Chapter_Normal_001","1","",""
"Stage_Normal_0001_02","Chapter_Normal_001","2","StageClear","Stage_Normal_0001"
"Stage_Normal_0001_03","Chapter_Normal_001","3","StageClear","Stage_Normal_0002"
"Stage_Normal_0001_04","Chapter_Normal_001","4","StageClear","Stage_Normal_0003"
"Stage_Normal_0001_05","Chapter_Normal_001","5","StageClear","Stage_Normal_0004"
"Stage_Normal_0001_06","Chapter_Normal_001","6","StageClear","Stage_Normal_0005"
"Stage_Normal_0001_07","Chapter_Normal_001","7","StageClear","Stage_Normal_0006"
"Stage_Hard_0001_01","Chapter_Hard_001","1","StageClear",""
"Stage_Hard_0001_02","Chapter_Hard_001","2","StageClear","Stage_Hard_0001"
"Stage_Hard_0001_03","Chapter_Hard_001","3","StageClear","Stage_Hard_0002"
