"Skill_C_001_01_B_AtkM_01","Skill_C_001_01_B_AtkM_01","Skill_C_001_01_B_AtkM","1","","Circle","0.1","0","Socket","","Straight","","UseTarget","Center","Enemy","Closest","AnyTime","1","1","Move","20","CrashComplete","","",""
"Skill_C_001_01_Prologue_AtkM_01","Skill_C_001_01_Prologue_AtkM_01","Skill_C_001_01_Prologue_AtkM","1","","Circle","0.1","0","Socket","","Straight","","UseTarget","Center","Enemy","Closest","AnyTime","1","1","Move","20","CrashComplete","","",""
"Skill_C_002_01_R_AtkM_01","Skill_C_002_01_R_AtkM_01","Skill_C_002_01_R_AtkM","1","","RectForward","4.6","1.5","CharacterForward","","Stop","","","","Enemy","Closest","OnCreate","","1","KeepTimeEnd","0.033333","CrashComplete","","",""
"Skill_C_002_01_R_LinkSkill_01_01","Skill_C_002_01_R_LinkSkill_01","Skill_C_002_01_R_LinkSkill_01","1","","RectForward","4.6","1.5","CharacterForward","","Stop","","","","Enemy","Closest","OnCreate","","1","Instant","","","","",""
"Skill_C_002_01_R_LinkSkill_01_02","Skill_C_002_01_R_LinkSkill_01","Skill_C_002_01_R_LinkSkill_02","1","","RectForward","4.6","1.5","CharacterForward","","Stop","","","","Enemy","Closest","OnCreate","","1","Instant","","","","",""
"Skill_C_002_01_R_LinkSkill_01_03","Skill_C_002_01_R_LinkSkill_01","Skill_C_002_01_R_LinkSkill_03","1","","RectForward","4.6","1.5","CharacterForward","","Stop","","","","Enemy","Closest","OnCreate","","1","Instant","","","","",""
"Skill_C_002_01_R_LinkSkill_01_04","Skill_C_002_01_R_LinkSkill_01","Skill_C_002_01_R_LinkSkill_04","1","","RectForward","4.6","1.5","CharacterForward","","Stop","","","","Enemy","Closest","OnCreate","","1","Instant","","","","",""
"Skill_C_002_01_R_ActiveSkill_01_01","Skill_C_002_01_R_ActiveSkill_01","Skill_C_002_01_R_ActiveSkill_01","1","","RectForward","4.6","1.5","CharacterForward","","Stop","","","","Enemy","Closest","OnCreate","","1","Instant","","","","",""
"Skill_C_002_01_R_ActiveSkill_01_02","Skill_C_002_01_R_ActiveSkill_01","Skill_C_002_01_R_ActiveSkill_02","1","","RectForward","4.6","1.5","CharacterForward","","Stop","","","","Enemy","Closest","OnCreate","","1","Instant","","","","",""
"Skill_C_002_01_R_ActiveSkill_01_03","Skill_C_002_01_R_ActiveSkill_01","Skill_C_002_01_R_ActiveSkill_03","1","","RectForward","4.6","1.5","CharacterForward","","Stop","","","","Enemy","Closest","OnCreate","","1","Instant","","","","",""
