"Account_Char_User","","","","",""
"Account_Char_001","Char_001","Dorothy","Str_Char_001_S01_B_Introduce","Str_Char_001_S01_B_Hashtag","Proflieimage_Char_001_S01_B"
"Account_Char_002","Char_002","Rygar","Str_Char_002_S01_R_Introduce","Str_Char_002_S01_R_Hashtag","Proflieimage_Char_002_S01_R"
"Account_Char_003","Char_003","Zenoa","Str_Char_003_S01_B_Introduce","Str_Char_003_S01_B_Hashtag","Proflieimage_Char_003_S01_B"
"Account_Char_005","Char_005","Avenir","Str_Char_005_S01_D_Introduce","Str_Char_005_S01_D_Hashtag","Proflieimage_Char_005_S01_D"
"Account_Char_006","Char_006","Seed","Str_Char_006_S01_G_Introduce","Str_Char_006_S01_G_Hashtag","Proflieimage_Char_006_S01_G"
"Account_Char_007","Char_007","Gamone","Str_Char_007_S01_D_Introduce","Str_Char_007_S01_D_Hashtag","Proflieimage_Char_007_S01_D"
"Account_Char_008","Char_008","Jerome","Str_Char_008_S01_B_Introduce","Str_Char_008_S02_B_Hashtag","Profileimage_Char_008_S02_B"
"Account_Char_009","Char_009","Trish","Str_Char_009_S01_G_Introduce","Str_Char_009_S01_G_Hashtag","Profileimage_Char_009_S01_G"
"Account_Char_010","Char_010","Esmeralda","Str_Char_010_S01_B_Introduce","Str_Char_010_S01_B_Hashtag","Proflieimage_Char_010_S01_B"
"Account_Char_011","Char_011","Ali","Str_Char_011_S01_R_Introduce","Str_Char_011_S01_R_Hashtag","Proflieimage_Char_011_S01_R"
"Account_Char_014","Char_014","Ingrid","Str_Char_014_S01_D_Introduce","Str_Char_014_S01_D_Hashtag","Proflieimage_Char_014_S01_D"
"Account_Char_015","Char_015","Drake","Str_Char_015_S01_B_Introduce","Str_Char_015_S01_B_Hashtag","Proflieimage_Char_015_S01_B"
"Account_Char_016","Char_016","Shrike","Str_Char_016_S01_B_Introduce","Str_Char_016_S02_B_Hashtag","Profileimage_Char_016_S02_B"
"Account_Char_017","Char_017","Glaze","Str_Char_017_S01_G_Introduce","Str_Char_017_S02_G_Hashtag","Profileimage_Char_017_S02_G"
"Account_Char_034","Char_034","Charlotte","Str_Char_034_S01_B_Introduce","Str_Char_034_S02_B_Hashtag","Profileimage_Char_034_S02_B"
"Account_Char_037","Char_037","Nina","Str_Char_037_S01_L_Introduce","Str_Char_037_S01_L_Hashtag","Profileimage_Char_037_S01_L"
"Account_Char_038","Char_038","Scheherazade","Str_Char_038_S01_L_Introduce","Str_Char_038_S01_L_Hashtag","Profileimage_Char_038_S01_L"
"Account_Char_039","Char_039","Enoxia","Str_Char_039_S01_G_Introduce","Str_Char_039_S01_G_Hashtag","Proflieimage_Char_039_S01_G"
