"Title_Default","Default","Str_UI_UserTitleName_Default","Assets/Data/Content/Achievement/Prefab/AchievementBasicElement.prefab","","","True","Mission_Title_Default"
"Title_UserLevel_01","UserLevel","Str_UI_UserTitleName_UserLevel_01","Assets/Data/Content/Achievement/Prefab/AchievementLevelElement.prefab","10Lv","","True","Mission_Title_UserLevel_01"
"Title_UserLevel_02","UserLevel","Str_UI_UserTitleName_UserLevel_02","Assets/Data/Content/Achievement/Prefab/AchievementLevelElement.prefab","20Lv","","True","Mission_Title_UserLevel_02"
"Title_UserLevel_03","UserLevel","Str_UI_UserTitleName_UserLevel_03","Assets/Data/Content/Achievement/Prefab/AchievementLevelElement.prefab","30Lv","","True","Mission_Title_UserLevel_03"
"Title_MainStory_001","MainStory","Str_UI_UserTitleName_MainStory_001","Assets/Data/Content/Achievement/Prefab/AchievementEpisodeElement.prefab","Episode_1","","True","Mission_Title_MainStory_001"
"Title_MainStory_002","MainStory","Str_UI_UserTitleName_MainStory_002","Assets/Data/Content/Achievement/Prefab/AchievementEpisodeElement.prefab","Episode_2","","True","Mission_Title_MainStory_002"
"Title_Adventure_001","Adventure","Str_UI_UserTitleName_Adventure_001","Assets/Data/Content/Achievement/Prefab/AchievementAdventureModeElement.prefab","Part_01","","True","Mission_Title_Adventure_001"
"Title_Adventure_002","Adventure","Str_UI_UserTitleName_Adventure_002","Assets/Data/Content/Achievement/Prefab/AchievementAdventureModeElement.prefab","Part_02","","True","Mission_Title_Adventure_002"
"Title_Adventure_003","Adventure","Str_UI_UserTitleName_Adventure_003","Assets/Data/Content/Achievement/Prefab/AchievementAdventureModeElement.prefab","Part_03","","True","Mission_Title_Adventure_003"
"Title_Adventure_004","Adventure","Str_UI_UserTitleName_Adventure_004","Assets/Data/Content/Achievement/Prefab/AchievementAdventureModeElement.prefab","Part_04","","True","Mission_Title_Adventure_004"
"Title_Adventure_005","Adventure","Str_UI_UserTitleName_Adventure_005","Assets/Data/Content/Achievement/Prefab/AchievementAdventureModeElement.prefab","Part_05","","False","Mission_Title_Adventure_005"
"Title_Hero_001_S01_01","Hero","Str_UI_UserTitleName_Hero_001_S01_01","Assets/Data/Content/Achievement/Prefab/AchievementHeroElement.prefab","6Lv","","True","Mission_Title_Hero_001_S01_01"
"Title_Hero_001_S01_02","Hero","Str_UI_UserTitleName_Hero_001_S01_02","Assets/Data/Content/Achievement/Prefab/AchievementHeroElement.prefab","12Lv","","True","Mission_Title_Hero_001_S01_02"
"Title_Hero_001_S01_03","Hero","Str_UI_UserTitleName_Hero_001_S01_03","Assets/Data/Content/Achievement/Prefab/AchievementHeroElement.prefab","18Lv","","True","Mission_Title_Hero_001_S01_03"
"Title_Hero_002_S01_01","Hero","Str_UI_UserTitleName_Hero_002_S01_01","Assets/Data/Content/Achievement/Prefab/AchievementHeroElement.prefab","6Lv","","True","Mission_Title_Hero_002_S01_01"
"Title_Hero_002_S01_02","Hero","Str_UI_UserTitleName_Hero_002_S01_02","Assets/Data/Content/Achievement/Prefab/AchievementHeroElement.prefab","12Lv","","True","Mission_Title_Hero_002_S01_02"
"Title_Hero_002_S01_03","Hero","Str_UI_UserTitleName_Hero_002_S01_03","Assets/Data/Content/Achievement/Prefab/AchievementHeroElement.prefab","18Lv","","True","Mission_Title_Hero_002_S01_03"
"Title_Hero_003_S01_01","Hero","Str_UI_UserTitleName_Hero_003_S01_01","Assets/Data/Content/Achievement/Prefab/AchievementHeroElement.prefab","6Lv","","True","Mission_Title_Hero_003_S01_01"
"Title_Hero_003_S01_02","Hero","Str_UI_UserTitleName_Hero_003_S01_02","Assets/Data/Content/Achievement/Prefab/AchievementHeroElement.prefab","12Lv","","True","Mission_Title_Hero_003_S01_02"
"Title_Hero_003_S01_03","Hero","Str_UI_UserTitleName_Hero_003_S01_03","Assets/Data/Content/Achievement/Prefab/AchievementHeroElement.prefab","18Lv","","True","Mission_Title_Hero_003_S01_03"
"Title_Hero_005_S01_01","Hero","Str_UI_UserTitleName_Hero_005_S01_01","Assets/Data/Content/Achievement/Prefab/AchievementHeroElement.prefab","6Lv","","True","Mission_Title_Hero_005_S01_01"
"Title_Hero_005_S01_02","Hero","Str_UI_UserTitleName_Hero_005_S01_02","Assets/Data/Content/Achievement/Prefab/AchievementHeroElement.prefab","12Lv","","True","Mission_Title_Hero_005_S01_02"
"Title_Hero_005_S01_03","Hero","Str_UI_UserTitleName_Hero_005_S01_03","Assets/Data/Content/Achievement/Prefab/AchievementHeroElement.prefab","18Lv","","True","Mission_Title_Hero_005_S01_03"
"Title_Hero_006_S01_01","Hero","Str_UI_UserTitleName_Hero_006_S01_01","Assets/Data/Content/Achievement/Prefab/AchievementHeroElement.prefab","6Lv","","True","Mission_Title_Hero_006_S01_01"
"Title_Hero_006_S01_02","Hero","Str_UI_UserTitleName_Hero_006_S01_02","Assets/Data/Content/Achievement/Prefab/AchievementHeroElement.prefab","12Lv","","True","Mission_Title_Hero_006_S01_02"
"Title_Hero_006_S01_03","Hero","Str_UI_UserTitleName_Hero_006_S01_03","Assets/Data/Content/Achievement/Prefab/AchievementHeroElement.prefab","18Lv","","True","Mission_Title_Hero_006_S01_03"
"Title_Hero_007_S01_01","Hero","Str_UI_UserTitleName_Hero_007_S01_01","Assets/Data/Content/Achievement/Prefab/AchievementHeroElement.prefab","6Lv","","True","Mission_Title_Hero_007_S01_01"
"Title_Hero_007_S01_02","Hero","Str_UI_UserTitleName_Hero_007_S01_02","Assets/Data/Content/Achievement/Prefab/AchievementHeroElement.prefab","12Lv","","True","Mission_Title_Hero_007_S01_02"
"Title_Hero_007_S01_03","Hero","Str_UI_UserTitleName_Hero_007_S01_03","Assets/Data/Content/Achievement/Prefab/AchievementHeroElement.prefab","18Lv","","True","Mission_Title_Hero_007_S01_03"
