"Inter_Cr_Info_0001","Inter_Cr_Info","Direct","Character_Info","Charactertab_Profile",""
"Inter_Cr_Info_Lv_0001","Inter_Cr_Info_Lv","Direct","Character_Info","Charactertab_Levelup",""
"Inter_Cr_Info_Lv_Dir_0001","Inter_Cr_Info_Lv_Dir","Direct","Character_Info","Charactertab_Levelup",""
"Inter_Cr_Info_Awake_0001","Inter_Cr_Info_Awake","Direct","Character_Info","Charactertab_Gradeawakeup",""
"Inter_Cr_Info_Awake_Dir_0001","Inter_Cr_Info_Awake_Dir","Direct","Character_Info","Charactertab_Gradeawakeup",""
"Inter_Cr_Info_Dir_0001","Inter_Cr_Info_Dir","Direct","Character_List","",""
"Inter_Cr_Info_Eq_0001","Inter_Cr_Info_Eq","Direct","Character_Info","",""
"Inter_Cr_Info_Eq_0002","Inter_Cr_Info_Eq","Direct","Characterinfo_Gearpopup","",""
"Inter_Cr_Info_Eq_Dir_0001","Inter_Cr_Info_Eq_Dir","Direct","Characterinfo_Gearpopup","",""
"Inter_Sum_0001","Inter_Sum","Direct","Summon_Gacha_Popup","",""
"Inter_Eq_Enc_0001","Inter_Eq_Enc","Direct","Blacksmith_Enchant_Popup","",""
"Inter_Eq_Enc_Dir_0001","Inter_Eq_Enc_Dir","Direct","Blacksmith_Enchant_Popup","",""
"Inter_Eq_Craft_0001","Inter_Eq_Craft","Direct","Blacksmith_Craft_Popup","",""
"Inter_Eq_Craft_Dir_0001","Inter_Eq_Craft_Dir","Direct","Blacksmith_Craft_Popup","",""
"Inter_Eq_Comp_0001","Inter_Eq_Comp","Direct","Blacksmith_Compose_Popup","",""
"Inter_Eq_Comp_Dir_0001","Inter_Eq_Comp_Dir","Direct","Blacksmith_Compose_Popup","",""
"Inter_Eq_Dis_0001","Inter_Eq_Dis","Direct","Blacksmith_Disassemble_Popup","",""
"Inter_Eq_Dis_Dir_0001","Inter_Eq_Dis_Dir","Direct","Blacksmith_Disassemble_Popup","",""
"Inter_Alch_Switch_0001","Inter_Alch_Switch","Direct","Alchemy_Popup","",""
"Inter_Alch_Switch_0002","Inter_Alch_Switch","Direct","Alchemy_Material_Change_Popup","",""
"Inter_Alch_Switch_Dir_0001","Inter_Alch_Switch_Dir","Direct","Alchemy_Material_Change_Popup","",""
"Inter_Stage_0001","Inter_Stage","Direct","Stage_Worldstage","","N_CT_001"
"Inter_Stage_Ch1_0001","Inter_Stage_Ch1_0001","Direct","Battle_Ready","","N_ST_001_001"
"Inter_Stage_Ch1_0002","Inter_Stage_Ch1_0002","Direct","Battle_Ready","","N_ST_001_002"
"Inter_Stage_Ch1_0003","Inter_Stage_Ch1_0003","Direct","Battle_Ready","","N_ST_001_003"
"Inter_Stage_Ch1_0004","Inter_Stage_Ch1_0004","Direct","Battle_Ready","","N_ST_001_004"
"Inter_Stage_Ch1_0005","Inter_Stage_Ch1_0005","Direct","Battle_Ready","","N_ST_001_005"
"Inter_Stage_Ch1_0006","Inter_Stage_Ch1_0006","Direct","Battle_Ready","","N_ST_001_006"
"Inter_Stage_Ch1_0007","Inter_Stage_Ch1_0007","Direct","Battle_Ready","","N_ST_001_007"
"Inter_Stage_Ch1_0008","Inter_Stage_Ch1_0008","Direct","Battle_Ready","","N_ST_001_008"
"Inter_Stage_Ch1_0009","Inter_Stage_Ch1_0009","Direct","Battle_Ready","","N_ST_001_009"
"Inter_Stage_Ch1_0010","Inter_Stage_Ch1_0010","Direct","Battle_Ready","","N_ST_001_010"
"Inter_Stage_Ch1_0011","Inter_Stage_Ch1_0011","Direct","Battle_Ready","","N_ST_001_011"
"Inter_Stage_Ch1_0012","Inter_Stage_Ch1_0012","Direct","Battle_Ready","","N_ST_001_012"
"Inter_Stage_Ch1_0013","Inter_Stage_Ch1_0013","Direct","Battle_Ready","","N_ST_001_013"
"Inter_Stage_Ch1_0014","Inter_Stage_Ch1_0014","Direct","Battle_Ready","","N_ST_001_014"
"Inter_Stage_Ch1_0015","Inter_Stage_Ch1_0015","Direct","Battle_Ready","","N_ST_001_015"
"Inter_Stage_Ch1_0016","Inter_Stage_Ch1_0016","Direct","Battle_Ready","","N_ST_001_016"
"Inter_Stage_Ch1_0017","Inter_Stage_Ch1_0017","Direct","Battle_Ready","","N_ST_001_017"
"Inter_Stage_Ch1_0018","Inter_Stage_Ch1_0018","Direct","Battle_Ready","","N_ST_001_018"
"Inter_Stage_Ch1_0019","Inter_Stage_Ch1_0019","Direct","Battle_Ready","","N_ST_001_019"
"Inter_Stage_Ch1_0020","Inter_Stage_Ch1_0020","Direct","Battle_Ready","","N_ST_001_020"
