"Random_Dummy","Random_Dummy_Group","Random","2","5"
"Fixed_Dummy","Fixed_Dummy_Group","Fixed","",""
"Adventure_Normal_FirstReword_1","Adventure_Normal_FirstReword_1","Fixed","",""
"Adventure_Normal_FirstReword_2","Adventure_Normal_FirstReword_2","Fixed","",""
"Adventure_Normal_FirstReword_3","Adventure_Normal_FirstReword_3","Fixed","",""
"Adventure_Normal_FirstReword_4","Adventure_Normal_FirstReword_4","Fixed","",""
"Adventure_Normal_FirstReword_5","Adventure_Normal_FirstReword_5","Fixed","",""
"Adventure_Normal_FirstReword_6","Adventure_Normal_FirstReword_6","Fixed","",""
"Adventure_Normal_FirstReword_7","Adventure_Normal_FirstReword_7","Fixed","",""
"Adventure_Normal_FirstReword_8","Adventure_Normal_FirstReword_8","Fixed","",""
"Adventure_Normal_FirstReword_9","Adventure_Normal_FirstReword_9","Fixed","",""
"Adventure_Normal_FirstReword_10","Adventure_Normal_FirstReword_10","Fixed","",""
"Adventure_Normal_FirstReword_11","Adventure_Normal_FirstReword_11","Fixed","",""
"Adventure_Normal_FirstReword_12","Adventure_Normal_FirstReword_12","Fixed","",""
"Adventure_Normal_FirstReword_13","Adventure_Normal_FirstReword_13","Fixed","",""
"Adventure_Normal_FirstReword_14","Adventure_Normal_FirstReword_14","Fixed","",""
"Adventure_Normal_FirstReword_15","Adventure_Normal_FirstReword_15","Fixed","",""
"Adventure_Normal_FirstReword_16","Adventure_Normal_FirstReword_16","Fixed","",""
"Adventure_Normal_FirstReword_17","Adventure_Normal_FirstReword_17","Fixed","",""
"Adventure_Normal_FirstReword_18","Adventure_Normal_FirstReword_18","Fixed","",""
"Adventure_Normal_FirstReword_19","Adventure_Normal_FirstReword_19","Fixed","",""
"Adventure_Normal_FirstReword_20","Adventure_Normal_FirstReword_20","Fixed","",""
"Adventure_Normal_FirstReword_21","Adventure_Normal_FirstReword_21","Fixed","",""
"Adventure_Normal_FirstReword_22","Adventure_Normal_FirstReword_22","Fixed","",""
"Adventure_Normal_FirstReword_23","Adventure_Normal_FirstReword_23","Fixed","",""
"Adventure_Normal_FirstReword_24","Adventure_Normal_FirstReword_24","Fixed","",""
"Adventure_Normal_FirstReword_25","Adventure_Normal_FirstReword_25","Fixed","",""
"Adventure_Normal_FirstReword_26","Adventure_Normal_FirstReword_26","Fixed","",""
"Adventure_Normal_FirstReword_27","Adventure_Normal_FirstReword_27","Fixed","",""
"Adventure_Normal_FirstReword_28","Adventure_Normal_FirstReword_28","Fixed","",""
