"Memorial_CAM001_S01B_1_1","Memorial_CAM001_S01B_1","Default","1","S01_Idle","Sfx_Bgm_Music_04","","","1","0","Sfx_Env_C001_S01B_Memorial_01","","","","","","","","",""
"Memorial_CAM001_S01B_1_2","Memorial_CAM001_S01B_1","Default","2","S01_Idle","","Voice_Char_001_S01_B_Memorial_1","","2","0","","","","","","","","","",""
"Memorial_CAM001_S01B_1_3","Memorial_CAM001_S01B_1","Default","3","S01_Idle","","Voice_Char_001_S01_B_Memorial_2","","2","0","","","","","","","","","",""
"Memorial_CAM001_S01B_1_4","Memorial_CAM001_S01B_1","Default","4","S01_Idle","","Voice_Char_001_S01_B_Memorial_3","","2","0","","","","","","","","","",""
"Memorial_CAM001_S01B_1_5","Memorial_CAM001_S01B_1","Default","5","S01_Idle","","Voice_Char_001_S01_B_Memorial_4","","3","0","","","","","","","","","",""
"Memorial_CAM001_S01B_1_6","Memorial_CAM001_S01B_1","Default","6","Shoot, S02_Idle","","Voice_Char_001_S01_B_Photo_1","5","4","0","","","","","","","","","",""
"Memorial_CAM002_S01R_1_1","Memorial_CAM002_S01R_1","Default","1","S01_Idle","Sfx_Bgm_Dialogue_08","","","1","0","Sfx_Env_C002_S01R_Memorial_01","","","","","","","","",""
"Memorial_CAM002_S01R_1_2","Memorial_CAM002_S01R_1","Default","2","S01_Idle","","Voice_Char_002_S01_R_Memorial_1","","2","0","","","","","","","","","",""
"Memorial_CAM002_S01R_1_3","Memorial_CAM002_S01R_1","Default","3","S01_Idle","","Voice_Char_002_S01_R_Memorial_2","","3","0","","","","","","","","","",""
"Memorial_CAM002_S01R_1_4","Memorial_CAM002_S01R_1","Default","4","S01_Idle","","Voice_Char_002_S01_R_Memorial_3","","3","0","","","","","","","","","",""
"Memorial_CAM002_S01R_1_5","Memorial_CAM002_S01R_1","Default","5","Shoot, S02_Idle","","Voice_Char_002_S01_R_Photo_1","5.4","4","0","","","","","","","","","",""
"Memorial_CAM015_S01B_1_1","Memorial_CAM015_S01B_1","Default","1","S01_Idle","Sfx_Bgm_Dialogue_05","","","1","0","Sfx_Env_C015_S01B_Memorial_01","","","","","","","","",""
"Memorial_CAM015_S01B_1_2","Memorial_CAM015_S01B_1","Default","2","S01_Idle","","Voice_Char_015_S01_B_Memorial_1","","2","2","","","","","","","","","",""
"Memorial_CAM015_S01B_1_3","Memorial_CAM015_S01B_1","Default","3","S01_Idle","","Voice_Char_015_S01_B_Memorial_2","","3","2","","","","","","","","","",""
