id	catId	map	mapType	action	animation	random	status	line	line_zh_TW	line_en_UK	line_ja_JP	line_ko_KR	line_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int
10101	101	1	1	1	cat_101_idle_1	0	1						
10103	101	1	1	2	cat_101_map_enter_2	0	1	新潮玩具屋，时尚买手店……昆士区好玩的地方太多了！可别忘了去看看哦！	新潮玩具屋，時尚買手店……昆士區好玩的地方太多了！可別忘了去看看哦！	Quince is filled with trendy toy stores and fashion shops. It's a place full of fun! Make sure you explore them!	アートトイ専門店からセレクトショップ…コンシ区のお楽しみは盛りだくさん！気が向いたらぜひ行ってみてね！	트렌디한 장난감 가게, 패션 전문점... 퀸즈 타운에는 재미있는 곳이 너무 많아요! 잊지 말고 꼭 가보세요!	ร้าน​ของเล่น​สุด​ล้ำสมัย​ ร้าน​แฟชั่น​สุด​อินเทรนด์​...​ ที่​เขต​ควินซ์​มี​สถานที่​ให้​ร่วม​สนุก​มากมาย​!​ อย่า​ลืม​แวะ​ไปดู​ล่ะ​!​
10104	101	1	1	2	cat_101_map_enter_2	0	1	说到放松娱乐，我们昆士区可是最棒的！你喜欢游乐场还是电玩城？	說到放鬆娛樂，我們昆士區可是最棒的！你喜歡遊樂場還是電玩城？	Quince District is the ultimate destination for relaxation and enjoyment! Are you a fan of amusement parks or Gamer City?	レジャーといえば、やっぱりコンシ区でしょ！新海随一の遊園地やゲームセンター、お客さんはどっちが好き？	휴식이라면 우리 퀸즈 타운이 최고죠! 놀이공원을 좋아하시나요, 아니면 게임 센터를 좋아하시나요?	ถ้า​พูดถึง​การพักผ่อน​และ​ความบันเทิง​ล่ะ​ก็​ เขต​ควินซ์​ของ​เรา​นี่แหละ​เจ๋ง​ที่สุด​!​ คุณ​ชอบ​สวนสนุก​หรือ​ศูนย์​เกม​อาร์​เคด​มากกว่า​กัน​ล่ะ​?​
10105	101	1	1	2	cat_101_map_enter_2	0	1	欸，被你发现啦？附近最知名的教育资源，可都在我们昆士区呢！	哎，被你發現啦？附近最知名的教育資源，可都在我們昆士區呢！	Oh, you found that? Quince District is home to all the top-notch educational resources!	あれ、気付いちゃった？新海市の名門校は全部、コンシ区に集まっているだもの！	에구, 들켰나요? 이 근처에서 가장 유명한 교육 기관은 모두 우리 퀸즈 타운에 있습니다!	อ๊ะ​!​ โดน​คุณ​จับได้​ซะ​แล้ว​?​ แหล่ง​การศึกษา​ชื่อดัง​ใน​ระ​แวก​นี้​ ก็​อยู่​ใน​เขต​ควินซ์​ของ​เรา​ทั้ง​นั้นแหละ​!​
10106	101	1	1	2	cat_101_map_enter_3	0	1	欸，是你啊~好久不见！最近是去出差了吗？	咦，是你啊~好久不見！最近是去出差了嗎？	Oh, it's you! It's been a while! Have you been on a business trip recently?	あら？お客さん、久しぶりだね！出張でも行ってたの？	어, 당신이군요~ 오랜만이에요! 최근에 출장 갔다 오셨나요?	เฮ้​!​ เป็นคุณ​นี่เอง​~​ ไม่​เจอกัน​นาน​เลย​นะ​!​ ช่วงนี้​ติดงาน​นอก​สถานที่​เหรอ​?​
10108	101	1	1	3	cat_101_map_standby_1	0	1	贝克街可是相当繁华的街区！想品尝美食的话，一定不能错过！	貝克街可是相當繁華的街區！想品嘗美食的話，一定不能錯過！	Baker Street is bustling with activity! You can't miss it if you want to try some amazing food!	ベイカーストリートは有名な繁華街だよ！グルメツアーをするなら、絶対に逃せない！	베이커 가는 굉장히 번화한 거리입니다! 맛있는 걸 드셔보고 싶으시다면, 꼭 들러주세요!	ถนน​เบเกอร์​เป็น​ย่าน​ที่​เจริญ​สุด​ๆ​!​ ถ้า​อยาก​ลิ้มรส​อาหาร​อร่อย​ๆ​ ก็​ห้าม​พลาด​ที่นี่​เด็ดขาด​!​
10109	101	1	1	3	cat_101_map_standby_1	0	1	大家都喜欢去玛瑙湾！除了海钓和冲浪，还可以坐超大的观光游艇哦~	大家都喜歡去瑪瑙灣！除了海釣和衝浪，還可以坐超大的觀光遊艇哦~	Cowrie Cove is a popular hangout spot! Besides fishing and surfing, you can also take a ride on a magnificent sightseeing yacht!	誰もが愛するアガットベイ！海釣りとサーフィンができる以外、豪華な超大型船にも乗れるんだ！	모두 카넬리언 베이를 좋아해요! 해양 낚시와 서핑 외에도 초대형 크루즈선도 탈 수 있거든요~	ทุกคน​ต่าง​ก็​ชอบ​ไป​ที่​อ่าว​อา​เก​ต​!​ นอกจาก​ตกปลา​ทะเล​และ​โต้คลื่น​แล้ว​ ยัง​สามารถ​นั่ง​เรือ​สำราญ​ชม​วิว​ขนาดใหญ่​มาก​ๆ​ ได้​อีกด้วย​นะ​~​
10110	101	1	1	4	cat_101_map_enter_4	0	1	五城广场那边好像出事了……哎呀，我不能离开这里，可以麻烦你替我去看看吗？	五城廣場那邊好像出事了……哎呀，我不能離開這裡，可以麻煩你替我去看看嗎？	Something seems to be happening at Quintupolis Plaza... Oh, I'm unable to leave right now. Could you investigate it for me?	五城広場に事件が起こったらしい…でも、私はここから離れられないんだ。お客さん、代わりに見て来てくれないか？	펜타폴리스에 뭔가 일이 터진 거 같은데...... 하아, 난 여길 떠날 수가 없으니, 나 대신 가서 한번 확인해 주실래요?	ดูเหมือน​ว่าที่​จัตุรัส​ควินซ์​จะ​เกิด​เหตุการณ์​บางอย่าง​ขึ้น​...​ โธ่​เอ้ย​ ฉัน​ไม่​สามารถ​ออกห่าง​จาก​ที่นี่​ได้​ รบกวน​คุณ​ช่วย​ไปดู​ให้​ฉัน​หน่อย​ได้​ไหม​?​
10111	101	1	2	1	cat_101_idle_1	0	1						
10118	101	1	3	1	cat_101_idle_1	0	1						
10119	101	1	3	9	cat_101_shop_trigger_3	0	1	昆士区的每个角落，我都想去看看！呜~可以带上我吗？	昆士區的每個角落，我都想去看看！嗚~可以帶上我嗎？	I want to explore every corner of Quince District! Oh, could you take me along?	コンシ区内の隅々まで行ってみたいんだ！うぅ…私を連れて行ってくれないか？	퀸즈 타운의 구석구석을 다 보고 싶네요! 저도 데려가 주실 수 있나요?	ฉัน​อยาก​ไปเที่ยว​ให้​ทั่ว​ทุกซอกทุกมุม​ของ​เขต​ควินซ์​เลย​!​ ฮือ​~​ พา​ฉัน​ไป​ด้วย​ได้​ไหม​?​
10121	101	1	3	11	cat_101_shop_standby_1	0	1	又要出发了吗？要加油哦~	又要出發了嗎？要加油哦~	Heading out on another journey? Go for it!	また出発するの？頑張ってねー！	다시 출발하시나요? 힘내세요~	จะ​ออกเดินทาง​อีกแล้ว​เหรอ​?​ สู้​ๆ​ นะ​~​
10122	101	1	3	12	cat_101_map_enter_1	0	1	昆士区里每一处好玩的地方你都去过啦？我才不信呢~	昆士區裡每一處好玩的地方你都去過啦？我才不信呢~	Have you visited all the exciting places in Quince District? No way, I find that hard to believe.	コンシ区の名所を全部巡ったの？絶対嘘だよー	퀸즈 타운의 모든 재미있는 곳을 다 가보셨다고요? 저는 믿지 않아요~	สถานที่​น่า​เที่ยว​ทุกที่​ของ​เขต​ควินซ์​ คุณ​เคย​ไป​หมด​แล้ว​เหรอ​?​ ฉัน​ไม่​เชื่อ​หรอก​น่า​~​
10123	101	1	3	13	cat_101_shop_trigger_2	0	1	不知不觉，你已经比我还要熟悉昆士区了呢~已经爱上这里了吧？	不知不覺，你已經比我還要熟悉昆士區了呢~已經愛上這裡了吧？	You know Quince District better than I do now! You must really love it here, don't you?	気付かないうちに、私よりもお客さんの方がコンシ区のことに詳しくなっているみたいね。もうすっかりコンシ区が大好きになっちゃった？	모르는 사이에 당신이 저보다 퀸즈 지구를 더 잘 알게 됐네요~ 여기를 사랑하게 됐죠?	ไม่​รู้ตัว​เลย​นะ​ ว่า​คุณ​รู้จัก​เขต​ควินซ์​ดีกว่า​ฉัน​ซะ​แล้ว​~​ หลงรัก​ที่นี่​เข้าให้​แล้ว​ล่ะ​สิ​?​
