id	label	engName	pointID	foodType	levelType	listImageId	monsteType	type	unlockType	unlockId	unlockNum	unlockLevel	level	exp	cardExp	battleRules	proposalLevel	chapter	costItem	costNum	costNumLose	SceneId	rounds	petLineup	roleNun	anniWarPoint	repeatButton	powerRatioTeamID	showContinueBtn	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	describe	describe_zh_TW	describe_en_UK	describe_ja_JP	describe_ko_KR	describe_th_TH	effect	effect_zh_TW	effect_en_UK	effect_ja_JP	effect_ko_KR	effect_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
2010501	1	Ingredients	108	3	2	29:story_list_000_01	1	0	25	0	101110	0	0	5	100	1	6300	108	3000004	4	1	12201	12	0	4	0	1	12	1	1	贝克街·饮品	貝克街·飲品	Baker Street: Drinks	ベイカーストリート・ドリンク	베이커 가 음료	ถนน​เบเกอร์​-​เครื่องดื่ม​	昆士区知名美食街区，以风味独特的餐厅和有格调的店铺而闻名，也是贝克街情绪餐厅所在地。	昆士區知名美食街區，以風味獨特的餐廳和有格調的店鋪而聞名，也是貝克街情緒餐廳所在地。	Quince's Food Court, a famous spot with unique cafes and trendy shops. It's also the place to find Pathos Cuisine on Baker Street.	味わい深いレストランと上品なショップで知られる有名なコンシ区の食品街で、レストラン・ベイカーキャットの所在地。	퀸즈 타운의 유명한 식당가는 독특한 맛을 자랑하는 카페테리아과 고풍스런 가게들로 유명한데, 베이커 가의 이모션 카페테리아가 있는 곳이기도 하다.	ถนน​เลิศ​รส​ชื่อดัง​ใน​เขต​ควินซ์​ เป็น​ย่าน​ชื่อดัง​ขึ้นชื่อ​ด้าน​ร้านอาหาร​อันเป็น​เอกลักษณ์​และ​สุด​เก๋ไก๋​ อีก​ทั้ง​ยัง​เป็นที่ตั้ง​ของ​พา​โธส​คาเฟ่​บน​ถนน​เบเกอร์​ อีกด้วย​	<color=#66b032>区域效果</color>:昆士区中敌我双方对克制属性目标造成的伤害大幅提升。	<color=#66b032>區域效果</color>:昆士區中敵我雙方對克制屬性目標造成的傷害大幅提升。	<color=#66b032>District Effect</color>: In Quince, both allies and enemies deal significantly increased damage against the targets with countered elemental.	<color=#66b032>エリア効果</color>:コンシ区で、敵味方が有利属性のターゲットに与えるダメージが大幅アップ。	<color=#66b032>지역 효과</color>: 퀸즈 타운에선 적과 아군이 억제 속성을 지닌 목표물에게 부여하는 대미지가 대폭 상승합니다.	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ใน​เขต​ควินซ์​ ดา​เม​จ​ที่​ทั้ง​ฝ่าย​เรา​และ​ฝ่าย​ศัตรู​สร้าง​ต่อ​เป้าหมาย​ที่​แพ้ทาง​จะ​เพิ่มขึ้น​อย่าง​มาก​
2010502	2	Ingredients	108	3	2	29:story_list_001_05	1	0	25	0	0	2010501	0	5	100	1	16500	108	3000004	4	1	12201	12	0	4	0	1	12	1	1	贝克街·饮品	貝克街·飲品	Baker Street: Drinks	ベイカーストリート・ドリンク	베이커 가 음료	ถนน​เบเกอร์​-​เครื่องดื่ม​	昆士区知名美食街区，以风味独特的餐厅和有格调的店铺而闻名，也是贝克街情绪餐厅所在地。	昆士區知名美食街區，以風味獨特的餐廳和有格調的店鋪而聞名，也是貝克街情緒餐廳所在地。	Quince's Food Court, a famous spot with unique cafes and trendy shops. It's also the place to find Pathos Cuisine on Baker Street.	味わい深いレストランと上品なショップで知られる有名なコンシ区の食品街で、レストラン・ベイカーキャットの所在地。	퀸즈 타운의 유명한 식당가는 독특한 맛을 자랑하는 카페테리아과 고풍스런 가게들로 유명한데, 베이커 가의 이모션 카페테리아가 있는 곳이기도 하다.	ถนน​เลิศ​รส​ชื่อดัง​ใน​เขต​ควินซ์​ เป็น​ย่าน​ชื่อดัง​ขึ้นชื่อ​ด้าน​ร้านอาหาร​อันเป็น​เอกลักษณ์​และ​สุด​เก๋ไก๋​ อีก​ทั้ง​ยัง​เป็นที่ตั้ง​ของ​พา​โธส​คาเฟ่​บน​ถนน​เบเกอร์​ อีกด้วย​	<color=#66b032>区域效果</color>:昆士区中敌我双方对克制属性目标造成的伤害大幅提升。	<color=#66b032>區域效果</color>:昆士區中敵我雙方對克制屬性目標造成的傷害大幅提升。	<color=#66b032>District Effect</color>: In Quince, both allies and enemies deal significantly increased damage against the targets with countered elemental.	<color=#66b032>エリア効果</color>:コンシ区で、敵味方が有利属性のターゲットに与えるダメージが大幅アップ。	<color=#66b032>지역 효과</color>: 퀸즈 타운에선 적과 아군이 억제 속성을 지닌 목표물에게 부여하는 대미지가 대폭 상승합니다.	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ใน​เขต​ควินซ์​ ดา​เม​จ​ที่​ทั้ง​ฝ่าย​เรา​และ​ฝ่าย​ศัตรู​สร้าง​ต่อ​เป้าหมาย​ที่​แพ้ทาง​จะ​เพิ่มขึ้น​อย่าง​มาก​
2010503	3	Ingredients	108	3	2	29:story_list_000_01	1	0	25	0	0	2010502	0	5	100	1	32900	108	3000004	4	1	12201	12	0	4	0	1	12	1	1	贝克街·饮品	貝克街·飲品	Baker Street: Drinks	ベイカーストリート・ドリンク	베이커 가 음료	ถนน​เบเกอร์​-​เครื่องดื่ม​	昆士区知名美食街区，以风味独特的餐厅和有格调的店铺而闻名，也是贝克街情绪餐厅所在地。	昆士區知名美食街區，以風味獨特的餐廳和有格調的店鋪而聞名，也是貝克街情緒餐廳所在地。	Quince's Food Court, a famous spot with unique cafes and trendy shops. It's also the place to find Pathos Cuisine on Baker Street.	味わい深いレストランと上品なショップで知られる有名なコンシ区の食品街で、レストラン・ベイカーキャットの所在地。	퀸즈 타운의 유명한 식당가는 독특한 맛을 자랑하는 카페테리아과 고풍스런 가게들로 유명한데, 베이커 가의 이모션 카페테리아가 있는 곳이기도 하다.	ถนน​เลิศ​รส​ชื่อดัง​ใน​เขต​ควินซ์​ เป็น​ย่าน​ชื่อดัง​ขึ้นชื่อ​ด้าน​ร้านอาหาร​อันเป็น​เอกลักษณ์​และ​สุด​เก๋ไก๋​ อีก​ทั้ง​ยัง​เป็นที่ตั้ง​ของ​พา​โธส​คาเฟ่​บน​ถนน​เบเกอร์​ อีกด้วย​	<color=#66b032>区域效果</color>:昆士区中敌我双方对克制属性目标造成的伤害大幅提升。	<color=#66b032>區域效果</color>:昆士區中敵我雙方對克制屬性目標造成的傷害大幅提升。	<color=#66b032>District Effect</color>: In Quince, both allies and enemies deal significantly increased damage against the targets with countered elemental.	<color=#66b032>エリア効果</color>:コンシ区で、敵味方が有利属性のターゲットに与えるダメージが大幅アップ。	<color=#66b032>지역 효과</color>: 퀸즈 타운에선 적과 아군이 억제 속성을 지닌 목표물에게 부여하는 대미지가 대폭 상승합니다.	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ใน​เขต​ควินซ์​ ดา​เม​จ​ที่​ทั้ง​ฝ่าย​เรา​และ​ฝ่าย​ศัตรู​สร้าง​ต่อ​เป้าหมาย​ที่​แพ้ทาง​จะ​เพิ่มขึ้น​อย่าง​มาก​
2010504	1	Ingredients	108	1	2	29:story_list_001_05	1	0	25	0	101110		0	5	100	1	6300	108	3000004	4	1	12201	12	0	4	0	1	12	1	1	贝克街·主食	貝克街·主食	Baker Street: Main Dish	ベイカーストリート・メインディッシュ	베이커 가 메인요리	ถนนเบเกอร์-จานหลัก	昆士区知名美食街区，以风味独特的餐厅和有格调的店铺而闻名，也是贝克街情绪餐厅所在地。	昆士區知名美食街區，以風味獨特的餐廳和有格調的店鋪而聞名，也是貝克街情緒餐廳所在地。	Quince's Food Court, a famous spot with unique cafes and trendy shops. It's also the place to find Pathos Cuisine on Baker Street.	味わい深いレストランと上品なショップで知られる有名なコンシ区の食品街で、レストラン・ベイカーキャットの所在地。	퀸즈 타운의 유명한 식당가는 독특한 맛을 자랑하는 카페테리아과 고풍스런 가게들로 유명한데, 베이커 가의 이모션 카페테리아가 있는 곳이기도 하다.	ถนน​เลิศ​รส​ชื่อดัง​ใน​เขต​ควินซ์​ เป็น​ย่าน​ชื่อดัง​ขึ้นชื่อ​ด้าน​ร้านอาหาร​อันเป็น​เอกลักษณ์​และ​สุด​เก๋ไก๋​ อีก​ทั้ง​ยัง​เป็นที่ตั้ง​ของ​พา​โธส​คาเฟ่​บน​ถนน​เบเกอร์​ อีกด้วย​	<color=#66b032>区域效果</color>:昆士区中敌我双方对克制属性目标造成的伤害大幅提升。	<color=#66b032>區域效果</color>:昆士區中敵我雙方對克制屬性目標造成的傷害大幅提升。	<color=#66b032>District Effect</color>: In Quince, both allies and enemies deal significantly increased damage against the targets with countered elemental.	<color=#66b032>エリア効果</color>:コンシ区で、敵味方が有利属性のターゲットに与えるダメージが大幅アップ。	<color=#66b032>지역 효과</color>: 퀸즈 타운에선 적과 아군이 억제 속성을 지닌 목표물에게 부여하는 대미지가 대폭 상승합니다.	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ใน​เขต​ควินซ์​ ดา​เม​จ​ที่​ทั้ง​ฝ่าย​เรา​และ​ฝ่าย​ศัตรู​สร้าง​ต่อ​เป้าหมาย​ที่​แพ้ทาง​จะ​เพิ่มขึ้น​อย่าง​มาก​
2010505	2	Ingredients	108	1	2	29:story_list_000_01	1	0	25	0	0	2010504	0	5	100	1	16500	108	3000004	4	1	12201	12	0	4	0	1	12	1	1	贝克街·主食	貝克街·主食	Baker Street: Main Dish	ベイカーストリート・メインディッシュ	베이커 가 메인요리	ถนนเบเกอร์-จานหลัก	昆士区知名美食街区，以风味独特的餐厅和有格调的店铺而闻名，也是贝克街情绪餐厅所在地。	昆士區知名美食街區，以風味獨特的餐廳和有格調的店鋪而聞名，也是貝克街情緒餐廳所在地。	Quince's Food Court, a famous spot with unique cafes and trendy shops. It's also the place to find Pathos Cuisine on Baker Street.	味わい深いレストランと上品なショップで知られる有名なコンシ区の食品街で、レストラン・ベイカーキャットの所在地。	퀸즈 타운의 유명한 식당가는 독특한 맛을 자랑하는 카페테리아과 고풍스런 가게들로 유명한데, 베이커 가의 이모션 카페테리아가 있는 곳이기도 하다.	ถนน​เลิศ​รส​ชื่อดัง​ใน​เขต​ควินซ์​ เป็น​ย่าน​ชื่อดัง​ขึ้นชื่อ​ด้าน​ร้านอาหาร​อันเป็น​เอกลักษณ์​และ​สุด​เก๋ไก๋​ อีก​ทั้ง​ยัง​เป็นที่ตั้ง​ของ​พา​โธส​คาเฟ่​บน​ถนน​เบเกอร์​ อีกด้วย​	<color=#66b032>区域效果</color>:昆士区中敌我双方对克制属性目标造成的伤害大幅提升。	<color=#66b032>區域效果</color>:昆士區中敵我雙方對克制屬性目標造成的傷害大幅提升。	<color=#66b032>District Effect</color>: In Quince, both allies and enemies deal significantly increased damage against the targets with countered elemental.	<color=#66b032>エリア効果</color>:コンシ区で、敵味方が有利属性のターゲットに与えるダメージが大幅アップ。	<color=#66b032>지역 효과</color>: 퀸즈 타운에선 적과 아군이 억제 속성을 지닌 목표물에게 부여하는 대미지가 대폭 상승합니다.	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ใน​เขต​ควินซ์​ ดา​เม​จ​ที่​ทั้ง​ฝ่าย​เรา​และ​ฝ่าย​ศัตรู​สร้าง​ต่อ​เป้าหมาย​ที่​แพ้ทาง​จะ​เพิ่มขึ้น​อย่าง​มาก​
2010506	3	Ingredients	108	1	2	29:story_list_001_05	1	0	25	0	0	2010505	0	5	100	1	32900	108	3000004	4	1	12201	12	0	4	0	1	12	1	1	贝克街·主食	貝克街·主食	Baker Street: Main Dish	ベイカーストリート・メインディッシュ	베이커 가 메인요리	ถนนเบเกอร์-จานหลัก	昆士区知名美食街区，以风味独特的餐厅和有格调的店铺而闻名，也是贝克街情绪餐厅所在地。	昆士區知名美食街區，以風味獨特的餐廳和有格調的店鋪而聞名，也是貝克街情緒餐廳所在地。	Quince's Food Court, a famous spot with unique cafes and trendy shops. It's also the place to find Pathos Cuisine on Baker Street.	味わい深いレストランと上品なショップで知られる有名なコンシ区の食品街で、レストラン・ベイカーキャットの所在地。	퀸즈 타운의 유명한 식당가는 독특한 맛을 자랑하는 카페테리아과 고풍스런 가게들로 유명한데, 베이커 가의 이모션 카페테리아가 있는 곳이기도 하다.	ถนน​เลิศ​รส​ชื่อดัง​ใน​เขต​ควินซ์​ เป็น​ย่าน​ชื่อดัง​ขึ้นชื่อ​ด้าน​ร้านอาหาร​อันเป็น​เอกลักษณ์​และ​สุด​เก๋ไก๋​ อีก​ทั้ง​ยัง​เป็นที่ตั้ง​ของ​พา​โธส​คาเฟ่​บน​ถนน​เบเกอร์​ อีกด้วย​	<color=#66b032>区域效果</color>:昆士区中敌我双方对克制属性目标造成的伤害大幅提升。	<color=#66b032>區域效果</color>:昆士區中敵我雙方對克制屬性目標造成的傷害大幅提升。	<color=#66b032>District Effect</color>: In Quince, both allies and enemies deal significantly increased damage against the targets with countered elemental.	<color=#66b032>エリア効果</color>:コンシ区で、敵味方が有利属性のターゲットに与えるダメージが大幅アップ。	<color=#66b032>지역 효과</color>: 퀸즈 타운에선 적과 아군이 억제 속성을 지닌 목표물에게 부여하는 대미지가 대폭 상승합니다.	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ใน​เขต​ควินซ์​ ดา​เม​จ​ที่​ทั้ง​ฝ่าย​เรา​และ​ฝ่าย​ศัตรู​สร้าง​ต่อ​เป้าหมาย​ที่​แพ้ทาง​จะ​เพิ่มขึ้น​อย่าง​มาก​
2010507	1	Ingredients	108	2	2	29:story_list_001_05	1	0	25	0	101110		0	5	100	1	6400	108	3000004	4	1	12201	12	0	4	0	1	12	1	1	贝克街·甜品	貝克街·甜品	Baker Street: Desserts	ベイカーストリート・デザート	베이커 가 디저트	ถนนเบเกอร์-ขนมหวาน	昆士区知名美食街区，以风味独特的餐厅和有格调的店铺而闻名，也是贝克街情绪餐厅所在地。	昆士區知名美食街區，以風味獨特的餐廳和有格調的店鋪而聞名，也是貝克街情緒餐廳所在地。	Quince's Food Court, a famous spot with unique cafes and trendy shops. It's also the place to find Pathos Cuisine on Baker Street.	味わい深いレストランと上品なショップで知られる有名なコンシ区の食品街で、レストラン・ベイカーキャットの所在地。	퀸즈 타운의 유명한 식당가는 독특한 맛을 자랑하는 카페테리아과 고풍스런 가게들로 유명한데, 베이커 가의 이모션 카페테리아가 있는 곳이기도 하다.	ถนน​เลิศ​รส​ชื่อดัง​ใน​เขต​ควินซ์​ เป็น​ย่าน​ชื่อดัง​ขึ้นชื่อ​ด้าน​ร้านอาหาร​อันเป็น​เอกลักษณ์​และ​สุด​เก๋ไก๋​ อีก​ทั้ง​ยัง​เป็นที่ตั้ง​ของ​พา​โธส​คาเฟ่​บน​ถนน​เบเกอร์​ อีกด้วย​	<color=#66b032>区域效果</color>:昆士区中敌我双方对克制属性目标造成的伤害大幅提升。	<color=#66b032>區域效果</color>:昆士區中敵我雙方對克制屬性目標造成的傷害大幅提升。	<color=#66b032>District Effect</color>: In Quince, both allies and enemies deal significantly increased damage against the targets with countered elemental.	<color=#66b032>エリア効果</color>:コンシ区で、敵味方が有利属性のターゲットに与えるダメージが大幅アップ。	<color=#66b032>지역 효과</color>: 퀸즈 타운에선 적과 아군이 억제 속성을 지닌 목표물에게 부여하는 대미지가 대폭 상승합니다.	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ใน​เขต​ควินซ์​ ดา​เม​จ​ที่​ทั้ง​ฝ่าย​เรา​และ​ฝ่าย​ศัตรู​สร้าง​ต่อ​เป้าหมาย​ที่​แพ้ทาง​จะ​เพิ่มขึ้น​อย่าง​มาก​
2010508	2	Ingredients	108	2	2	29:story_list_000_01	1	0	25	0	0	2010507	0	5	100	1	16700	108	3000004	4	1	12201	12	0	4	0	1	12	1	1	贝克街·甜品	貝克街·甜品	Baker Street: Desserts	ベイカーストリート・デザート	베이커 가 디저트	ถนนเบเกอร์-ขนมหวาน	昆士区知名美食街区，以风味独特的餐厅和有格调的店铺而闻名，也是贝克街情绪餐厅所在地。	昆士區知名美食街區，以風味獨特的餐廳和有格調的店鋪而聞名，也是貝克街情緒餐廳所在地。	Quince's Food Court, a famous spot with unique cafes and trendy shops. It's also the place to find Pathos Cuisine on Baker Street.	味わい深いレストランと上品なショップで知られる有名なコンシ区の食品街で、レストラン・ベイカーキャットの所在地。	퀸즈 타운의 유명한 식당가는 독특한 맛을 자랑하는 카페테리아과 고풍스런 가게들로 유명한데, 베이커 가의 이모션 카페테리아가 있는 곳이기도 하다.	ถนน​เลิศ​รส​ชื่อดัง​ใน​เขต​ควินซ์​ เป็น​ย่าน​ชื่อดัง​ขึ้นชื่อ​ด้าน​ร้านอาหาร​อันเป็น​เอกลักษณ์​และ​สุด​เก๋ไก๋​ อีก​ทั้ง​ยัง​เป็นที่ตั้ง​ของ​พา​โธส​คาเฟ่​บน​ถนน​เบเกอร์​ อีกด้วย​	<color=#66b032>区域效果</color>:昆士区中敌我双方对克制属性目标造成的伤害大幅提升。	<color=#66b032>區域效果</color>:昆士區中敵我雙方對克制屬性目標造成的傷害大幅提升。	<color=#66b032>District Effect</color>: In Quince, both allies and enemies deal significantly increased damage against the targets with countered elemental.	<color=#66b032>エリア効果</color>:コンシ区で、敵味方が有利属性のターゲットに与えるダメージが大幅アップ。	<color=#66b032>지역 효과</color>: 퀸즈 타운에선 적과 아군이 억제 속성을 지닌 목표물에게 부여하는 대미지가 대폭 상승합니다.	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ใน​เขต​ควินซ์​ ดา​เม​จ​ที่​ทั้ง​ฝ่าย​เรา​และ​ฝ่าย​ศัตรู​สร้าง​ต่อ​เป้าหมาย​ที่​แพ้ทาง​จะ​เพิ่มขึ้น​อย่าง​มาก​
2010509	3	Ingredients	108	2	2	29:story_list_001_05	1	0	25	0	0	2010508	0	5	100	1	32900	108	3000004	4	1	12201	12	0	4	0	1	12	1	1	贝克街·甜品	貝克街·甜品	Baker Street: Desserts	ベイカーストリート・デザート	베이커 가 디저트	ถนนเบเกอร์-ขนมหวาน	昆士区知名美食街区，以风味独特的餐厅和有格调的店铺而闻名，也是贝克街情绪餐厅所在地。	昆士區知名美食街區，以風味獨特的餐廳和有格調的店鋪而聞名，也是貝克街情緒餐廳所在地。	Quince's Food Court, a famous spot with unique cafes and trendy shops. It's also the place to find Pathos Cuisine on Baker Street.	味わい深いレストランと上品なショップで知られる有名なコンシ区の食品街で、レストラン・ベイカーキャットの所在地。	퀸즈 타운의 유명한 식당가는 독특한 맛을 자랑하는 카페테리아과 고풍스런 가게들로 유명한데, 베이커 가의 이모션 카페테리아가 있는 곳이기도 하다.	ถนน​เลิศ​รส​ชื่อดัง​ใน​เขต​ควินซ์​ เป็น​ย่าน​ชื่อดัง​ขึ้นชื่อ​ด้าน​ร้านอาหาร​อันเป็น​เอกลักษณ์​และ​สุด​เก๋ไก๋​ อีก​ทั้ง​ยัง​เป็นที่ตั้ง​ของ​พา​โธส​คาเฟ่​บน​ถนน​เบเกอร์​ อีกด้วย​	<color=#66b032>区域效果</color>:昆士区中敌我双方对克制属性目标造成的伤害大幅提升。	<color=#66b032>區域效果</color>:昆士區中敵我雙方對克制屬性目標造成的傷害大幅提升。	<color=#66b032>District Effect</color>: In Quince, both allies and enemies deal significantly increased damage against the targets with countered elemental.	<color=#66b032>エリア効果</color>:コンシ区で、敵味方が有利属性のターゲットに与えるダメージが大幅アップ。	<color=#66b032>지역 효과</color>: 퀸즈 타운에선 적과 아군이 억제 속성을 지닌 목표물에게 부여하는 대미지가 대폭 상승합니다.	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ใน​เขต​ควินซ์​ ดา​เม​จ​ที่​ทั้ง​ฝ่าย​เรา​และ​ฝ่าย​ศัตรู​สร้าง​ต่อ​เป้าหมาย​ที่​แพ้ทาง​จะ​เพิ่มขึ้น​อย่าง​มาก​
