type	id	status
string	string	int
1_1	10101,10103,10104,10105,10106,10108,10109,10110	1
1_2	10111	1
1_3	10118,10119,10121,10122,10123,10125	1
2_1	20101,20103,20104,20105,20106,20108,20109,20110	1
2_2	20111	1
2_3	20118,20119,20121,20122,20123,20125	1
3_1	30101,30103,30104,30105,30106,30108,30109,30110	1
3_2	30111	1
3_3	30118,30119,30121,30122,30123,30125	1
4_1	40101,40103,40104,40105,40106,40108,40109,40110	1
4_2	40111	1
4_3	40118,40119,40121,40122,40123,40125	1
5_1	50101,50103,50104,50105,50106,50108,50109,50110	1
5_2	50111	1
5_3	50118,50119,50121,50122,50123,50125	1
6_1	60101,60103,60104,60105,60106,60108,60109,60110	1
6_2	60111	1
6_3	60118,60119,60121,60122,60123,60125	1
