id	regionSpec	type	status	lable	lable_zh_TW	lable_en_UK	lable_ja_JP	lable_ko_KR	lable_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	132:action_map2_shop_icon.png		1	商人点位	商人點位	Merchant Point	商人ポイント	상인 지점	ตำแหน่งพ่อค้า	商人	商人	Merchant	商人	상인	พ่อค้า
2	132:action_map2_icon_1.png	1	1	常驻Boss点位	常駐Boss點位	Permanent Boss Point	通常BOSSポイント	상주 보스 지점	ตำแหน่ง​ Boss​ ประจำ​ด่าน​	常驻BOSS战	常駐BOSS戰	Permanent Boss Battle	通常BOSS	상주 보스전	ต่อสู้​กับ​ Boss​ ประจำ​ด่าน​
3	132:action_map2_battle_icon.png	0	1	常驻普通战斗点位	常駐普通戰鬥點位	Permanent Normal Battle Point	Pending常驻普通战斗点位	상주 일반 전투 지점	ตำแหน่ง​ต่อสู้​ประจำ​ด่าน​ทั่วไป​	常驻普通战	常駐普通戰	Permanent Normal Battle	Pending常驻普通战	상주 일반전	ต่อสู้ประจำด่านทั่วไป
4	132:action_map2_icon_7.png	7	1	协力战点位	協力戰點位	Invasion Point	協同作戦ポイント	협력전 지점	ตำแหน่งศึกผนึกกำลัง	协力战	協力戰	Invasion	協同作戦	협력전	ผนึกกำลัง
5	132:action_map2_fishatlas_icon.png	0	1	渔点点位	漁點點位	Fishing Point	Pending渔点点位	낚시터 자리	ตำแหน่งจุดตกปลา	渔点	漁點	Fishing Point	Pending渔点	낚시터	จุดตกปลา
6	132:action_map2_icon_3.png	3	1	SP日常材料点位	SP日常材料點位	Daily SP Material Point	PendingSP日常材料点位	SP 일상 재료 지점	ตำแหน่ง​วัตถุดิบ​ SP​ รายวัน​	模块副本	模組副本	Module Stage	モジュールステージ	모듈 던전	ดันเจี้ยนโมดูล
7	132:action_map2_icon_4.png	4	1	异步PVP点位	幻影鬥技場點位	Master Duel Point	Pending异步PVP点位	비실시간 PVP 지점	ตำแหน่ง​ PVP​ แบบ​สู้​กับ​ AI​	【PVP】幻影斗技场	【PVP】幻影鬥技場	[PvP] Phantom Clash	【PVP】ファントム闘技場	[PVP] 팬텀 투기장	[PVP] แฟนธอมอารีน่า
8	132:action_map2_icon_2.png	2	1	实时对战点位	即時對戰點位	Arena Point	Pending实时对战点位	실시간 대전 지점	ตำแหน่ง​ PVP​ แบบ​เรียลไทม์​	【PVP】天梯竞技场	【PVP】天梯競技場	[PvP] The Arena	【PVP】アリーナランク戦	[PVP] 래더 아레나	[PVP] สกายอารีน่า
9	132:action_map2_icon_5.png	5	1	世界首领点位	世界首領點位	World Boss Point	Pending世界首领点位	월드 보스 지점	ตำแหน่งเวิลด์บอส	世界首领	世界首領	World Boss	ワールドBOSS	월드 보스	เวิลด์บอส
10			1	单队异步PVP	單隊非同步PVP	Master Duel 1 Team	Pending单队异步PVP	단일 팀 비실시간 PVP	PVP​ แบบ​สู้​กับ​ AI​ ทีม​เดียว​	【PVP】幻影特训场	【PVP】幻影特訓場	[PvP] Master Duel	【PVP】ファントム特訓場	[PVP] 팬텀 특훈장	[PVP]​ สนาม​ซ้อม​แฟน​ธอม​
11		0	1												
12	132:action_map2_icon_7.png	7	1												
13	132:action_map2_icon_10.png	10	1												
14	132:action_map2_icon_9.png	9	1												
15	132:action_map2_icon_8.png	8	1												
