id	uid	areaPointId	bgPath	iconColorValue	bgPathOpen	position	unlockType	unlockId	unlockNum	status	lable	lable_zh_TW	lable_en_UK	lable_ja_JP	lable_ko_KR	lable_th_TH	title	title_zh_TW	title_en_UK	title_ja_JP	title_ko_KR	title_th_TH	subtitle	subtitle_zh_TW	subtitle_en_UK	subtitle_ja_JP	subtitle_ko_KR	subtitle_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	2004	0	134:action_collection_1_unlock.png	#6A95FF	134:action_collection_1_lock.png	7	25	0	103001	1	装备本总览	裝備本總覽	Equipment Stage Overview	装備ステージ一覧	장비도감 전체 보기	ภาพรวมอุปกรณ์	装备副本	裝備副本	Equipment Stage	装備ステージ	장비 던전	ดันเจี้ยนอุปกรณ์	装备获取	裝備獲取	Equipment	装備獲得	장비획득	ได้รับอุปกรณ์
3	3	107	134:action_collection_3_unlock.png	#FF89C9	134:action_collection_3_lock.png	3	25	0	102020	1	芯片副本	晶片副本	Chip Stage	チップステージ	칩 던전	ดันเจี้ยนชิป	芯片副本	晶片副本	Chip Stage	チップステージ	칩 던전	ดันเจี้ยนชิป	芯片副本	晶片副本	Chip Stage	チップステージ	칩 던전	ดันเจี้ยนชิป
4	3	104	134:action_collection_9_unlock.png	#6A95FF	134:action_collection_9_lock.png	1	25	0	101120	1	经验副本	經驗副本	EXP Stage	EXPステージ	EXP 던전	ดันเจี้ยน EXP	经验副本	經驗副本	EXP Stage	EXPステージ	EXP 던전	ดันเจี้ยน EXP	经验副本	經驗副本	EXP Stage	EXPステージ	EXP 던전	ดันเจี้ยน EXP
5	3	103	134:action_collection_8_unlock.png	#6B659C	134:action_collection_8_lock.png	5	25	0	102261	1	粒子副本	粒子副本	Particle Stage	粒子ステージ	파티클 던전	ดันเจี้ยนอนุภาค	粒子副本	粒子副本	Particle Stage	粒子ステージ	파티클 던전	ดันเจี้ยนอนุภาค	粒子副本	粒子副本	Particle Stage	粒子ステージ	파티클 던전	ดันเจี้ยนอนุภาค
6	2003	206	134:action_collection_2_unlock.png	#6B659C	134:action_collection_2_lock.png	2	25	0	104110	1	协力战	協力戰	Invasion	協同作戦	협력전	ผนึกกำลัง	协力战	協力戰	Invasion	協同作戦	협력전	ผนึกกำลัง	协力战	協力戰	Invasion	協同作戦	협력전	ผนึกกำลัง
7	14	409	134:action_collection_4_unlock.png	#6A95FF	134:action_collection_4_lock.png	8	25	0	107120	1	世界首领点位跳转	世界首領點位跳轉	World Boss Redirection	Pending世界首领点位跳转	월드 보스 지점으로 이동	จุดวาร์ปไปเวิลด์บอส	世界首领	世界首領	World Boss	ワールドBOSS	월드 보스	เวิลด์บอส	世界首领	世界首領	World Boss	ワールドBOSS	월드 보스	เวิลด์บอส
8	2007	506	134:action_collection_5_unlock.png	#6B659C	134:action_collection_5_lock.png	10	25	0	109210	1	异步PVP点位跳转	幻影鬥技場點位跳轉	Master Duel Redirection	Pending	비실시간 PVP 지점으로 이동	จุด​วาร์ป​ไป​ PVP​ แบบ​สู้​กับ​ AI​	幻影斗技场	幻影鬥技場	Phantom Clash	ファントム闘技場	팬텀 투기장	แฟนธอมอารีน่า	幻影斗技场	幻影鬥技場	Phantom Clash	ファントム闘技場	팬텀 투기장	แฟนธอมอารีน่า
9	2008	309	134:action_collection_6_unlock.png	#FF89C9	134:action_collection_6_lock.png	6	25	0	106070	1	实时PVP点位跳转	實時對戰點位跳轉	Arena Redirection	Pending	실시간 PVP 지점으로 이동	จุด​วาร์ป​ไป​ PVP​ แบบ​เรียลไทม์​	天梯竞技场	天梯競技場	The Arena	アリーナランク戦	래더 아레나	สกายอารีน่า	开启天梯竞技场	開啟天梯競技場	The Arena	アリーナランク戦解放	래더 아레나 시작	เปิดสกายอารีน่า
10	233	0	134:action_collection_7_unlock.png	#6B659C	134:action_collection_7_lock.png	9	25	0	102100	1	渔点总览	漁點總覽	Fishing Point Overview	漁獲ポイント一覧	낚시터 전체 보기	ภาพรวมแหล่งตกปลา	钓鱼	釣魚	Fishing	釣り	낚시	ตกปลา	鱼类获取	魚類獲取	Fishing	漁獲入手	물고기 획득	ประเภทปลาที่ได้รับ
11	2017	304	134:action_collection_10_unlock.png	#6B659C	134:action_collection_10_lock.png	4	25	0	105030	1	异步PVP点位跳转	幻影鬥技場點位跳轉	Master Duel Redirection	Pending	비실시간 PVP 지점으로 이동	จุด​วาร์ป​ไป​ PVP​ แบบ​สู้​กับ​ AI​	幻影特训场	幻影特訓場	Master Duel	ファントム特訓場	팬텀 특훈장	สนามซ้อมแฟนธอม	幻影特训场	幻影特訓場	Master Duel	ファントム特訓場	팬텀 특훈장	สนามซ้อมแฟนธอม
