type	id	status
string	string	int
1_1_1	10101	1
1_1_2	10103,10104,10105,10106	1
1_1_3	10108,10109	1
1_1_4	10110	1
1_2_1	10111	1
1_3_1	10118	1
1_3_9	10119	1
1_3_11	10121	1
1_3_12	10122	1
1_3_13	10123	1
1_3_14	10125	1
2_1_1	20101	1
2_1_2	20103,20104,20105,20106	1
2_1_3	20108,20109	1
2_1_4	20110	1
2_2_1	20111	1
2_3_1	20118	1
2_3_9	20119	1
2_3_11	20121	1
2_3_12	20122	1
2_3_13	20123	1
2_3_14	20125	1
3_1_1	30101	1
3_1_2	30103,30104,30105,30106	1
3_1_3	30108,30109	1
3_1_4	30110	1
3_2_1	30111	1
3_3_1	30118	1
3_3_9	30119	1
3_3_11	30121	1
3_3_12	30122	1
3_3_13	30123	1
3_3_14	30125	1
4_1_1	40101	1
4_1_2	40103,40104,40105,40106	1
4_1_3	40108,40109	1
4_1_4	40110	1
4_2_1	40111	1
4_3_1	40118	1
4_3_9	40119	1
4_3_11	40121	1
4_3_12	40122	1
4_3_13	40123	1
4_3_14	40125	1
5_1_1	50101	1
5_1_2	50103,50104,50105,50106	1
5_1_3	50108,50109	1
5_1_4	50110	1
5_2_1	50111	1
5_3_1	50118	1
5_3_9	50119	1
5_3_11	50121	1
5_3_12	50122	1
5_3_13	50123	1
5_3_14	50125	1
6_1_1	60101	1
6_1_2	60103,60104,60105,60106	1
6_1_3	60108,60109	1
6_1_4	60110	1
6_2_1	60111	1
6_3_1	60118	1
6_3_9	60119	1
6_3_11	60121	1
6_3_12	60122	1
6_3_13	60123	1
6_3_14	60125	1
