id	regionId	level	isMax	levelUpCost	levelUpNum	rewardGoods	goodsNum	levelUpExplain	status	lable	lable_zh_TW	lable_en_UK	lable_ja_JP	lable_ko_KR	lable_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
101	1	1		0	0	4190001;4110001;5100013	50;5;1	101	1	昆士区区域调查等级1	昆士區區域調查等級1	Quince Investigation Lv.1	コンシ区調査レベル1	퀸즈 타운 지역 조사 레벨 1	ระดับ​การสำรวจ​เขต​ควินซ์​ เล​เวล​ 1​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
102	1	2		0	0	4190001;4110001;6230001	50;10;1	102	1	昆士区区域调查等级2	昆士區區域調查等級2	Quince Investigation Lv.2	コンシ区調査レベル2	퀸즈 타운 지역 조사 레벨 2	ระดับ​การสำรวจ​เขต​ควินซ์​ เล​เวล​ 2​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
103	1	3		0	0	4190001;4110001;5100014	50;15;1	103	1	昆士区区域调查等级3	昆士區區域調查等級3	Quince Investigation Lv.3	コンシ区調査レベル3	퀸즈 타운 지역 조사 레벨 3	ระดับ​การสำรวจ​เขต​ควินซ์​ เล​เวล​ 3​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
104	1	4		0	0	4190001;4110001;5100014	50;20;2	104	1	昆士区区域调查等级4	昆士區區域調查等級4	Quince Investigation Lv.4	コンシ区調査レベル4	퀸즈 타운 지역 조사 레벨 4	ระดับ​การสำรวจ​เขต​ควินซ์​ เล​เวล​ 4​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
105	1	5		0	0	4190001;4110001;6220001	50;25;1	105	1	昆士区区域调查等级5	昆士區區域調查等級5	Quince Investigation Lv.5	コンシ区調査レベル5	퀸즈 타운 지역 조사 레벨 5	ระดับ​การสำรวจ​เขต​ควินซ์​ เล​เวล​ 5​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
106	1	6	1	0	0			106	1	昆士区区域调查等级6	昆士區區域調查等級6	Quince Investigation Lv.6	コンシ区調査レベル6	퀸즈 타운 지역 조사 레벨 6	ระดับ​การสำรวจ​เขต​ควินซ์​ เล​เวล​ 6​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
201	2	1		0	0	4190001;4110001;5100013	50;5;1	201	1	南港区区域调查等级1	南港區區域調查等級1	Southport Investigation Lv.1	南港区調査レベル1	사우스포트 지역 조사 레벨 1	ระดับ​การสำรวจ​เขต​ทะเล​ใต้​ เล​เวล​ 1​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
202	2	2		0	0	4190001;4110001;6230002	50;10;1	202	1	南港区区域调查等级2	南港區區域調查等級2	Southport Investigation Lv.2	南港区調査レベル2	사우스포트 지역 조사 레벨 2	ระดับ​การสำรวจ​เขต​ทะเล​ใต้​ เล​เวล​ 2​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
203	2	3		0	0	4190001;4110001;5100014	50;15;1	203	1	南港区区域调查等级3	南港區區域調查等級3	Southport Investigation Lv.3	南港区調査レベル3	사우스포트 지역 조사 레벨 3	ระดับ​การสำรวจ​เขต​ทะเล​ใต้​ เล​เวล​ 3​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
