id	showItem	showItemNum	showItemTag	fristRewards	fristRewardsNum	regularReward	regularRewardNum	rewardID	rewardNum	totalWeight	rewardWeight	basicExp	basicRoleExp	currencyID	currencyNum	raidRewardID	raidRewardNum	status	boxNumRand	rewardRandom	gRewardItem	gRewardNum	gRewardItemRandom	sRewardItem	sRewardNum	sRewardItemRandom	cRewardItem	cRewardNum	cRewardItemRandom
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
2010501	5600092;5600092;5600092;5600092;4101001	10;10;5;10;2	3;1;2;2;6	5600092	10	5600092	10	5600092,5600092	5,10	10000	7000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600001	1	10000
2010502	5510002;5600014;5600092;5600014;4101001	1;5;5;5;2	3;1;2;2;6	5510002	1	5600014	5	5600092,5600014	5,5	10000	5000,5000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600040;5600061	1;1	5000;5000
2010503	5510003;5600008;5600092;5600014;5600008;4101001	1;5;5;5;5;2	3;1;2;2;2;6	5510003	1	5600008	5	5600092,5600014,5600008	5,5,5	10000	4000,3000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600037;5600049;5600084	1;1;1	4000;3000;3000
2010504	5520001;5600049;5600049;5600049;4101001	1;10;5;10;2	3;1;2;2;6	5520001	1	5600049	10	5600049,5600049	5,10	10000	7000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600041;5600090	1;1	5000;5000
2010505	5520002;5600093;5600049;5600093;4101001	1;5;5;5;2	3;1;2;2;6	5520002	1	5600093	5	5600049,5600093	5,5	10000	5000,5000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600004	1	10000
2010506	5520003;5600029;5600049;5600093;5600029;4101001	1;5;5;5;5;2	3;1;2;2;2;6	5520003	1	5600029	5	5600049,5600093,5600029	5,5,5	10000	4000,3000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600085;5600073;5600013	1;1;1	4000;3000;3000
2010507	5540001;5600040;5600040;5600040;4101001	1;10;5;10;2	3;1;2;2;6	5540001	1	5600040	10	5600040,5600040	5,10	10000	7000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600070;5600083	1;1	5000;5000
2010508	5540002;5600050;5600040;5600050;4101001	1;5;5;5;2	3;1;2;2;6	5540002	1	5600050	5	5600040,5600050	5,5	10000	5000,5000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600034;5600084	1;1	5000;5000
2010509	5540003;5600016;5600040;5600050;5600016;4101001	1;5;5;5;5;2	3;1;2;2;2;6	5540003	1	5600016	5	5600040,5600050,5600016	5,5,5	10000	4000,3000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600067;5600088	1;1	5000;5000
2010101	4101001;4101001;4101001	3;10;2	3;1;6	4101001	3	4101001	10					5	100	3000003	300	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600068	1	10000
2010102	4101001;4101001;4101001	5;14;3	3;1;6	4101001	5	4101001	14					6	120	3000003	360	4101001	3	1	4;6	10000;0;0	0	0	0	0	0	0	5600040	1	10000
2010103	4101001;4101001;4101001	7;20;4	3;1;6	4101001	7	4101001	20					8	160	3000003	480	4101001	4	1	4;6	10000;0;0	0	0	0	0	0	0	5600029	1	10000
