id	showItem	showItemNum	showItemTag	fristRewards	fristRewardsNum	regularReward	regularRewardNum	leaderRewardItem	leaderRewardNum	leaderRewardRandom	rewardID	rewardNum	totalWeight	rewardWeight	playerRewardItem	playerRewardNum	playerReward	playerRewardRandom	basicExp	basicRoleExp	currencyID	currencyNum	raidRewardID	raidRewardNum	boxNumRand	rewardRandom	gRewardItem	gRewardNum	gRewardItemRandom	sRewardItem	sRewardNum	sRewardItemRandom	cRewardItem	cRewardNum	cRewardItemRandom	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
4101	4102901;4102901;4100022;4100021;4190005	2;1;1;1;50	1;2;2;2;9	0	0	4102901	2	0	0	10000	4102901,4100022,4100021	1,1,1	10000	800,1600,7600	4190005	50	10000	10000	15	300	3000003	900	4101001	8	3;3	7600;1600;800	4102901	1	800	4100022	1	1600	4100021	1	7600	1
4102	4102901;4102901;4100022;4100021;4190005	3;1;1;1;50	1;2;2;2;9	0	0	4102901	3	0	0	10000	4102901,4100022,4100021	1,1,1	10000	800,1600,7600	4190005	50	10000	10000	20	400	3000003	1200	4101001	10	3;3	7600;1600;800	4102901	1	800	4100022	1	1600	4100021	1	7600	1
4103	4102901;4102901;4100022;4100021;4190005	5;2;1;1;50	1;2;2;2;9	0	0	4102901	5	0	0	10000	4102901,4100022,4100021	2,1,1	10000	800,1600,7600	4190005	50	10000	10000	25	500	3000003	1500	4101001	13	3;3	7600;1600;800	4102901	2	800	4100022	1	1600	4100021	1	7600	1
4104	4102901;4102901;4100022;4100021;4190005	6;3;1;1;50	1;2;2;2;9	0	0	4102901	6	0	0	10000	4102901,4100022,4100021	3,1,1	10000	800,1600,7600	4190005	50	10000	10000	30	600	3000003	1800	4101001	15	3;3	7600;1600;800	4102901	3	800	4100022	1	1600	4100021	1	7600	1
4201	4102902;4102902;4100022;4100021;4190005	2;1;1;1;50	1;2;2;2;9	0	0	4102902	2	0	0	10000	4102902,4100022,4100021	1,1,1	10000	800,1600,7600	4190005	50	10000	10000	15	300	3000003	900	4101001	8	3;3	7600;1600;800	4102902	1	800	4100022	1	1600	4100021	1	7600	1
4202	4102902;4102902;4100022;4100021;4190005	3;1;1;1;50	1;2;2;2;9	0	0	4102902	3	0	0	10000	4102902,4100022,4100021	1,1,1	10000	800,1600,7600	4190005	50	10000	10000	20	400	3000003	1200	4101001	10	3;3	7600;1600;800	4102902	1	800	4100022	1	1600	4100021	1	7600	1
4203	4102902;4102902;4100022;4100021;4190005	5;2;1;1;50	1;2;2;2;9	0	0	4102902	5	0	0	10000	4102902,4100022,4100021	2,1,1	10000	800,1600,7600	4190005	50	10000	10000	25	500	3000003	1500	4101001	13	3;3	7600;1600;800	4102902	2	800	4100022	1	1600	4100021	1	7600	1
4204	4102902;4102902;4100022;4100021;4190005	6;3;1;1;50	1;2;2;2;9	0	0	4102902	6	0	0	10000	4102902,4100022,4100021	3,1,1	10000	800,1600,7600	4190005	50	10000	10000	30	600	3000003	1800	4101001	15	3;3	7600;1600;800	4102902	3	800	4100022	1	1600	4100021	1	7600	1
4301	4102903;4102903;4100022;4100021;4190005	2;1;1;1;50	1;2;2;2;9	0	0	4102903	2	0	0	10000	4102903,4100022,4100021	1,1,1	10000	800,1600,7600	4190005	50	10000	10000	15	300	3000003	900	4101001	8	3;3	7600;1600;800	4102903	1	800	4100022	1	1600	4100021	1	7600	1
4302	4102903;4102903;4100022;4100021;4190005	3;1;1;1;50	1;2;2;2;9	0	0	4102903	3	0	0	10000	4102903,4100022,4100021	1,1,1	10000	800,1600,7600	4190005	50	10000	10000	20	400	3000003	1200	4101001	10	3;3	7600;1600;800	4102903	1	800	4100022	1	1600	4100021	1	7600	1
4303	4102903;4102903;4100022;4100021;4190005	5;2;1;1;50	1;2;2;2;9	0	0	4102903	5	0	0	10000	4102903,4100022,4100021	2,1,1	10000	800,1600,7600	4190005	50	10000	10000	25	500	3000003	1500	4101001	13	3;3	7600;1600;800	4102903	2	800	4100022	1	1600	4100021	1	7600	1
4304	4102903;4102903;4100022;4100021;4190005	6;3;1;1;50	1;2;2;2;9	0	0	4102903	6	0	0	10000	4102903,4100022,4100021	3,1,1	10000	800,1600,7600	4190005	50	10000	10000	30	600	3000003	1800	4101001	15	3;3	7600;1600;800	4102903	3	800	4100022	1	1600	4100021	1	7600	1
