id	sellerID	type	pos	goodsId	goodsNum	goodsConsum	goodsConsumNum	stock	stockRefreshType	stockRefreshParam	only	iconId	iconTitle	unlockType	unlockId	unlockNum	unlockShow	showItem	weight	showImage	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1010101	1	1	1010101	5600092	10	3000003	30000	100	1					27	1	2010501	1	5600092			1
1010102	1	1	1010102	5600014	10	3000003	40000	100	1					27	1	2010502	1	5600014			1
1010103	1	1	1010103	5600008	10	3000003	50000	100	1					27	1	2010503	1	5600008			1
1010201	1	1	1010201	5600049	10	3000003	30000	100	1					27	1	2010504	1	5600049			1
1010202	1	1	1010202	5600093	10	3000003	40000	100	1					27	1	2010505	1	5600093			1
1010203	1	1	1010203	5600029	10	3000003	50000	100	1					27	1	2010506	1	5600029			1
1010401	1	1	1010401	5600040	10	3000003	30000	100	1					27	1	2010507	1	5600040			1
1010402	1	1	1010402	5600050	10	3000003	40000	100	1					27	1	2010508	1	5600050			1
1010403	1	1	1010403	5600016	10	3000003	50000	100	1					27	1	2010509	1	5600016			1
1020101	2	1	1020101	5600002	10	3000003	30000	100	1					27	2	2020101	1	5600002			1
1020102	2	1	1020102	5600019	10	3000003	40000	100	1					27	2	2020102	1	5600019			1
1020103	2	1	1020103	5600094	10	3000003	30000	100	1					27	2	2020104	1	5600094			1
1020201	2	1	1020201	5600030	10	3000003	40000	100	1					27	2	2020105	1	5600030			1
1020202	2	1	1020202	5600031	10	3000003	50000	100	1					27	2	2020106	1	5600031			1
1020203	2	1	1020203	5600095	10	3000003	30000	100	1					27	2	2020107	1	5600095			1
1020401	2	1	1020401	5600088	10	3000003	40000	100	1					27	2	2020108	1	5600088			1
1020402	2	1	1020402	5600096	10	3000003	50000	100	1					27	2	2020109	1	5600096			1
1020403	3	1	1020403	5600001	10	3000003	30000	100	1					27	3	2030501	1	5600001			1
1030101	3	1	1030101	5600097	10	3000003	50000	100	1					27	3	2030503	1	5600097			1
1030102	3	1	1030102	5600082	10	3000003	30000	100	1					27	3	2030504	1	5600082			1
1030103	3	1	1030103	5600037	10	3000003	40000	100	1					27	3	2030505	1	5600037			1
1030201	3	1	1030201	5600098	10	3000003	50000	100	1					27	3	2030506	1	5600098			1
1030202	3	1	1030202	5600017	10	3000003	30000	100	1					27	3	2030507	1	5600017			1
1030203	3	1	1030203	5600099	10	3000003	40000	100	1					27	3	2030508	1	5600099			1
1030401	3	1	1030401	5600100	10	3000003	50000	100	1					27	3	2030509	1	5600100			1
1030402	4	1	1030402	5600004	10	3000003	30000	100	1					27	4	2040501	1	5600004			1
1030403	4	1	1030403	5600021	10	3000003	40000	100	1					27	4	2040502	1	5600021			1
1040101	4	1	1040101	5600101	10	3000003	50000	100	1					27	4	2040503	1	5600101			1
1040102	4	1	1040102	5600041	10	3000003	30000	100	1					27	4	2040504	1	5600041			1
1040103	4	1	1040103	5600102	10	3000003	40000	100	1					27	4	2040505	1	5600102			1
1040201	4	1	1040201	5600103	10	3000003	50000	100	1					27	4	2040506	1	5600103			1
1040202	4	1	1040202	5600083	10	3000003	30000	100	1					27	4	2040507	1	5600083			1
1040203	4	1	1040203	5600104	10	3000003	40000	100	1					27	4	2040508	1	5600104			1
1040401	4	1	1040401	5600044	10	3000003	50000	100	1					27	4	2040509	1	5600044			1
1040402	5	1	1040402	5600105	10	3000003	30000	100	1					27	5	2050501	1	5600105			1
1040403	5	1	1040403	5600106	10	3000003	40000	100	1					27	5	2050502	1	5600106			1
1050101	5	1	1050101	5600107	10	3000003	50000	100	1					27	5	2050503	1	5600107			1
1050102	5	1	1050102	5600108	10	3000003	30000	100	1					27	5	2050504	1	5600108			1
1050103	5	1	1050103	5600024	10	3000003	40000	100	1					27	5	2050505	1	5600024			1
1050201	5	1	1050201	5600109	10	3000003	30000	100	1					27	5	2050507	1	5600109			1
1050202	5	1	1050202	5600110	10	3000003	40000	100	1					27	5	2050508	1	5600110			1
1050203	5	1	1050203	5600111	10	3000003	50000	100	1					27	5	2050509	1	5600111			1
1050401	6	1	1050401	5600112	10	3000003	30000	100	1					27	6	2060401	1	5600112			1
1050402	6	1	1050402	5600015	10	3000003	40000	100	1					27	6	2060402	1	5600015			1
1050403	6	1	1050403	5600113	10	3000003	50000	100	1					27	6	2060403	1	5600113			1
1060101	6	1	1060101	5600114	10	3000003	30000	100	1					27	6	2060404	1	5600114			1
1060102	6	1	1060102	5600115	10	3000003	40000	100	1					27	6	2060405	1	5600115			1
1060103	6	1	1060103	5600090	10	3000003	50000	100	1					27	6	2060406	1	5600090			1
1060201	6	1	1060201	5600116	10	3000003	30000	100	1					27	6	2060407	1	5600116			1
