id	uid	equipICon	equipShadowICon	unlockType	unlockId	unlockNum	status	equipName	equipName_zh_TW	equipName_en_UK	equipName_ja_JP	equipName_ko_KR	equipName_th_TH	equipJumpName	equipJumpName_zh_TW	equipJumpName_en_UK	equipJumpName_ja_JP	equipJumpName_ko_KR	equipJumpName_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
19	233	7:goods_icon_4010411	132:equipment_icon_1	25	0	103001	1	暴击.头饰	爆擊.頭飾	Critical - Headpiece	会心装飾・頭部	크리티컬.머리 장식	คริติคอล.ประดับหัว	废弃工厂	廢棄工廠	Derelict Factory	廃工場	폐공장 지대	โรงงานร้าง	【暴击.头饰】主属性提供较高生命值的部位	【爆擊.頭飾】主屬性提供較高生命值的部位	[Critical - Headpiece] Provides high HP as its primary stat.	「会心装飾・頭部」メインステータスが最大HPを高める部位。	[크리티컬.머리 장식] 메인 속성이 다른 부위보다 높은 HP를 제공	[​ค​ริ​ติ​คอ​ล.​หมวก​]​ ตำแหน่ง​ที่​ให้​ค่า​ HP​ สูง​จาก​คุณสมบัติ​หลัก​
20	233	7:goods_icon_4010412	132:equipment_icon_2	25	0	103001	1	暴击.耳饰	爆擊.耳飾	Critical - Earrings	会心装飾・耳	크리티컬.귀 장식	คริติคอล.ต่างหู	废弃工厂	廢棄工廠	Derelict Factory	廃工場	폐공장 지대	โรงงานร้าง	【暴击.耳饰】主属性提供较低生命值的部位	【爆擊.耳飾】主屬性提供較低生命值的部位	[Critical - Earrings] Provides lower HP as its primary stat.	「会心装飾・耳」メインステータスが最大HPをやや高める部位。	[크리티컬.귀 장식] 메인 속성이 다른 부위보다 낮은 HP를 제공	[​ค​ริ​ติ​คอ​ล.​ต่างหู​]​ ตำแหน่ง​ที่​ให้​ค่า​ HP​ ต่ำ​จาก​คุณสมบัติ​หลัก​
21	233	7:goods_icon_4010413	132:equipment_icon_3	25	0	103001	1	暴击.颈环	爆擊.頸環	Critical - Necklace	会心装飾・首	크리티컬.목걸이	คริติคอล.ปลอกคอ	废弃工厂	廢棄工廠	Derelict Factory	廃工場	폐공장 지대	โรงงานร้าง	【暴击.颈环】主属性提供较高防御值的部位	【爆擊.頸環】主屬性提供較高防禦值的部位	[Critical - Necklace] Provides high DEF as its primary stat.	「会心装飾・首」メインステータスが防御力を高める部位。	[크리티컬.목걸이] 메인 속성이 다른 부위보다 높은 방어력을 제공	[​ค​ริ​ติ​คอ​ล.​ปลอกคอ​]​ ตำแหน่ง​ที่​ให้​ค่า​ DEF​ สูง​จาก​คุณสมบัติ​หลัก​
22	233	7:goods_icon_4010414	132:equipment_icon_4	25	0	103001	1	暴击.尾饰	爆擊.尾飾	Critical - Tailpiece	会心装飾・尻尾	크리티컬.꼬리 장식	คริติคอล.ประดับหาง	废弃工厂	廢棄工廠	Derelict Factory	廃工場	폐공장 지대	โรงงานร้าง	【暴击.尾饰】主属性提供较低防御值的部位	【爆擊.尾飾】主屬性提供較低防禦值的部位	[Critical - Tailpiece] Provides lower DEF as its primary stat.	「会心装飾・尻尾」メインステータスが防御力をやや高める部位。	[크리티컬.꼬리 장식] 메인 속성이 다른 부위보다 낮은 방어력을 제공	[​ค​ริ​ติ​คอ​ล.​ประดับ​หาง​]​ ตำแหน่ง​ที่​ให้​ค่า​ DEF​ ต่ำ​จาก​คุณสมบัติ​หลัก​
23	233	7:goods_icon_4010415	132:equipment_icon_5	25	0	103001	1	暴击.嘴套	爆擊.嘴套	Critical - Mouthpiece	会心装飾・顔	크리티컬.마스크	คริติคอล.ส่วนปาก	废弃工厂	廢棄工廠	Derelict Factory	廃工場	폐공장 지대	โรงงานร้าง	【暴击.嘴套】主属性提供较高攻击值的部位	【爆擊.嘴套】主屬性提供較高攻擊值的部位	[Critical - Mouthpiece] Provides high ATK as its primary stat.	「会心装飾・顔」メインステータスが攻撃力を高める部位。	[크리티컬.마스크] 메인 속성이 다른 부위보다 높은 공격력을 제공	[​ค​ริ​ติ​คอ​ล.​ส่วน​ปาก​]​ ตำแหน่ง​ที่​ให้​ค่า​ ATK​ สูง​จาก​คุณสมบัติ​หลัก​
24	233	7:goods_icon_4010416	132:equipment_icon_6	25	0	103001	1	暴击.爪饰	爆擊.爪飾	Critical - Claws	会心装飾・爪	크리티컬.장갑	คริติคอล.กรงเล็บ	废弃工厂	廢棄工廠	Derelict Factory	廃工場	폐공장 지대	โรงงานร้าง	【暴击.爪饰】主属性提供较低攻击值的部位	【爆擊.爪飾】主屬性提供較低攻擊值的部位	[Critical - Claws] Provides lower ATK as its primary stat.	「会心装飾・爪」メインステータスが攻撃力をやや高める部位。	[크리티컬.장갑] 메인 속성이 다른 부위보다 낮은 공격력을 제공	[​ค​ริ​ติ​คอ​ล.​กรงเล็บ​]​ ตำแหน่ง​ที่​ให้​ค่า​ ATK​ ต่ำ​จาก​คุณสมบัติ​หลัก​
31	253	7:goods_icon_4010611	132:equipment_icon_1	25	0	108060	1	暴伤.头饰	爆傷.頭飾	CRIT DMG - Headpiece	会心ダメージ装飾・頭部	크리티컬 대미지.머리 장식	ดาเมจคริ.ประดับหัว	利兹大道	利茲大道	Leids Avenue	リーズストリート	리즈 에비뉴	ถนนสายหลักลิซ	【暴伤.头饰】主属性提供较高生命值的部位	【爆傷.頭飾】主屬性提供較高生命值的部位	[CRIT DMG - Headpiece] Provides high HP as its primary stat.	「会心ダメージ装飾・頭部」メインステータスが最大HPを高める部位。	[크리티컬 대미지.머리 장식] 메인 속성이 다른 부위보다 높은 HP를 제공	[​ดา​เม​จค​ริ​.​หมวก​]​ ตำแหน่ง​ที่​ให้​ค่า​ HP​ สูง​จาก​คุณสมบัติ​หลัก​
32	253	7:goods_icon_4010612	132:equipment_icon_2	25	0	108060	1	暴伤.耳饰	爆傷.耳飾	CRIT DMG - Earrings	会心ダメージ装飾・耳	크리티컬 대미지.귀 장식	ดาเมจคริ.ต่างหู	利兹大道	利茲大道	Leids Avenue	リーズストリート	리즈 에비뉴	ถนนสายหลักลิซ	【暴伤.耳饰】主属性提供较低生命值的部位	【爆傷.耳飾】主屬性提供較低生命值的部位	[CRIT DMG - Earrings] Provides lower HP as its primary stat.	「会心ダメージ装飾・耳」メインステータスが最大HPをやや高める部位。	[크리티컬 대미지.귀 장식] 메인 속성이 다른 부위보다 낮은 HP를 제공	[​ดา​เม​จค​ริ​.​ต่างหู​]​ ตำแหน่ง​ที่​ให้​ค่า​ HP​ ต่ำ​จาก​คุณสมบัติ​หลัก​
33	253	7:goods_icon_4010613	132:equipment_icon_3	25	0	108060	1	暴伤.颈环	爆傷.頸環	CRIT DMG - Necklace	会心ダメージ装飾・首	크리티컬 대미지.목걸이	ดาเมจคริ.ปลอกคอ	利兹大道	利茲大道	Leids Avenue	リーズストリート	리즈 에비뉴	ถนนสายหลักลิซ	【暴伤.颈环】主属性提供较高防御值的部位	【爆傷.頸環】主屬性提供較高防禦值的部位	[CRIT DMG - Necklace] Provides high DEF as its primary stat.	「会心ダメージ装飾・首」メインステータスが防御力を高める部位。	[크리티컬 대미지.목걸이] 메인 속성이 다른 부위보다 높은 방어력을 제공	[​ดา​เม​จค​ริ​.​ปลอกคอ​]​ ตำแหน่ง​ที่​ให้​ค่า​ DEF​ สูง​จาก​คุณสมบัติ​หลัก​
