id	ensureRewardNum	ensureReward	regularReward	regularRewardNum	rareReward	rareRewardRandom	rareRewardMinNum	rareRewardMaxNum	rareRewardShow	fristRewards	fristRewardsNum	starRewardId	starRewardNum	showItem	showItemTag	showItemNum	showReward	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
21101	0	0	419002	100	500112;500122;500222;500111;500121;500221;501021	0.5;0.5;0.5;1;1;1;0.2	1;1;1;1;1;1;1	1;1;1;1;1;1;1	500112;500122;500222;500111;500121;500221;501021	419002	1000	0	0	300021;419002;419002;500112;500122;500222;500111;500121;500221;501021	1;3;1;2;2;2;2;2;2;2	20;1000;100;0;0;0;0;0;0;0	500112;500122;500222;300021	1
21102	0	0	419002	110	500113;500123;500223;500112;500122;500222;500111;500121;500221;501021	0.2;0.2;0.2;0.6;0.6;0.6;1;1;1;0.25	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	500113;500123;500223;500112;500122;500222;500111;500121;500221;501021	419002	1100	0	0	300021;419002;419002;500113;500123;500223;500112;500122;500222;500111;500121;500221;501021	1;3;1;2;2;2;2;2;2;2;2;2;2	22;1100;110;0;0;0;0;0;0;0;0;0;0	500113;500123;500223;300021	1
21103	0	0	419002	120	500113;500123;500223;500112;500122;500222;500111;500121;500221;501022;501021	0.4;0.4;0.4;0.8;0.8;0.8;1;1;1;0.2;0.3	1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1	500113;500123;500223;500112;500122;500222;500111;500121;500221;501022;501021	419002	1200	0	0	300021;419002;419002;500113;500123;500223;500112;500122;500222;500111;500121;500221;501022;501021	1;3;1;2;2;2;2;2;2;2;2;2;2;2	24;1200;120;0;0;0;0;0;0;0;0;0;0;0	500113;500123;500223;300021	1
21104	0	0	419002	130	500114;500124;500224;500113;500123;500223;500112;500122;500222;501022;501021	0.08;0.08;0.08;0.6;0.6;0.6;1;1;1;0.23;0.35	1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1	500114;500124;500224;500113;500123;500223;500112;500122;500222;501022;501021	419002	1300	0	0	300021;419002;419002;500114;500124;500224;500113;500123;500223;500112;500122;500222;501022;501021	1;3;1;2;2;2;2;2;2;2;2;2;2;2	26;1300;130;0;0;0;0;0;0;0;0;0;0;0	500114;500124;500224;300021	1
21105	0	0	419002	140	500114;500124;500224;500113;500123;500223;500112;500122;500222;501022	0.2;0.2;0.2;0.8;0.8;0.8;1;1;1;0.26	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	500114;500124;500224;500113;500123;500223;500112;500122;500222;501022	419002	1400	0	0	300021;419002;419002;500114;500124;500224;500113;500123;500223;500112;500122;500222;501022	1;3;1;2;2;2;2;2;2;2;2;2;2	28;1400;140;0;0;0;0;0;0;0;0;0;0	500114;500124;500224;300021	1
21106	0	0	419002	150	500114;500124;500224;500113;500123;500223;500112;500122;500222;501022	0.4;0.4;0.4;1;1;1;1;1;1;0.29	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	500114;500124;500224;500113;500123;500223;500112;500122;500222;501022	419002	1500	0	0	300021;419002;419002;500114;500124;500224;500113;500123;500223;500112;500122;500222;501022	1;3;1;2;2;2;2;2;2;2;2;2;2	30;1500;150;0;0;0;0;0;0;0;0;0;0	500114;500124;500224;300021	1
21107	0	0	419002	175	500114;500124;500224;500113;500123;500223;500112;500122;500222;501023	0.6;0.6;0.6;1;1;1;0.8;0.8;0.8;0.01	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	500114;500124;500224;500113;500123;500223;500112;500122;500222;501023	419002	1750	0	0	300021;419002;419002;500114;500124;500224;500113;500123;500223;500112;500122;500222;501023	1;3;1;2;2;2;2;2;2;2;2;2;2	35;1750;175;0;0;0;0;0;0;0;0;0;0	500114;500124;500224;300021	1
21108	0	0	419002	200	500115;500125;500225;500114;500124;500224;500113;500123;500223;501023	0.08;0.08;0.08;0.8;0.8;0.8;1;1;1;0.02	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	500115;500125;500225;500114;500124;500224;500113;500123;500223;501023	419002	2000	0	0	300021;419002;419002;500115;500125;500225;500114;500124;500224;500113;500123;500223;501023	1;3;1;2;2;2;2;2;2;2;2;2;2	40;2000;200;0;0;0;0;0;0;0;0;0;0	500115;500125;500225;300021	1
21109	0	0	419002	225	500115;500125;500225;500114;500124;500224;500113;500123;500223;501023	0.12;0.12;0.12;1;1;1;1;1;1;0.03	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	500115;500125;500225;500114;500124;500224;500113;500123;500223;501023	419002	2250	0	0	300021;419002;419002;500115;500125;500225;500114;500124;500224;500113;500123;500223;501023	1;3;1;2;2;2;2;2;2;2;2;2;2	45;2250;225;0;0;0;0;0;0;0;0;0;0	500115;500125;500225;300021	1
