id	type	regionLevel	Exp	cardExp	unlockNum	proposalLevel	frequency	costItem	costNum	costNumLose	starCondition	starConditionNum	SceneId	monsterShow	location	rounds	appointment	teamLimit	time	repeatButton	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
20101	1	1	20	0	0	10000		300004	9	1	100;200;300	0;0;8	6	31002281;31002281;31003281;31003281	243;493	15	2	5000	100	1	1
20102	1	2	20	0	20101	16000		300004	9	1	100;200;300	0;0;8	6	31002281;31002281;31003281;31003281	243;493	15	2	8000	100	1	1
20103	1	3	30	0	20102	24000		300004	14	1	100;200;300	0;0;8	6	31002281;31002281;31003281;31003281	243;493	15	2	12000	150	1	1
20104	1	4	30	0	20103	33000		300004	14	1	100;200;300	0;0;8	6	31002281;31002281;31003281;31003281	243;493	15	2	16500	150	1	1
20105	1	5	40	0	20104	44000		300004	19	1	100;200;300	0;0;8	6	31002281;31002281;31003281;31003281	243;493	15	2	22000	200	1	1
20106	1	6	40	0	20105	58000		300004	19	1	100;200;300	0;0;8	6	31002281;31002281;31003281;31003281	243;493	15	2	29000	200	1	1
20107	1	7	50	0	20106	73000		300004	24	1	100;200;300	0;0;8	6	31002281;31002281;31003281;31003281	243;493	15	2	36500	250	1	1
20108	1	8	50	0	20107	90000		300004	24	1	100;200;300	0;0;8	6	32002281;32002281;32004281;32004281	243;493	15	2	45000	250	1	1
20109	1	9	60	0	20108	109000		300004	29	1	100;200;300	0;0;8	6	32002281;32002281;32004281;32004281	243;493	15	2	54500	300	1	1
20110	1	10	60	0	20109	130000		300004	29	1	100;200;300	0;0;8	6	32002281;32002281;32004281;32004281	243;493	15	2	65000	300	1	1
20201	2	1	20	0	0	8000		300004	9	1	100;200;300	0;0;8	8	31004281;31005281;31004281;31005281	243;493	15	2	4000	100	1	1
20202	2	2	20	0	20201	13000		300004	9	1	100;200;300	0;0;8	8	31004281;31005281;31004281;31005281	243;493	15	2	6500	100	1	1
20203	2	3	30	0	20202	24000		300004	14	1	100;200;300	0;0;8	8	31004281;31005281;31004281;31005281	243;493	15	2	12000	150	1	1
20204	2	4	30	0	20203	33000		300004	14	1	100;200;300	0;0;8	8	31004281;31005281;31004281;31005281	243;493	15	2	16500	150	1	1
20205	2	5	40	0	20204	44000		300004	19	1	100;200;300	0;0;8	8	31004281;31005281;31004281;31005281	243;493	15	2	22000	200	1	1
20206	2	6	40	0	20205	58000		300004	19	1	100;200;300	0;0;8	8	31004281;31005281;31004281;31005281	243;493	15	2	29000	200	1	1
20207	2	7	50	0	20206	73000		300004	24	1	100;200;300	0;0;8	8	31004281;31005281;31004281;31005281	243;493	15	2	36500	250	1	1
20208	2	8	50	0	20207	90000		300004	24	1	100;200;300	0;0;8	8	32004281;32005281;32004281;32005281	243;493	15	2	45000	250	1	1
20209	2	9	60	0	20208	109000		300004	29	1	100;200;300	0;0;8	8	32004281;32005281;32004281;32005281	243;493	15	2	54500	300	1	1
20210	2	10	60	0	20209	130000		300004	29	1	100;200;300	0;0;8	8	32004281;32005281;32004281;32005281	243;493	15	2	65000	300	1	1
20301	3	1	20	0	0	10000		300004	9	1	100;200;300	0;0;8	3	31000040;34003281;31000040	243;493	15	2	5000	100	1	1
20302	3	2	20	0	20301	16000		300004	9	1	100;200;300	0;0;8	3	31000040;34003281;31000040	243;493	15	2	8000	100	1	1
20303	3	3	30	0	20302	24000		300004	14	1	100;200;300	0;0;8	3	31000040;34003281;31000040	243;493	15	2	12000	150	1	1
20304	3	4	30	0	20303	33000		300004	14	1	100;200;300	0;0;8	3	31000040;34003281;31000040	243;493	15	2	16500	150	1	1
20305	3	5	40	0	20304	44000		300004	19	1	100;200;300	0;0;8	3	31000040;34003281;31000040	243;493	15	2	22000	200	1	1
20306	3	6	40	0	20305	58000		300004	19	1	100;200;300	0;0;8	3	31000040;34003281;31000040	243;493	15	2	29000	200	1	1
20307	3	7	50	0	20306	73000		300004	24	1	100;200;300	0;0;8	3	31000040;34003281;31000040	243;493	15	2	36500	250	1	1
20308	3	8	50	0	20307	90000		300004	24	1	100;200;300	0;0;8	3	32000040;35003281;32000040	243;493	15	2	45000	250	1	1
20309	3	9	60	0	20308	109000		300004	29	1	100;200;300	0;0;8	3	32000040;35003281;32000040	243;493	15	2	54500	300	1	1
20310	3	10	60	0	20309	130000		300004	29	1	100;200;300	0;0;8	3	32000040;35003281;32000040	243;493	15	2	65000	300	1	1
20401	4	1	20	0	0	10000		300004	9	1	100;200;300	0;0;8	7	31007281;31007281;31007281;31007281	243;493	15	2	5000	100	1	1
20402	4	2	20	0	20401	16000		300004	9	1	100;200;300	0;0;8	7	31007281;31007281;31007281;31007281	243;493	15	2	8000	100	1	1
20403	4	3	30	0	20402	24000		300004	14	1	100;200;300	0;0;8	7	31007281;31007281;31007281;31007281	243;493	15	2	12000	150	1	1
20404	4	4	30	0	20403	33000		300004	14	1	100;200;300	0;0;8	7	31007281;31007281;31007281;31007281	243;493	15	2	16500	150	1	1
20405	4	5	40	0	20404	44000		300004	19	1	100;200;300	0;0;8	7	31007281;31007281;31007281;31007281	243;493	15	2	22000	200	1	1
20406	4	6	40	0	20405	58000		300004	19	1	100;200;300	0;0;8	7	31007281;31007281;31007281;31007281	243;493	15	2	29000	200	1	1
20407	4	7	50	0	20406	73000		300004	24	1	100;200;300	0;0;8	7	31007281;31007281;31007281;31007281	243;493	15	2	36500	250	1	1
20408	4	8	50	0	20407	90000		300004	24	1	100;200;300	0;0;8	7	32007281;32007281;32007281;32007281	243;493	15	2	45000	250	1	1
20409	4	9	60	0	20408	109000		300004	29	1	100;200;300	0;0;8	7	32007281;32007281;32007281;32007281	243;493	15	2	54500	300	1	1
20410	4	10	60	0	20409	130000		300004	29	1	100;200;300	0;0;8	7	32007281;32007281;32007281;32007281	243;493	15	2	65000	300	1	1
