id	type	regionLevel	unlockNum	frequency	costItem	costNum	SceneId	pointID	initialCost	extraCost	showReward	status
int	int	int	int	int	int	int	int	int	int	int	int	int
101	1	1	0		411001	20	2	21101;21113;21151;21161	10	2	500112;500122;500222;300021	1
102	1	2	101		411001	22	2	21102;21113;21152;21162	10	2	500113;500123;500223;300021	1
103	1	3	102		411001	24	2	21103;21113;21143;21153;21163	10	2	500113;500123;500223;300021	1
104	1	4	103		411001	26	2	21104;21114;21144;21154;21164	9	3	500114;500124;500224;300021	1
105	1	5	104		411001	28	2	21105;21115;21135;21145;21155;21165	9	3	500114;500124;500224;300021	1
106	1	6	105		411001	30	2	21106;21116;21136;21146;21156;21166	9	3	500114;500124;500224;300021	1
107	1	7	106		411001	35	2	21107;21117;21127;21137;21147;21157;21167	9	3	500114;500124;500224;300021	1
108	1	8	107		411001	40	2	21108;21118;21128;21138;21148;21158;21168	8	4	500115;500125;500225;300021	1
109	1	9	108		411001	45	2	21109;21119;21129;21139;21149;21159;21169	8	4	500115;500125;500225;300021	1
110	1	10	109		411001	50	2	21110;21120;21130;21140;21150;21160;21170	8	4	500115;500125;500225;300021	1
111	1	11	110		411001	50	2	21111;21120;21130;21140;21150;21160;21170	8	4	500115;500125;500225;300021	1
201	2	1	0		411001	20	2	21201;21213;21251;21261	10	2	500152;500172;500292;300021	1
202	2	2	201		411001	22	2	21202;21213;21252;21262	10	2	500153;500173;500293;300021	1
203	2	3	202		411001	24	2	21203;21213;21243;21253;21263	10	2	500153;500173;500293;300021	1
204	2	4	203		411001	26	2	21204;21214;21244;21254;21264	9	3	500154;500174;500294;300021	1
205	2	5	204		411001	28	2	21205;21215;21235;21245;21255;21265	9	3	500154;500174;500294;300021	1
206	2	6	205		411001	30	2	21206;21216;21236;21246;21256;21266	9	3	500154;500174;500294;300021	1
207	2	7	206		411001	35	2	21207;21217;21227;21237;21247;21257;21267	9	3	500154;500174;500294;300021	1
208	2	8	207		411001	40	2	21208;21218;21228;21238;21248;21258;21268	8	4	500155;500175;500295;300021	1
209	2	9	208		411001	45	2	21209;21219;21229;21239;21249;21259;21269	8	4	500155;500175;500295;300021	1
210	2	10	209		411001	50	2	21210;21220;21230;21240;21250;21260;21270	8	4	500155;500175;500295;300021	1
211	2	11	210		411001	50	2	21211;21220;21230;21240;21250;21260;21270	8	4	500155;500175;500295;300021	1
301	3	1	0		411001	20	2	21301;21313;21351;21361	10	2	500162;500272;500182;300021	1
302	3	2	301		411001	22	2	21302;21313;21352;21362	10	2	500163;500273;500183;300021	1
303	3	3	302		411001	24	2	21303;21313;21343;21353;21363	10	2	500163;500273;500183;300021	1
304	3	4	303		411001	26	2	21304;21314;21344;21354;21364	9	3	500164;500274;500184;300021	1
305	3	5	304		411001	28	2	21305;21315;21335;21345;21355;21365	9	3	500164;500274;500184;300021	1
306	3	6	305		411001	30	2	21306;21316;21336;21346;21356;21366	9	3	500164;500274;500184;300021	1
307	3	7	306		411001	35	2	21307;21317;21327;21337;21347;21357;21367	9	3	500164;500274;500184;300021	1
308	3	8	307		411001	40	2	21308;21318;21328;21338;21348;21358;21368	8	4	500165;500275;500185;300021	1
309	3	9	308		411001	45	2	21309;21319;21329;21339;21349;21359;21369	8	4	500165;500275;500185;300021	1
310	3	10	309		411001	50	2	21310;21320;21330;21340;21350;21360;21370	8	4	500165;500275;500185;300021	1
311	3	11	310		411001	50	2	21311;21320;21330;21340;21350;21360;21370	8	4	500165;500275;500185;300021	1
401	4	1	0		411001	20	2	21401;21413;21451;21461	10	2	500192;500242;500212;300021	1
402	4	2	401		411001	22	2	21402;21413;21452;21462	10	2	500193;500243;500213;300021	1
403	4	3	402		411001	24	2	21403;21413;21443;21453;21463	10	2	500193;500243;500213;300021	1
404	4	4	403		411001	26	2	21404;21414;21444;21454;21464	9	3	500194;500244;500214;300021	1
405	4	5	404		411001	28	2	21405;21415;21435;21445;21455;21465	9	3	500194;500244;500214;300021	1
406	4	6	405		411001	30	2	21406;21416;21436;21446;21456;21466	9	3	500194;500244;500214;300021	1
407	4	7	406		411001	35	2	21407;21417;21427;21437;21447;21457;21467	9	3	500194;500244;500214;300021	1
408	4	8	407		411001	40	2	21408;21418;21428;21438;21448;21458;21468	8	4	500195;500245;500215;300021	1
409	4	9	408		411001	45	2	21409;21419;21429;21439;21449;21459;21469	8	4	500195;500245;500215;300021	1
410	4	10	409		411001	50	2	21410;21420;21430;21440;21450;21460;21470	8	4	500195;500245;500215;300021	1
411	4	11	410		411001	50	2	21411;21420;21430;21440;21450;21460;21470	8	4	500195;500245;500215;300021	1
