id	regularReward	regularRewardNum	rareReward	rareRewardRandom	rareRewardMinNum	rareRewardMaxNum	rareRewardShow	rareRewardShowNum	fristRewards	fristRewardsNum	starRewardId	starRewardNum	showItem	showItemTag	showItemNum	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
20101	419003	2	500031;500021;500011;419002;419003;419003	1;2;2;1;0.7;0.3	1;1;1;30;1;1	1;1;1;50;1;1	419002;419003;419003;500031;400131;400231;400331;400431;400531;400631;400731;400831;500021;400121;400221;400321;400421;400521;400621;400721;400821;500011;400111;400211;400311;400411;400511;400611;400711;400811	30;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	1200	419002;419003;419002;500031;400131;400231;400331;400431;400531;400631;400731;400831;500021;400121;400221;400321;400421;400521;400621;400721;400821;500011;400111;400211;400311;400411;400511;400611;400711;400811;419003;419003	4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	1200;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;1;1	1
20102	419003	2	500031;500021;500011;419002;419003;419003	1.2;3;1;1;0.7;0.3	1;1;1;30;1;1	1;1;1;50;1;1	419002;419003;419003;500031;400131;400231;400331;400431;400531;400631;400731;400831;500021;400121;400221;400321;400421;400521;400621;400721;400821;500011;400111;400211;400311;400411;400511;400611;400711;400811	30;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	1400	419002;419003;419002;500031;400131;400231;400331;400431;400531;400631;400731;400831;500021;400121;400221;400321;400421;400521;400621;400721;400821;500011;400111;400211;400311;400411;400511;400611;400711;400811;419003;419003	4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	1400;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;1;1	1
20103	419003	3	500031;500021;500011;419002;419003;419003	2;5;1;1;0.7;0.3	1;1;1;45;2;1	1;1;1;75;2;1	419002;419003;419003;500031;400131;400231;400331;400431;400531;400631;400731;400831;500021;400121;400221;400321;400421;400521;400621;400721;400821;500011;400111;400211;400311;400411;400511;400611;400711;400811	45;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	1600	419002;419003;419002;500031;400131;400231;400331;400431;400531;400631;400731;400831;500021;400121;400221;400321;400421;400521;400621;400721;400821;500011;400111;400211;400311;400411;400511;400611;400711;400811;419003;419003	4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	1600;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;2;1	1
20104	419003	3	500041;500031;500021;419002;419003;419003	0.3;3;3;1;0.7;0.3	1;1;1;45;2;2	1;1;1;75;2;2	419002;419003;419003;500041;400141;400241;400341;400441;400541;400641;400741;400841;500031;400131;400231;400331;400431;400531;400631;400731;400831;500021;400121;400221;400321;400421;400521;400621;400721;400821;	45;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	1800	419002;419003;419002;500041;400141;400241;400341;400441;400541;400641;400741;400841;500031;400131;400231;400331;400431;400531;400631;400731;400831;500021;400121;400221;400321;400421;400521;400621;400721;400821;;419003;419003	4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	1800;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;2;2	1
20105	411001;419003	4;5	500041;500031;500021;419002;419003;419003	0.5;5;2;1;0.7;0.3	1;1;1;60;3;2	1;1;1;100;3;2	419002;419003;419003;500041;400141;400241;400341;400441;400541;400641;400741;400841;500031;400131;400231;400331;400431;400531;400631;400731;400831;500021;400121;400221;400321;400421;400521;400621;400721;400821;	60;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	2000	419002;411001;419003;419002;500041;400141;400241;400341;400441;400541;400641;400741;400841;500031;400131;400231;400331;400431;400531;400631;400731;400831;500021;400121;400221;400321;400421;400521;400621;400721;400821;;419003;419003	4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	2000;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;3;2	1
20106	411001;419003	4;5	500041;500031;500021;419002;419003;419003	0.8;6;1;1;0.7;0.3	1;1;1;60;3;3	1;1;1;100;3;3	419002;419003;419003;500041;400141;400241;400341;400441;400541;400641;400741;400841;500031;400131;400231;400331;400431;400531;400631;400731;400831;500021;400121;400221;400321;400421;400521;400621;400721;400821;	60;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	2200	419002;411001;419003;419002;500041;400141;400241;400341;400441;400541;400641;400741;400841;500031;400131;400231;400331;400431;400531;400631;400731;400831;500021;400121;400221;400321;400421;400521;400621;400721;400821;;419003;419003	4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	2200;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;3;3	1
20107	411001;419003	5;7	500051;500041;500031;419002;419003;419003	0.1;1.2;8;1;0.7;0.3	1;1;1;75;4;3	1;1;1;125;4;3	419002;419003;419003;500051;400151;400251;400351;400451;400551;400651;400751;400851;500041;400141;400241;400341;400441;400541;400641;400741;400841;500031;400131;400231;400331;400431;400531;400631;400731;400831;	75;4;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	2400	419002;411001;419003;419002;500051;400151;400251;400351;400451;400551;400651;400751;400851;500041;400141;400241;400341;400441;400541;400641;400741;400841;500031;400131;400231;400331;400431;400531;400631;400731;400831;;419003;419003	4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	2400;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;4;3	1
20108	411001;419003	5;7	500051;500041;500031;419002;419003;419003	0.15;1.8;7;1;0.7;0.3	1;1;1;75;4;4	1;1;1;125;4;4	419002;419003;419003;500051;400151;400251;400351;400451;400551;400651;400751;400851;500041;400141;400241;400341;400441;400541;400641;400741;400841;500031;400131;400231;400331;400431;400531;400631;400731;400831;	75;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	2600	419002;411001;419003;419002;500051;400151;400251;400351;400451;400551;400651;400751;400851;500041;400141;400241;400341;400441;400541;400641;400741;400841;500031;400131;400231;400331;400431;400531;400631;400731;400831;;419003;419003	4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	2600;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;4;4	1
20109	411001;419003	6;10	500051;500041;500031;419002;419003;419003	0.2;2.5;8;1;0.7;0.3	1;1;1;90;5;4	1;1;1;150;5;4	419002;419003;419003;500051;400151;400251;400351;400451;400551;400651;400751;400851;500041;400141;400241;400341;400441;400541;400641;400741;400841;500031;400131;400231;400331;400431;400531;400631;400731;400831;	90;5;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	2800	419002;411001;419003;419002;500051;400151;400251;400351;400451;400551;400651;400751;400851;500041;400141;400241;400341;400441;400541;400641;400741;400841;500031;400131;400231;400331;400431;400531;400631;400731;400831;;419003;419003	4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	2800;6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;5;4	1
20110	411001;419003	6;10	500051;500041;500031;419002;419003;419003	0.25;4.5;6;1;0.7;0.3	1;1;1;90;5;5	1;1;1;150;5;5	419002;419003;419003;500051;400151;400251;400351;400451;400551;400651;400751;400851;500041;400141;400241;400341;400441;400541;400641;400741;400841;500031;400131;400231;400331;400431;400531;400631;400731;400831;	90;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	3000	419002;411001;419003;419002;500051;400151;400251;400351;400451;400551;400651;400751;400851;500041;400141;400241;400341;400441;400541;400641;400741;400841;500031;400131;400231;400331;400431;400531;400631;400731;400831;;419003;419003	4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	3000;6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;5;5	1
20201	419003	2	500032;500022;500012;419002;419003;419003	1;2;2;1;0.7;0.3	1;1;1;30;1;1	1;1;1;50;1;1	419002;419003;419003;500032;400132;400232;400332;400432;400532;400632;400732;400832;500022;400122;400222;400322;400422;400522;400622;400722;400822;500012;400112;400212;400312;400412;400512;400612;400712;400812	30;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	1200	419002;419003;419002;500032;400132;400232;400332;400432;400532;400632;400732;400832;500022;400122;400222;400322;400422;400522;400622;400722;400822;500012;400112;400212;400312;400412;400512;400612;400712;400812;419003;419003	4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	1200;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;1;1	1
20202	419003	2	500032;500022;500012;419002;419003;419003	1.2;3;1;1;0.7;0.3	1;1;1;30;1;1	1;1;1;50;1;1	419002;419003;419003;500032;400132;400232;400332;400432;400532;400632;400732;400832;500022;400122;400222;400322;400422;400522;400622;400722;400822;500012;400112;400212;400312;400412;400512;400612;400712;400812	30;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	1400	419002;419003;419002;500032;400132;400232;400332;400432;400532;400632;400732;400832;500022;400122;400222;400322;400422;400522;400622;400722;400822;500012;400112;400212;400312;400412;400512;400612;400712;400812;419003;419003	4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	1400;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;1;1	1
20203	419003	3	500032;500022;500012;419002;419003;419003	2;5;1;1;0.7;0.3	1;1;1;45;2;1	1;1;1;75;2;1	419002;419003;419003;500032;400132;400232;400332;400432;400532;400632;400732;400832;500022;400122;400222;400322;400422;400522;400622;400722;400822;500012;400112;400212;400312;400412;400512;400612;400712;400812	45;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	1600	419002;419003;419002;500032;400132;400232;400332;400432;400532;400632;400732;400832;500022;400122;400222;400322;400422;400522;400622;400722;400822;500012;400112;400212;400312;400412;400512;400612;400712;400812;419003;419003	4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	1600;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;2;1	1
20204	419003	3	500042;500032;500022;419002;419003;419003	0.3;3;3;1;0.7;0.3	1;1;1;45;2;2	1;1;1;75;2;2	419002;419003;419003;500042;400142;400242;400342;400442;400542;400642;400742;400842;500032;400132;400232;400332;400432;400532;400632;400732;400832;500022;400122;400222;400322;400422;400522;400622;400722;400822;	45;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	1800	419002;419003;419002;500042;400142;400242;400342;400442;400542;400642;400742;400842;500032;400132;400232;400332;400432;400532;400632;400732;400832;500022;400122;400222;400322;400422;400522;400622;400722;400822;;419003;419003	4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	1800;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;2;2	1
20205	411001;419003	4;5	500042;500032;500022;419002;419003;419003	0.5;5;2;1;0.7;0.3	1;1;1;60;3;2	1;1;1;100;3;2	419002;419003;419003;500042;400142;400242;400342;400442;400542;400642;400742;400842;500032;400132;400232;400332;400432;400532;400632;400732;400832;500022;400122;400222;400322;400422;400522;400622;400722;400822;	60;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	2000	419002;411001;419003;419002;500042;400142;400242;400342;400442;400542;400642;400742;400842;500032;400132;400232;400332;400432;400532;400632;400732;400832;500022;400122;400222;400322;400422;400522;400622;400722;400822;;419003;419003	4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	2000;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;3;2	1
20206	411001;419003	4;5	500042;500032;500022;419002;419003;419003	0.8;6;1;1;0.7;0.3	1;1;1;60;3;3	1;1;1;100;3;3	419002;419003;419003;500042;400142;400242;400342;400442;400542;400642;400742;400842;500032;400132;400232;400332;400432;400532;400632;400732;400832;500022;400122;400222;400322;400422;400522;400622;400722;400822;	60;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	2200	419002;411001;419003;419002;500042;400142;400242;400342;400442;400542;400642;400742;400842;500032;400132;400232;400332;400432;400532;400632;400732;400832;500022;400122;400222;400322;400422;400522;400622;400722;400822;;419003;419003	4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	2200;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;3;3	1
20207	411001;419003	5;7	500052;500042;500032;419002;419003;419003	0.1;1.2;8;1;0.7;0.3	1;1;1;75;4;3	1;1;1;125;4;3	419002;419003;419003;500052;400152;400252;400352;400452;400552;400652;400752;400852;500042;400142;400242;400342;400442;400542;400642;400742;400842;500032;400132;400232;400332;400432;400532;400632;400732;400832;	75;4;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	2400	419002;411001;419003;419002;500052;400152;400252;400352;400452;400552;400652;400752;400852;500042;400142;400242;400342;400442;400542;400642;400742;400842;500032;400132;400232;400332;400432;400532;400632;400732;400832;;419003;419003	4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	2400;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;4;3	1
20208	411001;419003	5;7	500052;500042;500032;419002;419003;419003	0.15;1.8;7;1;0.7;0.3	1;1;1;75;4;4	1;1;1;125;4;4	419002;419003;419003;500052;400152;400252;400352;400452;400552;400652;400752;400852;500042;400142;400242;400342;400442;400542;400642;400742;400842;500032;400132;400232;400332;400432;400532;400632;400732;400832;	75;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	2600	419002;411001;419003;419002;500052;400152;400252;400352;400452;400552;400652;400752;400852;500042;400142;400242;400342;400442;400542;400642;400742;400842;500032;400132;400232;400332;400432;400532;400632;400732;400832;;419003;419003	4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	2600;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;4;4	1
20209	411001;419003	6;10	500052;500042;500032;419002;419003;419003	0.2;2.5;8;1;0.7;0.3	1;1;1;90;5;4	1;1;1;150;5;4	419002;419003;419003;500052;400152;400252;400352;400452;400552;400652;400752;400852;500042;400142;400242;400342;400442;400542;400642;400742;400842;500032;400132;400232;400332;400432;400532;400632;400732;400832;	90;5;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	2800	419002;411001;419003;419002;500052;400152;400252;400352;400452;400552;400652;400752;400852;500042;400142;400242;400342;400442;400542;400642;400742;400842;500032;400132;400232;400332;400432;400532;400632;400732;400832;;419003;419003	4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	2800;6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;5;4	1
20210	411001;419003	6;10	500052;500042;500032;419002;419003;419003	0.25;4.5;6;1;0.7;0.3	1;1;1;90;5;5	1;1;1;150;5;5	419002;419003;419003;500052;400152;400252;400352;400452;400552;400652;400752;400852;500042;400142;400242;400342;400442;400542;400642;400742;400842;500032;400132;400232;400332;400432;400532;400632;400732;400832;	90;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	3000	419002;411001;419003;419002;500052;400152;400252;400352;400452;400552;400652;400752;400852;500042;400142;400242;400342;400442;400542;400642;400742;400842;500032;400132;400232;400332;400432;400532;400632;400732;400832;;419003;419003	4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	3000;6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;5;5	1
20301	419003	2	500033;500023;500013;419002;419003;419003	1;2;2;1;0.7;0.3	1;1;1;30;1;1	1;1;1;50;1;1	419002;419003;419003;500033;400133;400233;400333;400433;400533;400633;400733;400833;500023;400123;400223;400323;400423;400523;400623;400723;400823;500013;400113;400213;400313;400413;400513;400613;400713;400813	30;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	1200	419002;419003;419002;500033;400133;400233;400333;400433;400533;400633;400733;400833;500023;400123;400223;400323;400423;400523;400623;400723;400823;500013;400113;400213;400313;400413;400513;400613;400713;400813;419003;419003	4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	1200;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;1;1	1
20302	419003	2	500033;500023;500013;419002;419003;419003	1.2;3;1;1;0.7;0.3	1;1;1;30;1;1	1;1;1;50;1;1	419002;419003;419003;500033;400133;400233;400333;400433;400533;400633;400733;400833;500023;400123;400223;400323;400423;400523;400623;400723;400823;500013;400113;400213;400313;400413;400513;400613;400713;400813	30;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	1400	419002;419003;419002;500033;400133;400233;400333;400433;400533;400633;400733;400833;500023;400123;400223;400323;400423;400523;400623;400723;400823;500013;400113;400213;400313;400413;400513;400613;400713;400813;419003;419003	4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	1400;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;1;1	1
