taskAchId	before	taskContentType	taskContentId	taskContenNum	resetType	rewardId	rewardNum	openType	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
91001		1122	9000	1	2	3000013;3000002	100;50	0	1	在赛季中名次首次达到9000名	在賽季中名次首次達到9000名	Rank No. 9000 for the first time in the season.	今シーズンで初回9000位に入る	시즌 내 첫 랭킹 상위 9000위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 9,000​ เป็นครั้งแรก​
91002		1122	8000	1	2	3000013;3000002	175;75	0	1	在赛季中名次首次达到8000名	在賽季中名次首次達到8000名	Rank No. 8000 for the first time in the season.	今シーズンで初回8000位に入る	시즌 내 첫 랭킹 상위 8000위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 8,000​ เป็นครั้งแรก​
91003		1122	7000	1	2	3000013;3000002	250;100	0	1	在赛季中名次首次达到7000名	在賽季中名次首次達到7000名	Rank No. 7000 for the first time in the season.	今シーズンで初回7000位に入る	시즌 내 첫 랭킹 상위 7000위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 7,000​ เป็นครั้งแรก​
91004		1122	6000	1	2	3000013;3000002	325;125	0	1	在赛季中名次首次达到6000名	在賽季中名次首次達到6000名	Rank No. 6000 for the first time in the season.	今シーズンで初回6000位に入る	시즌 내 첫 랭킹 상위 6000위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 6,000​ เป็นครั้งแรก​
91005		1122	5000	1	2	3000013;3000002	400;150	0	1	在赛季中名次首次达到5000名	在賽季中名次首次達到5000名	Rank No. 5000 for the first time in the season.	今シーズンで初回5000位に入る	시즌 내 첫 랭킹 상위 5000위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 5,000​ เป็นครั้งแรก​
91006		1122	4000	1	2	3000013;3000002	475;175	0	1	在赛季中名次首次达到4000名	在賽季中名次首次達到4000名	Rank No. 4000 for the first time in the season.	今シーズンで初回4000位に入る	시즌 내 첫 랭킹 상위 4000위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 4,000​ เป็นครั้งแรก​
91007		1122	3000	1	2	3000013;3000002	550;200	0	1	在赛季中名次首次达到3000名	在賽季中名次首次達到3000名	Rank No. 3000 for the first time in the season.	今シーズンで初回3000位に入る	시즌 내 첫 랭킹 상위 3000위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 3,000​ เป็นครั้งแรก​
91008		1122	2000	1	2	3000013;3000002	625;225	0	1	在赛季中名次首次达到2000名	在賽季中名次首次達到2000名	Rank No. 2000 for the first time in the season.	今シーズンで初回2000位に入る	시즌 내 첫 랭킹 상위 2000위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 2,000​ เป็นครั้งแรก​
91009		1122	1000	1	2	3000013;3000002	700;250	0	1	在赛季中名次首次达到1000名	在賽季中名次首次達到1000名	Rank No. 1000 for the first time in the season.	今シーズンで初回1000位に入る	시즌 내 첫 랭킹 상위 1000위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 1,000​ เป็นครั้งแรก​
91010		1122	900	1	2	3000013;3000002	775;275	0	1	在赛季中名次首次达到900名	在賽季中名次首次達到900名	Rank No. 900 for the first time in the season.	今シーズンで初回900位に入る	시즌 내 첫 랭킹 상위 900위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 900​ เป็นครั้งแรก​
91011		1122	800	1	2	3000013;3000002	850;300	0	1	在赛季中名次首次达到800名	在賽季中名次首次達到800名	Rank No. 800 for the first time in the season.	今シーズンで初回800位に入る	시즌 내 첫 랭킹 상위 800위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 800​ เป็นครั้งแรก​
91012		1122	700	1	2	3000013;3000002	925;325	0	1	在赛季中名次首次达到700名	在賽季中名次首次達到700名	Rank No. 700 for the first time in the season.	今シーズンで初回700位に入る	시즌 내 첫 랭킹 상위 700위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 700​ เป็นครั้งแรก​
91013		1122	600	1	2	3000013;3000002	1000;350	0	1	在赛季中名次首次达到600名	在賽季中名次首次達到600名	Rank No. 600 for the first time in the season.	今シーズンで初回600位に入る	시즌 내 첫 랭킹 상위 600위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 600​ เป็นครั้งแรก​
91014		1122	500	1	2	3000013;3000002	1075;400	0	1	在赛季中名次首次达到500名	在賽季中名次首次達到500名	Rank No. 500 for the first time in the season.	今シーズンで初回500位に入る	시즌 내 첫 랭킹 상위 500위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 500​ เป็นครั้งแรก​
91015		1122	400	1	2	3000013;3000002	1150;450	0	1	在赛季中名次首次达到400名	在賽季中名次首次達到400名	Rank No. 400 for the first time in the season.	今シーズンで初回400位に入る	시즌 내 첫 랭킹 상위 400위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 400​ เป็นครั้งแรก​
