groupId	status	explain	explain_zh_TW	explain_en_UK	explain_ja_JP	explain_ko_KR	explain_th_TH
int	int	int	int	int	int	int	int
101	1	调查官，潜藏在暗处的傀正虎视眈眈的盯着我们，小心前行，去找到古物吧。	調查官，潛藏在暗處的傀正虎視眈眈的盯著我們，小心前行，去找到古物吧。	Inspector, the Anomalies are stalking us from the shadows. Watch your step and let's track down those antiques!	調査官、物陰に潜む傀がこちらを虎視眈々と狙っています。気をつけて進み、骨董品を見つけましょう。	조사관, 어두운 곳에 숨어 있는 퍼펫이 우리를 노리고 있어. 조심히 전진하면서 고대 유물을 찾아보자.	ผู้ตรวจการ ​แถว​นี้​มี​หุ่นเชิด​กำลัง​จ้อง​พวก​เรา​จาก​ใน​ความมืด​อย่าง​ไม่​วางตา​เลย​ล่ะ ​พวก​เรา​มา​ค่อยๆ ​ตาม​หา​โบราณ​วัตถุ​ให้​เจอ​อย่าง​ระมัดระวัง​กัน​เถอะ​
102	1	这些房间里的桌子可以使用机关调整高低，尝试让它们都嵌入地面吧。	這些房間裡的桌子可以使用機關調整高低，嘗試讓它們都嵌入地面吧。	Use the mechanism to adjust the height of the tables in these rooms. Your goal is to lower them flush with the floor.	この部屋の机は、仕掛けで高さを調整できます。すべて地面に埋め込まれるようにしてみましょう。	이 방의 테이블에는 높이를 조절할 수 있는 기계장치가 있어. 모두 알맞게 조절해보자.	โต๊ะ​ใน​ห้อง​พวก​นี้​สามารถ​ใช้​กลไก​ปรับ​ระดับ​ความสูง​ได้​นะ ​ลอง​ปรับ​ให้​ทั้งหมด​ฝัง​ลง​ไป​ใน​พื้น​ดูสิ​
103	1	此处的石像可以用机关改变朝向，让它们都面对中心试试。	此處的石像可以用機關改變朝向，讓它們都面對中心試試。	The statues here can be rotated. Turn them to face the center.	ここの石像は、仕掛けで向きを変えられます。全部を中央に向けてみてください。	여기 있는 석상은 기계장치를 이요해서 방향을 바꿀 수 있어. 모두 중앙을 향하게 맞춰보자.	รูป​ปั้น​หิน​แถว​นี้​สามารถ​ใช้​กลไก​เปลี่ยน​ทิศทาง​ได้ ​ลอง​ทำให้​พวก​มัน​ทั้งหมด​หัน​หน้า​เข้า​สู่​ศูนย์กลาง​ดูสิ​
201	1	我们是偷偷潜入，小心不要被守卫发现了行踪。尝试躲避守卫的视线，穿过封锁线吧。	我們是偷偷潛入，小心不要被守衛發現了行蹤。嘗試躲避守衛的視線，穿過封鎖線吧。	We're sneaking in, so stay out of the guards' sight. Slip past them unseen and get beyond that blockade.	こっそり潜入していますから、ガーディアンに気づかれないように、視線を避けて封鎖線を突破しましょう。	우리는 지금 몰래 침입하는 중이니까. 수호자한테 발각되지 않도록 조심해야 해. 수호자의 시선을 피해 차단선을 지나가 보자.	พวก​เรา​แอบลอบ​เข้า​มา​อย่าง​ลับๆ ​ระวัง​อย่า​ให้​ยาม​เจอ​ร่อง​รอย​ของ​เรา​เข้า​ล่ะ ​พยายาม​หลบ​เลี่ยง​สายตา​ของ​ยาม ​แล้ว​ฝ่า​แนว​ปิด​กั้น​ไป​ให้​ได้​กัน​เถอะ​
202	1	看到前面的箱子了吗，它可以阻挡住守卫却挡不住我们。利用它穿过当前的封锁线。	看到前面的箱子了嗎，它可以阻擋住守衛卻擋不住我們。利用它穿過當前的封鎖線。	See that box ahead? It will stop the guards but allow us to pass. Use it to overcome the current blockade.	前の箱が見えますか？ガーディアンは遮れますが、私たちは通れます。これを利用して、この封鎖線を抜けましょう。	앞에 있는 상자 보여? 저걸로 수호자를 막을 수 있으니까. 저걸 이용해서 차단선을 지나가자.	เห็น​กล่อง​ข้าง​หน้า​นั่น​มั้ย​? ​มัน​ช่วย​บัง​สายตา​ของ​ยาม​ได้ ​แต่​ก็​ไม่​ได้​ขวาง​ทาง​เรา ​ใช้​มัน​เพื่อ​ผ่าน​แนว​ปิด​กั้น​ตรง​หน้า​นี้​ไป​กัน​เถอะ​
203	1	我们是偷偷潜入，小心不要被守卫发现了行踪。尝试躲避守卫的视线，穿过封锁线吧。	我們是偷偷潛入，小心不要被守衛發現了行蹤。嘗試躲避守衛的視線，穿過封鎖線吧。	We're sneaking in, so stay out of the guards' sight. Slip past them unseen and get beyond that blockade.	私たちはこっそり潜入しています。ガーディアンに気づかれないように、視線を避けて封鎖線を突破しましょう。	우리는 지금 몰래 침입하는 중이니까. 수호자한테 발각되지 않도록 조심해야 해. 수호자의 시선을 피해 차단선을 지나가 보자.	พวก​เรา​แอบลอบ​เข้า​มา​อย่าง​ลับๆ ​ระวัง​อย่า​ให้​ยาม​เจอ​ร่อง​รอย​ของ​เรา​เข้า​ล่ะ ​พยายาม​หลบ​เลี่ยง​สายตา​ของ​ยาม ​แล้ว​ฝ่า​แนว​ปิด​กั้น​ไป​ให้​ได้​กัน​เถอะ​
301	1	房间内的楼道可以通过机关滑动，尝试调整楼道，搭建人可以通过的道路吧。	房間內的樓道可以通過機關滑動，嘗試調整樓道，搭建人可以通過的道路吧。	The hallways in this room can be shifted using the mechanism. Adjust them to create a path for us to pass through.	部屋の回廊は、仕掛けでスライドできます。調整して、人が通れる道を作ってみましょう。	방 안의 통로는 기계장치로 움직일 수 있어. 통로를 움직여서 사람이 지나갈 수 있는 길을 만들어보자.	เห็น​กล่อง​ข้าง​หน้า​นั่น​มั้ย​? ​มัน​ช่วย​บัง​สายตา​ของ​ยาม​ได้ ​แต่​ก็​ไม่​ได้​ขวาง​ทาง​เรา ​ใช้​มัน​เพื่อ​ผ่าน​แนว​ปิด​กั้น​ตรง​หน้า​นี้​ไป​กัน​เถอะ​
302	1	房间内的楼道可以通过机关滑动，尝试调整楼道，激活散落在房间的三处激光吧。	房間內的樓道可以通過機關滑動，嘗試調整樓道，啟動散落在房間的三處鐳射吧。	The hallways in this room can be shifted using the mechanism. Adjust them to activate the three lasers in the corners.	部屋の回廊は、仕掛けでスライドできます。調整して、部屋に散らばった3か所のレーザーを起動しましょう。	방 안의 통로는 기계장치로 움직일 수 있어. 통로를 움직여서 방에 흩어져 있는 3군데의 레이저를 활성화해보자.	ทาง​เดิน​ใน​ห้อง​สามารถ​เคลื่อน​ตัว​ได้​ด้วย​กลไก ​ลอง​ปรับ​ตำแหน่ง​ทาง​เดิน ​เพื่อ​เปิด​ใช้​งาน​เลเซอร์​ทั้ง​สาม​จุด​ที่​กระจาย​อยู่​ใน​ห้อง​ดูสิ​
303	1	房间内的楼道可以通过机关滑动，尝试调整楼道，激活散落在房间的三处激光吧。	房間內的樓道可以通過機關滑動，嘗試調整樓道，啟動散落在房間的三處鐳射吧。	The hallways in this room can be shifted using the mechanism. Adjust them to activate the three lasers in the corners.	部屋の回廊は、仕掛けでスライドできます。調整して、部屋に散らばった3か所のレーザーを起動しましょう。	방 안의 통로는 기계장치로 움직일 수 있어. 통로를 움직여서 방에 흩어져 있는 3군데의 레이저를 활성화해보자.	ทาง​เดิน​ใน​ห้อง​สามารถ​เคลื่อน​ตัว​ได้​ด้วย​กลไก ​ลอง​ปรับ​ตำแหน่ง​ทาง​เดิน ​เพื่อ​เปิด​ใช้​งาน​เลเซอร์​ทั้ง​สาม​จุด​ที่​กระจาย​อยู่​ใน​ห้อง​ดูสิ​
401	1	仔细观察被激活的四处机关，找出其中包含了不同元素的一个，选择它突破当前的封锁。	仔細觀察被啟動的四處機關，找出其中包含了不同元素的一個，選擇它突破當前的封鎖。	Study the four active mechanisms closely. Find the one that's unique and use it to break the blockade.	起動した4つの仕掛けをよく観察し、要素が異なる1つを見つけて選び、目の前の封鎖を突破しましょう。	활성화된 4곳의 기계장치를 잘 살펴보고, 그중에 서로 다른 요소를 가진 하나를 찾아서 선택하고 차단선을 넘어가자.	ลอง​สังเกต​กลไก​ทั้ง​สี่​จุด​ที่​ถูก​เปิด​ใช้​งาน​ให้​ละเอียด​ดูสิ ​แล้ว​ดู​ว่า​มี​กลไก​ที่​มี​คุณสมบัติ​ต่าง​จาก​ที่​เหลือ​มั้ย ​จาก​นั้น​ก็​เลือก​มัน​เพื่อ​ทำลาย​การ​ปิด​กั้น​ตอน​นี้​ทิ้ง​ไปซะ​
402	1	仔细观察被激活的四处机关，找出其中包含了不同元素的一个，选择它突破当前的封锁。	仔細觀察被啟動的四處機關，找出其中包含了不同元素的一個，選擇它突破當前的封鎖。	Study the four active mechanisms closely. Find the one that's unique and use it to break the blockade.	起動した4つの仕掛けをよく観察し、要素が異なる1つを見つけて選び、目の前の封鎖を突破しましょう。	활성화된 4곳의 기계장치를 잘 살펴보고, 그중에 서로 다른 요소를 가진 하나를 찾아서 선택하고 차단선을 넘어가자.	ลอง​สังเกต​กลไก​ทั้ง​สี่​จุด​ที่​ถูก​เปิด​ใช้​งาน​ให้​ละเอียด​ดูสิ ​แล้ว​ดู​ว่า​มี​กลไก​ที่​มี​คุณสมบัติ​ต่าง​จาก​ที่​เหลือ​มั้ย ​จาก​นั้น​ก็​เลือก​มัน​เพื่อ​ทำลาย​การ​ปิด​กั้น​ตอน​นี้​ทิ้ง​ไปซะ​
