id	stageID	monsteType	type	unlockNum1	nextQuest	unlockType	unlockNum2	unlockNum3	plotId	finale	posX	posY	opportunity	SceneId	rounds	petLineup	roleNun	extraSkill	battleRules	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
31010101	10101	1	1	0	31010115;31010102	0	0	0	200101010		500	815								1
31010102	10101	1	2	31010101	31010103	0	0	20010101003	200101021		1192	815	1	10601	10	9101011	4	900014	6	1
31010103	10101	1	1	31010102	31010104	0	0	0	200101030		1884	815								1
31010104	10101	1	1	31010103	31010105;31010126	0	0	0	200101040		2576	815								1
31010105	10101	1	1	31010104	31010122;31010106	0	0	20010104003	200101050		3268	815								1
31010106	10101	1	1	31010105	31010107	0	0	20010105003	200101060		3960	815								1
31010107	10101	1	1	31010106	31010108	0	0	0	200101080		4652	815								1
31010108	10101	1	1	31010107;31010128	31010109;31010110	0	0	0	200101090		5344	815								1
31010109	10101	1	1	31010108	31010111	0	0	20010109001	200101100		6059	1067								1
31010110	10101	1	1	31010108	31010111	0	0	20010109002	200101110		6059	562								1
31010111	10101	1	2	31010109;31010110	31010112	0	0	0	200101121		6802	815	1	10601	10	9101011	4	900014	6	1
31010112	10101	1	1	31010111	31010113	0	0	0	200101130		7494	815								1
31010113	10101	1	1	31010112	31010114	0	0	0	200101140		8186	815								1
31010114	10101	1	1	31010113	0	0	0	0	200101150	1	8878	815								1
31010115	10101	1	1	31010101	31010116	0	0	20010101002	200101160		1592	1067								1
31010116	10101	1	2	31010115	31010117	0	0	0	200101171		2284	1413	1	10601	10	9101011	4	900014	6	1
31010117	10101	1	1	31010116	31010118;31010119	0	0	0	200101180		2976	1730								1
31010118	10101	1	1	31010117	31010120	0	0	20010118002	200101190		3668	2054								1
31010119	10101	1	1	31010117	31010120	0	0	20010118003	200101200		3668	1730								1
31010120	10101	1	1	31010118;31010119	31010121	0	0	0	200101210		4360	1730								1
31010121	10101	1	1	31010120	0	0	0	0	200101220	1	5052	1730								1
31010122	10101	1	1	31010105	31010123	0	0	20010105002	200101070		3960	1413								1
31010123	10101	1	1	31010122	31010124	0	0	0	200101260		4652	1413								1
31010124	10101	1	1	31010123	31010125	0	0	0	200101270		5344	1413								1
31010125	10101	1	1	31010124	0	0	0	0	200101280	1	6059	1413								1
31010126	10101	1	1	31010104	31010127	0	0	20010104002	200101230		3268	500								1
31010127	10101	1	1	31010126	31010128	0	0	0	200101240		3960	500								1
31010128	10101	1	1	31010127	31010108	0	0	0	200101250		4652	500								1
31020101	10201	1	1	0	31020102	0	0	0	200201010		500	1176								1
31020102	10201	1	1	31020101	31020103	0	0	0	200201020		1192	1176								1
31020103	10201	1	1	31020102	31020114;31020104	0	0	0	200201030		1884	1176								1
31020104	10201	1	1	31020103	31020105;31020107	0	0	20020103008	200201040		2576	1176								1
31020105	10201	1	2	31020104	31020106	4	0	0	200201101		3268	1386	1	12201	10	9102011	4	900014	6	1
31020106	10201	1	1	31020105	0	0	0	0	200201170	1	3960	1386								1
31020107	10201	1	2	31020104	31020108	1	0	0	200201051		3268	926	1	13701	10	9102011	4	900014	6	1
31020108	10201	1	1	31020107	31020109;31020112	0	0	0	200201060		3960	926								1
31020109	10201	1	2	31020108	31020110	0	0	20020106008	200201073		4652	1175	1	13701	10	9102011	4	900014	6	1
31020110	10201	1	1	31020109	31020111	0	0	0	200201080		5344	1175								1
31020111	10201	1	1	31020110	0	0	0	0	200201180	1	6036	1175								1
31020112	10201	1	2	31020108	31020113	0	0	20020106009	200201093		6036	926	1	13701	10	9102011	4	900014	6	1
31020113	10201	1	1	31020112;31020119	0	0	0	0	200201190	1	6728	784								1
31020114	10201	1	1	31020103	31020115	0	0	20020103007	200201110		2576	755								1
31020115	10201	1	1	31020114	31020116	0	0	0	200201120		3268	500								1
31020116	10201	1	1	31020115	31020117	0	0	0	200201130		3960	500								1
31020117	10201	1	1	31020116	31020118	0	0	0	200201140		4652	500								1
31020118	10201	1	2	31020117	31020119;31020120	0	0	0	200201151		5344	500	1	11501	10	9102011	4	900014	6	1
31020119	10201	1	1	31020118	31020113	1	0	0	200201160		6036	672								1
31020120	10201	1	1	31020118	0	4	0	0	200201200	1	6036	500								1
31030101	10301	1	1	0	31030102	0	0	0	200301010		500	500								1
31030102	10301	1	1	31030101	31030103	0	0	0	200301020		1192	500								1
