id	roleId	stageID	finaleNum	rewards	rewardsNum	status
int	int	int	int	int	int	int
1	101	10101	1	701008;300002;419001;300003	10;50;500;50000	1
2	101	10101	2	701008;300002;419001;412002	10;50;500;10	1
3	101	10101	3	701008;300002;419001;413001	10;50;500;30	1
4	102	10201	1	702008;300002;419001;300003	10;50;500;50000	1
5	102	10201	2	702008;300002;419001;412002	10;50;500;10	1
6	102	10201	3	702008;300002;419001;413001	10;50;500;30	1
7	102	10201	4	702008;300002;419001;419002	10;50;500;1000	1
8	103	10301	1	703008;300002;419001;300003	10;50;500;50000	1
9	103	10301	2	703008;300002;419001;412002	10;50;500;10	1
10	103	10301	3	703008;300002;419001;413001	10;50;500;30	1
11	103	10301	4	703008;300002;419001;419002	10;50;500;1000	1
12	104	10401	1	704003;300002;419001;300003	10;50;500;50000	1
13	104	10401	2	704003;300002;419001;412002	10;50;500;10	1
14	104	10401	3	704003;300002;419001;413001	10;50;500;30	1
15	104	10401	4	704003;300002;419001;419002	10;50;500;1000	1
16	105	10501	1	705008;300002;419001;300003	10;50;500;50000	1
17	105	10501	2	705008;300002;419001;412002	10;50;500;10	1
18	105	10501	3	705008;300002;419001;413001	10;50;500;30	1
19	105	10501	4	705008;300002;419001;419002	10;50;500;1000	1
20	105	10501	5	705008;300002;419001;411001	10;50;500;200	1
21	106	10601	1	706008;300002;419001;300003	10;50;500;50000	1
22	106	10601	2	706008;300002;419001;412002	10;50;500;10	1
23	106	10601	3	706008;300002;419001;413001	10;50;500;30	1
24	107	10701	1	707008;300002;419001;300003	10;50;500;50000	1
25	107	10701	2	707008;300002;419001;412002	10;50;500;10	1
26	107	10701	3	707008;300002;419001;413001	10;50;500;30	1
27	107	10701	4	707008;300002;419001;419002	10;50;500;1000	1
31	108	10801	1	708008;300002;419001;300003	25;50;500;50000	1
32	108	10801	2	708008;300002;419001;300003	25;50;500;50000	1
33	108	10801	3	708008;300002;419001;300003	25;50;500;50000	1
34	108	10801	4	708008;300002;419001;300003	25;50;500;50000	1
35	109	10901	1	709008;300002;419001;300003	10;50;500;50000	1
36	109	10901	2	709008;300002;419001;412002	10;50;500;10	1
37	109	10901	3	709008;300002;419001;413001	10;50;500;30	1
38	111	11101	1	706008;300002;419001;300003	10;50;500;50000	1
39	111	11101	2	706008;300002;419001;412002	10;50;500;10	1
40	111	11101	3	706008;300002;419001;413001	10;50;500;30	1
41	112	11201	1	706008;300002;419001;300003	10;50;500;50000	1
42	112	11201	2	706008;300002;419001;412002	10;50;500;10	1
43	112	11201	3	706008;300002;419001;413001	10;50;500;30	1
44	108	10802	1	708006;300002;419001;300003	10;50;500;50000	1
45	108	10802	2	708006;300002;419001;300003	10;50;500;50000	1
46	108	10802	3	708006;300002;419001;300003	10;50;500;50000	1
