id	chapterId	cgIcon	cg	posX	posY	status
int	int	int	int	int	int	int
1010101	31010114	57:role_story_cg_1010101_s	57:role_story_cg_1010101	9328	815	1
1010102	31010121	57:role_story_cg_1010103_s	57:role_story_cg_1010103	5502	1730	1
1010103	31010125	57:role_story_cg_1010102_s	57:role_story_cg_1010102	6509	1413	1
1020101	31020106	57:role_story_cg_1020101_s	57:role_story_cg_1020101	4410	1386	1
1020102	31020111	57:role_story_cg_1020102_s	57:role_story_cg_1020102	6486	1175	1
1020103	31020113	57:role_story_cg_1020103_s	57:role_story_cg_1020103	7178	784	1
1020104	31020120	57:role_story_cg_1020104_s	57:role_story_cg_1020104	6486	500	1
1030101	31030112	57:role_story_cg_1030101_s	57:role_story_cg_1030101	3942	808	1
1030102	31030113	57:role_story_cg_1030102_s	57:role_story_cg_1030102	5958	1104	1
1030103	31030114	57:role_story_cg_1030103_s	57:role_story_cg_1030103	6604	808	1
1030104	31030115	57:role_story_cg_1030104_s	57:role_story_cg_1030104	7178	500	1
1040101	31040116	57:role_story_cg_1040101_s	57:role_story_cg_1040101	2334	1416	1
1040102	31040117	57:role_story_cg_1040102_s	57:role_story_cg_1040102	4410	1193	1
1040103	31040118	57:role_story_cg_1040103_s	57:role_story_cg_1040103	9946	731	1
1040104	31040107	57:role_story_cg_1040104_s	57:role_story_cg_1040104	10638	500	1
1050101	31050102	57:role_story_cg_1050105_s	57:role_story_cg_1050105	1642	714	1
1050102	31050105	57:role_story_cg_1050101_s	57:role_story_cg_1050101	3026	1360	1
1050103	31050109	57:role_story_cg_1050102_s	57:role_story_cg_1050102	5102	1144	1
1050104	31050112	57:role_story_cg_1050103_s	57:role_story_cg_1050103	7178	928	1
1050105	31050113	57:role_story_cg_1050104_s	57:role_story_cg_1050104	7178	500	1
1060101	31060104	57:role_story_cg_1060103_s	57:role_story_cg_1060103	3476	1145	1
1060102	31060109	57:role_story_cg_1060102_s	57:role_story_cg_1060102	6244	929	1
1060103	31060110	57:role_story_cg_1060101_s	57:role_story_cg_1060101	6244	500	1
1070101	31070106	57:role_story_cg_1070104_s	57:role_story_cg_1070104	4410	1793	1
1070102	31070110	57:role_story_cg_1070102_s	57:role_story_cg_1070102	5794	1362	1
1070103	31070113	57:role_story_cg_1070103_s	57:role_story_cg_1070103	6486	931	1
1070104	31070114	57:role_story_cg_1070101_s	57:role_story_cg_1070101	6486	500	1
1080101	31080110	57:role_story_cg_1080103_s	57:role_story_cg_1080103	7181	931	1
1080102	31080112	57:role_story_cg_1080104_s	57:role_story_cg_1080104	2334	1428	1
1080103	31080115	57:role_story_cg_1080101_s	57:role_story_cg_1080101	4410	1212	1
1080104	31080119	57:role_story_cg_1080102_s	57:role_story_cg_1080102	5794	500	1
1090101	31090106	57:role_story_cg_1090101_s	57:role_story_cg_1090101	4410	1578	1
1090102	31090112	57:role_story_cg_1090102_s	57:role_story_cg_1090102	8562	1362	1
1090103	31090118	57:role_story_cg_1090103_s	57:role_story_cg_1090103	8562	500	1
1110101	31110103	57:role_story_cg_1070102_s	57:role_story_cg_1070102	2334	1148	1
1110102	31110105	57:role_story_cg_1070103_s	57:role_story_cg_1070103	3026	933	1
1110103	31110106	57:role_story_cg_1070101_s	57:role_story_cg_1070101	3026	500	1
1120101	31120103	57:role_story_cg_1070102_s	57:role_story_cg_1070102	2334	1148	1
1120102	31120105	57:role_story_cg_1070103_s	57:role_story_cg_1070103	3026	933	1
1120103	31120106	57:role_story_cg_1070101_s	57:role_story_cg_1070101	3026	500	1
1080201	31080211	57:role_story_cg_1080203_s	57:role_story_cg_1080203	7870	931	1
1080202	31080214	57:role_story_cg_1080202_s	57:role_story_cg_1080202	8562	500	1
1080203	31080219	57:role_story_cg_1080201_s	57:role_story_cg_1080201	4410	1146	1
