Id	roleId	attackId	hitId	delayHitId	aoeHitId	aoeDelayHitId	bulletId	effectScale	isAoe	attackType	actionId	readyId	readyFrame	scriptName	actionSe	hitSe	readySe	superSkillBgm	soundCard	weight	interval	camSkillId	ifScale	ifLobby	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
41101001	101001	10100111;101001151	0	0	0	0	0	1	0	1	31101001	prepare1	48	0	role_101001_atk_skill_01		role_101001_pos_skill_01			30	8	61101001	1	0	1
42101001	101001	10100121	0	0	0	0	0	1	0	1	32101001	prepare2	48	0	role_101001_atk_skill_02		role_101001_pos_skill_02			30	8	62101001	1	0	1
40101001	101001	10100131;101001351;101001352	0	0	10100132	0	0	1	1	4	33101001	prepare1	48	0	role_101001_atk_skill_03	role_101001_hit_skill_03		superskill1		30	8	63101001	1	1	1
4110100199	101001	10100111;101001151	0	0	0	0	0	1	0	1	31101001	prepare1	48	0	role_101001_atk_skill_01		role_101001_pos_skill_01			30	8	61101001	1	0	1
4210100199	101001	10100121	0	0	0	0	0	1	0	1	32101001	prepare2	48	0	role_101001_atk_skill_02		role_101001_pos_skill_02			30	8	62101001	1	0	1
4010100199	101001	10100131;101001351;101001352	0	0	10100132	0	0	1	1	4	33101001	prepare1	48	0	role_101001_atk_skill_03	role_101001_hit_skill_03		superskill1		30	8	63101001	1	1	1
41101002	101002	10100211	101002121;101002121;101002122	0	0	0	101002141;101002141;101002142	1	0	2	31101002	prepare1	61	0	role_101002_atk_skill_01	role_101002_hit_skill_01	role_101002_pos_skill_01			30	8	61101002	1	0	1
42101002	101002	10100221	10100222	0	0	0	0	1	1	3	32101002	prepare2	45	0	role_101002_atk_skill_02		role_101002_pos_skill_02			0	8	62101002	1	0	1
40101002	101002	10100231	10100232	0	0	0	0	1	0	4	33101002	prepare1	60	0	role_101002_atk_skill_03	role_101002_hit_skill_03		superskill1		30	8	63101002	1	1	1
4110100299	101002	10100211	101002121;101002121;101002122	0	0	0	101002141;101002141;101002142	1	0	2	31101002	prepare1	61	0	role_101002_atk_skill_01	role_101002_hit_skill_01	role_101002_pos_skill_01			30	8	61101002	1	0	1
4210100299	101002	10100221	10100222	0	0	0	0	1	1	3	32101002	prepare2	45	0	role_101002_atk_skill_02		role_101002_pos_skill_02			0	8	62101002	1	0	1
4010100299	101002	10100231	10100232	0	0	0	0	1	0	4	33101002	prepare1	60	0	role_101002_atk_skill_03	role_101002_hit_skill_03		superskill1		30	8	63101002	1	1	1
4110100202	101002	10100211	101002121;101002121;101002122	0	0	0	101002141;101002141;101002142	1	0	2	31101002	prepare1	61	0	role_101002_atk_skill_01	role_101002_hit_skill_01	role_101002_pos_skill_01			30	8	61101002	1	0	1
4210100202	101002	10100221	10100222	0	0	0	0	1	1	3	32101002	prepare2	45	0	role_101002_atk_skill_02		role_101002_pos_skill_02			0	8	62101002	1	0	1
4010100202	101002	10100231	10100232	0	0	0	0	1	0	4	33101002	prepare1	60	0	role_101002_atk_skill_03	role_101002_hit_skill_03		superskill1		30	8	63101002	1	1	1
41101003	101003	10100311;101003151	0	10100312	0	0	10100341	1	0	2	31101003	prepare1	69	0	role_101003_atk_skill_01		role_101003_pos_skill_01			30	8	61101003	1	0	1
42101003	101003	10100321	0	10100322	0	0	0	1	0	1	32101003	prepare2	69	0	role_101003_atk_skill_02		role_101003_pos_skill_02			30	8	62101003	1	0	1
40101003	101003	10100331	10100332	0	0	0	0	1	0	4	33101003	prepare1	69	0	role_101003_atk_skill_03	role_101003_hit_skill_03				30	8	63101003	1	1	1
