id	icon	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int
1	130:cultivate_icon_passive_1	1	仅存活时生效	僅存活時生效	Active when alive	生存中のみ有効	생존 시에만 적용	เฉพาะเมื่อมีชีวิตรอด
2	130:cultivate_icon_passive_2	1	存活和死亡均生效	存活和死亡均生效	Active when dead or alive	戦闘不能で解除されない	생존과 사망 모두 적용	ทั้ง​เมื่อ​มีชีวิตรอด​และ​ตาย​
3	130:cultivate_icon_passive_3	1	所有模式均生效	所有模式均生效	Active in all modes	すべてのモードで有効	모든 모드에 모두 적용	โหมดทั้งหมด
4	130:cultivate_icon_passive_4	1	仅在PVP生效	僅在PVP生效	Active in PvP	PVPのみで有効	PVP에서만 적용	โหมด PVP เท่านั้น
5	130:cultivate_icon_passive_5	1	PVP除外生效	PVP除外生效	Active in all modes except PvP	PVP以外のモードで有効	PVP 이외 적용	โหมด​ทั้งหมด​ ยกเว้น​โหมด​ PVP​
6	130:cultivate_icon_passive_6	1	仅在协力战生效	僅在協力戰生效	Active only in the Invasion	協同作戦のみで有効	협력전에서만 적용	โหมดผนึกกำลังเท่านั้น
7	130:cultivate_icon_passive_7	1	协力战除外生效	協力戰除外生效	Active in all modes except Invasion	協同作戦以外のモードで有効	협력전 이외 적용	โหมด​ทั้งหมด​ ยกเว้น​โหมด​ผนึก​กำลัง​
8	130:cultivate_icon_passive_8	1	仅在社团特训生效	僅在社團特訓生效	Active only in Clan Campaign	ギルド特訓のみ有効	클럽 트레이닝에서만 유효	โหมด​การ​ฝึก​พิเศษ​ของ​ชมรม​เท่านั้น​
9	130:cultivate_icon_passive_9	1	社团特训除外生效	社團特訓除外生效	Inactive in Clan Campaign	ギルド特訓以外有効	클럽 트레이닝 외에서만 유효	โหมด​ทั้งหมด​ ยกเว้น​โหมด​การ​ฝึก​พิเศษ​ของ​ชมรม​
