id	produceId	loopId	triggerId	disappearId	uiTriggerId	showRegisterValue	isWord	bulletId	effectSe	triggerSe	specialIdle	specialIdlePriority	addBuffSwitchController	removeBuffSwitchController	icon	showText	passiveShow	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
100101	10001	0	0	0	0		1	0			0	0			16:buff_icon_100101	0		1	攻击力提升	攻擊力提升	ATK Boost	攻撃力アップ	공격력 증가	ATK เพิ่มขึ้น
100201	10002	0	0	0	0		1	0			0	0			16:buff_icon_100201	0		1	防御力提升	防禦力提升	DEF Boost	防御力アップ	방어력 증가	DEF เพิ่มขึ้น
100301	10003	0	0	0	0		1	0			0	0			16:buff_icon_100301	0		1	生命值提升	生命值提升	HP Boost	最大HPアップ	HP 증가	HP เพิ่มขึ้น
100401	10004	0	0	0	0		1	0			0	0			16:buff_icon_100401	0		1	幸运值提升	幸運值提升	LUCK UP	幸運値アップ	행운 증가	ค่า โชค เพิ่มขึ้น
100501	10005	0	0	0	0		1	0			0	0			16:buff_icon_100501	0		1	暴击率提升	爆擊率提升	CRIT Rate UP	会心率アップ	크리티컬 확률 증가	อัตราคริติคอลเพิ่มขึ้น
100601	10006	0	0	0	0		1	0			0	0			16:buff_icon_100601	0		1	暴击伤害提升	爆擊傷害提升	CRIT DMG Boost	会心ダメージアップ	크리티컬 대미지 증가	ดาเมจคริติคอลเพิ่มขึ้น
100701	10007	0	0	0	0		1	0			0	0			16:buff_icon_100701	0		1	暴击率抵抗提升	爆擊率抵抗提升	CRIT RES UP	会心回避率アップ	크리티컬 확률 저항 증가	ต้านทาน​อัต​ราค​ริ​เพิ่มขึ้น​
100801	10008	0	0	0	0		1	0			0	0			16:buff_icon_100801	0		1	暴击伤害抵抗提升	爆擊傷害抵抗提升	CRIT DMG UP	会心ダメージ抵抗率アップ	크리티컬 대미지 저항 증가	ต้านทาน​ดา​เม​จค​ริ​เพิ่มขึ้น​
100901	10009	0	0	0	0		1	0			0	0			16:buff_icon_100901	0		1	穿透率提升	穿透率提升	Armor PEN UP	貫通率アップ	관통률 증가	อัตรา​เจาะ​เกราะ​เพิ่มขึ้น​
101001	10010	0	0	0	0		1	0			0	0			16:buff_icon_101001	0		1	忍耐率提升	忍耐率提升	Endurance UP	忍耐率アップ	인내율 증가	อัตราอดทนเพิ่มขึ้น
101101	10016	0	0	0	0		1	0			0	0			16:buff_icon_101101	0		1	受到伤害减免	受到傷害減免	DMG Taken Down	被ダメージダウン	적용되는 대미지 감면	ได้รับอัตราลดดาเมจ
101201	10012	0	0	0	0		1	0			0	0			16:buff_icon_101201	0		1	造成伤害提升	造成傷害提升	DMG UP	与ダメージアップ	대미지 증가	ดาเมจที่สร้างเพิ่มขึ้น
101301	10013	0	0	0	0		1	0			0	0			16:buff_icon_101801	0		1	造成治疗效果提升	造成治療效果提升	Healing Effect UP	与回復効果アップ	부여하는 치유 효과 증가	เอฟเฟกต์​ฟื้นฟู​ที่​สร้าง​เพิ่มขึ้น​
101401	10017	0	0	0	0		1	0			0	0			16:buff_icon_101301	0		1	受到治疗效果提升	受到治療效果提升	Healing Received UP	被回復効果アップ	적용되는 치유 효과 증가	เอฟเฟกต์​ฟื้นฟู​ที่​ได้รับ​เพิ่มขึ้น​
101501	10018	0	0	0	0		1	0			0	0			16:buff_icon_101501	0		1	吸血提升	吸血提升	Lifesteal UP	吸血アップ	흡혈 증가	ดูดเลือดเพิ่มขึ้น
101601	10019	0	0	0	0		1	0			0	0			16:buff_icon_101601	0		1	伤害反弹	傷害反彈	DMG Reflection	ダメージ反射	대미지 카운터	สะท้อนดาเมจ
101701	10020	0	0	0	0		1	0			0	0			16:buff_icon_101701	0		1	造成护盾效果提升	造成護盾效果提升	Shield Effect UP	与シールド耐久アップ	부여하는 실드 효과 증가	เอฟเฟกต์​โล่​ป้อง​กันที่​สร้าง​เพิ่มขึ้น​
101801	10021	0	0	0	0		1	0			0	0			16:buff_icon_101401	0		1	受到护盾效果提升	受到護盾效果提升	Shield Gained UP	被シールド耐久アップ	적용되는 실드 효과 증가	เอฟเฟกต์​โล่​ป้อง​กันที่​ได้รับ​เพิ่มขึ้น​
101901	10022	0	0	0	0		1	0			0	0			16:buff_icon_101901	0		1	受到间接伤害减免	受到間接傷害減免	Indirect DMG Reduction	受ける間接ダメージダウン	적용되는 간접 대미지 감면	ได้รับ​ดา​เม​จ​ต่อเนื่อง​ลดลง​
102001	10023	0	0	0	0		1	0			0	0			16:buff_icon_102001	0		1	造成间接伤害提升	造成間接傷害提升	Indirect DMG Boost	与える間接ダメージアップ	부여하는 간접 대미지 증가	สร้าง​ดา​เม​จ​ต่อเนื่อง​เพิ่มขึ้น​
102101	10024	0	0	0	0		1	0			0	0			16:buff_icon_102101	0		1	受到真实伤害减免	受到真實傷害減免	True DMG Reduction	受ける直撃ダメージダウン	적용되는 고정 대미지 감면	ได้รับดาเมจจริงลดลง
102201	10025	0	0	0	0		1	0			0	0			16:buff_icon_102201	0		1	造成真实伤害提升	造成真實傷害提升	True DMG Boost	与える直撃ダメージアップ	부여하는 고정 대미지 증가	สร้าง​ดา​เม​จ​จริง​เพิ่มขึ้น​
102301	10026	0	0	0	0		1	0			0	0			16:buff_icon_102301	0		1	受到穿透伤害减免	受到穿透傷害減免	Piercing DMG Reduction	受ける貫通ダメージダウン	적용되는 관통 대미지 감면	ได้รับ​ดา​เม​จ​เจาะ​เกราะ​ลดลง​
102401	10027	0	0	0	0		1	0			0	0			16:buff_icon_102401	0		1	造成穿透伤害提升	造成穿透傷害提升	Piercing DMG Boost	与える貫通ダメージアップ	부여하는 관통 대미지 증가	สร้าง​ดา​เม​จ​เจาะ​เกราะ​เพิ่มขึ้น​
102501	10028	0	0	0	0		1	0			0	0			16:buff_icon_102501	0		1	受到穿刺伤害减免	受到穿刺傷害減免	Jab DMG Reduction	受ける穿刺ダメージダウン	적용되는 크리티컬 관통 대미지 감면	ได้รับดาเมจทะลวงลดลง
102601	10029	0	0	0	0		1	0			0	0			16:buff_icon_102601	0		1	造成穿刺伤害提升	造成穿刺傷害提升	Jab DMG Boost	与える穿刺ダメージアップ	부여하는 크리티컬 관통 대미지 증가	สร้าง​ดา​เม​จ​ทะลวง​เพิ่มขึ้น​
102701	10030	0	0	0	0		1	0			0	0			16:buff_icon_102701	0		1	受到破碎伤害减免	受到破碎傷害減免	Sunder DMG Reduction	受ける超会心ダメージダウン	적용되는 파쇄 대미지 감면	ได้รับดาเมจบดขยี้ลดลง
102801	10031	0	0	0	0		1	0			0	0			16:buff_icon_102801	0		1	造成破碎伤害提升	造成破碎傷害提升	Sunder DMG Boost	与える超会心ダメージアップ	부여하는 파쇄 대미지 증가	สร้าง​ดา​เม​จบ​ด​ขยี้​เพิ่มขึ้น​
102901	10032	0	0	0	0		1	0			0	0			16:buff_icon_102901	0		1	受到破裂伤害减免	受到破裂傷害減免	Overload DMG Reduction	受けるバフ特攻ダメージダウン	적용되는 파열 대미지 감면	ได้รับ​ดา​เม​จ​ฉีก​กระชาก​ลดลง​
103001	10033	0	0	0	0		1	0			0	0			16:buff_icon_103001	0		1	造成破裂伤害提升	造成破裂傷害提升	Overload DMG Boost	与えるバフ特攻ダメージアップ	파열 대미지 증가	สร้าง​ดา​เม​จ​ฉีก​กระชาก​เพิ่มขึ้น​
103101	10034	0	0	0	0		1	0			0	0			16:buff_icon_103101	0		1	受到破灭伤害减免	受到破滅傷害減免	Dire DMG Reduction	受ける弱体特攻ダメージダウン	적용되는 파멸 대미지 감면	ได้รับ​ดา​เม​จ​ทำลายล้าง​ลดลง​
