index	buffId	star	crowdControl	buffConditionPara	stackTime	buffEndPara	triggerCdNum	round	stackingMax	status
int	int	int	int	int	int	int	int	int	int	int
900011_1	900011	1	-1					1	1	1
900011_2	900011	2	-1					1	1	1
900011_3	900011	3	-1					1	1	1
900011_4	900011	4	-1					1	1	1
101004051_1	101004051	1	-1					3	1	1
101050051_1	101050051	1	-1					3	1	1
101014051_1	101014051	1	-1					2	1	1
101014052_1	101014052	1	-1					3	1	1
101014053_1	101014053	1	-1					2	1	1
143102351_1	143102351	1	-1					3	1	1
141101851_1	141101851	1	-1					2	1	1
141102251_1	141102251	1	-1					2	1	1
141102051_1	141102051	1	-1					3	1	1
141104151_1	141104151	1	-1					2	1	1
141106051_1	141106051	1	-1					2	1	1
101009051_1	101009051	1	-1					3	1	1
101009052_1	101009052	1	-1					3	1	1
101009053_1	101009053	1	-1	101009051;1				3	1	1
101015051_1	101015051	1	-1					3	1	1
101016051_1	101016051	1	-1					3	1	1
101042051_1	101042051	1	-1					2	1	1
101044051_1	101044051	1	-1					3	1	1
101051051_1	101051051	1	-1					3	1	1
104003051_1	104003051	1						3	1	1
104003052_1	104003052	1						3	1	1
104004051_1	104004051	1						3	1	1
104004052_1	104004052	1						3	1	1
104004053_1	104004053	1						2	1	1
104004054_1	104004054	1						3	1	1
104004055_1	104004055	1						999	2	1
104005051_1	104005051	1						3	1	1
104005052_1	104005052	1						999	1	1
104005053_1	104005053	1					1	999	1	1
104005054_1	104005054	1						999	999	1
104006051_1	104006051	1						3	1	1
104006052_1	104006052	1				104006051,1		3	1	1
104008051_1	104008051	1						3	1	1
104008052_1	104008052	1						3	1	1
104008053_1	104008053	1						3	1	1
104008054_1	104008054	1						3	1	1
104009051_1	104009051	1						3	1	1
104009052_1	104009052	1		0.35			1	1	1	1
104009053_1	104009053	1						3	1	1
104010051_1	104010051	1						3	1	1
104010052_1	104010052	1						3	1	1
104014051_1	104014051	1						3	1	1
104014052_1	104014052	1						3	1	1
104014053_1	104014053	1						3	1	1
104016051_1	104016051	1	-1					3	6	1
104016052_1	104016052	1	-1					3	1	1
104020051_1	104020051	1	-1					2	1	1
104020052_1	104020052	1	-1					2	1	1
104021051_1	104021051	1	-1					3	1	1
104021052_1	104021052	1	-1					3	1	1
104025051_1	104025051	1	-1					3	1	1
104025052_1	104025052	1	-1					3	1	1
104025053_1	104025053	1	-1			1	1	2	1	1
104025054_1	104025054	1	-1			1	1	2	1	1
104025055_1	104025055	1	-1			1	1	2	1	1
104025056_1	104025056	1	-1					999	10	1
104025057_1	104025057	1	-1					3	1	1
104026051_1	104026051	1	-1					3	1	1
104026052_1	104026052	1	-1					999	10	1
102010101_1	102010101	1	-1					3	8	1
102010101_2	102010101	2	-1					3	8	1
102010101_3	102010101	3	-1					3	8	1
102010101_4	102010101	4	-1					3	8	1
102010101_5	102010101	5	-1					3	8	1
102010101_6	102010101	6	-1					3	8	1
102020101_1	102020101	1	-1					4	1	1
102020101_2	102020101	2	-1					4	1	1
102020101_3	102020101	3	-1					4	1	1
102020101_4	102020101	4	-1					4	1	1
102020101_5	102020101	5	-1					4	1	1
102020101_6	102020101	6	-1					4	1	1
102020101_7	102020101	7	-1					4	1	1
102020101_8	102020101	8	-1					4	1	1
102020101_9	102020101	9	-1					4	1	1
102020101_10	102020101	10	-1					4	1	1
102020101_11	102020101	11	-1					4	1	1
102020101_12	102020101	12	-1					4	1	1
102020101_13	102020101	13	-1					4	1	1
102020101_14	102020101	14	-1					4	1	1
102020101_15	102020101	15	-1					4	1	1
102020101_16	102020101	16	-1					4	1	1
102020101_17	102020101	17	-1					4	1	1
102020101_18	102020101	18	-1					4	1	1
102020101_19	102020101	19	-1					4	1	1
102020101_20	102020101	20	-1					4	1	1
102020101_21	102020101	21	-1					4	1	1
102020101_22	102020101	22	-1					4	1	1
102020101_23	102020101	23	-1					4	1	1
102020101_24	102020101	24	-1					4	1	1
102020101_25	102020101	25	-1					4	1	1
102020104_1	102020104	1	-1					3	99	1
102020104_2	102020104	2	-1					3	99	1
102020104_3	102020104	3	-1					3	99	1
102020104_4	102020104	4	-1					3	99	1
102020104_5	102020104	5	-1					3	99	1
102020104_6	102020104	6	-1					3	99	1
102020104_7	102020104	7	-1					3	99	1
102020104_8	102020104	8	-1					3	99	1
102020104_9	102020104	9	-1					3	99	1
102020104_10	102020104	10	-1					3	99	1
102020104_11	102020104	11	-1					3	99	1
102020104_12	102020104	12	-1					3	99	1
102020104_13	102020104	13	-1					3	99	1
102020104_14	102020104	14	-1					3	99	1
102020104_15	102020104	15	-1					3	99	1
102020104_16	102020104	16	-1					3	99	1
102020104_17	102020104	17	-1					3	99	1
102020104_18	102020104	18	-1					3	99	1
102020104_19	102020104	19	-1					3	99	1
102020104_20	102020104	20	-1					3	99	1
102020104_21	102020104	21	-1					3	99	1
102020104_22	102020104	22	-1					3	99	1
102020104_23	102020104	23	-1					3	99	1
102020104_24	102020104	24	-1					3	99	1
102020104_25	102020104	25	-1					3	99	1
102020102_1	102020102	1	-1					3	1	1
102020102_2	102020102	2	-1					3	1	1
102020102_3	102020102	3	-1					3	1	1
102020102_4	102020102	4	-1					3	1	1
102020102_5	102020102	5	-1					3	1	1
102020102_6	102020102	6	-1					3	1	1
102020102_7	102020102	7	-1					3	1	1
102020102_8	102020102	8	-1					3	1	1
102020102_9	102020102	9	-1					3	1	1
102020102_10	102020102	10	-1					3	1	1
102020102_11	102020102	11	-1					3	1	1
102020102_12	102020102	12	-1					3	1	1
102020102_13	102020102	13	-1					3	1	1
102020102_14	102020102	14	-1					3	1	1
102020102_15	102020102	15	-1					3	1	1
102020102_16	102020102	16	-1					3	1	1
102020102_17	102020102	17	-1					3	1	1
102020102_18	102020102	18	-1					3	1	1
102020102_19	102020102	19	-1					3	1	1
102020102_20	102020102	20	-1					3	1	1
102020102_21	102020102	21	-1					3	1	1
102020102_22	102020102	22	-1					3	1	1
102020102_23	102020102	23	-1					3	1	1
102020102_24	102020102	24	-1					3	1	1
102020102_25	102020102	25	-1					3	1	1
102020103_1	102020103	1	-1					3	1	1
102020103_2	102020103	2	-1					3	1	1
102020103_3	102020103	3	-1					3	1	1
102020103_4	102020103	4	-1					3	1	1
102020103_5	102020103	5	-1					3	1	1
102020103_6	102020103	6	-1					3	1	1
102020103_7	102020103	7	-1					3	1	1
102020103_8	102020103	8	-1					3	1	1
102020103_9	102020103	9	-1					3	1	1
102020103_10	102020103	10	-1					3	1	1
102020103_11	102020103	11	-1					3	1	1
102020103_12	102020103	12	-1					3	1	1
102020103_13	102020103	13	-1					3	1	1
102020103_14	102020103	14	-1					3	1	1
102020103_15	102020103	15	-1					3	1	1
102020103_16	102020103	16	-1					3	1	1
102020103_17	102020103	17	-1					3	1	1
