4	mainEffectType	subEffectType	miniEffectType	isIgnore	showId	effectLv	dispelLv	status
int	int	int	int	int	int	int	int	int
1001	1	1	1					1
201010101	1	1	1					1
201010102	1	1	1					1
201010103	1	1	1					1
201010104	1	1	1					1
301010101	1	1	1					1
301010102	1	1	1					1
301010103	1	1	1					1
301010104	1	1	1					1
301010201	1	1	1					1
301010202	1	1	1					1
301020201	1	1	1					1
301020202	1	1	1					1
301010601	1	1	6					1
201010105	1	1	1					1
201010106	1	1	1					1
201010107	1	1	1					1
201010108	1	1	1					1
201010109	1	1	1					1
201010110	1	1	1					1
201010111	1	1	1					1
201010112	1	1	1					1
201010113	1	1	1					1
201010114	1	1	1					1
201010115	1	1	1					1
201010116	1	1	1					1
201010117	1	1	1					1
201010118	1	1	1					1
201010119	1	1	1					1
201010120	1	1	1					1
201010121	1	1	1					1
201010122	1	1	1					1
201010123	1	1	1					1
201010124	1	1	1					1
201010125	1	1	1					1
201010126	1	1	1					1
201010127	1	1	1					1
201010128	1	1	1					1
201010129	1	1	1					1
201010130	1	1	1					1
201010131	1	1	1					1
201010132	1	1	1					1
201010133	1	1	1					1
201010134	1	1	1					1
201010135	1	1	1					1
201010136	1	1	1					1
201010137	1	1	1					1
201010138	1	1	1					1
201010139	1	1	1					1
201010140	1	1	1					1
201010141	1	1	1					1
201010142	1	1	1					1
201010143	1	1	1					1
201010144	1	1	1					1
201010145	1	1	1					1
201010146	1	1	1					1
201010147	1	1	1					1
201010148	1	1	1					1
201010149	1	1	1					1
201010150	1	1	1					1
201010151	1	1	1					1
201010152	1	1	1					1
201010153	1	1	8					1
201010154	1	1	8					1
201010155	1	1	8					1
201010156	1	1	8					1
201010157	1	1	1					1
201010158	1	1	1					1
201010159	1	1	1					1
201010160	1	1	1					1
201010161	1	1	8					1
201010162	1	1	8					1
201010163	1	1	8					1
201010164	1	1	8					1
301010161	1	1	8					1
301010162	1	1	8					1
301010163	1	1	8					1
301010164	1	1	8					1
201010165	1	1	1					1
201010166	1	1	1					1
201010171	1	1	1					1
201010172	1	1	1					1
201010201	1	1	2					1
201010202	1	1	2					1
201010203	1	1	2					1
201010204	1	1	2					1
201010205	1	1	2					1
201010206	1	1	2					1
201010207	1	1	2					1
201010208	1	1	2					1
201010301	1	1	3					1
201010302	1	1	3					1
201010303	1	1	3					1
201010304	1	1	3					1
201020101	1	2	1					1
201020102	1	2	1					1
201020103	1	2	1					1
201020104	1	2	1					1
301020101	1	2	1					1
301020102	1	2	1					1
301020103	1	2	1					1
301020104	1	2	1					1
201030101	1	3	1					1
201030102	1	3	1					1
201030103	1	3	1					1
201030104	1	3	1					1
301030101	1	3	1					1
301030102	1	3	1					1
301030103	1	3	1					1
301030104	1	3	1					1
201040101	1	4	1					1
201040102	1	4	1					1
201040103	1	4	1					1
201040104	1	4	1					1
301040101	1	4	1					1
301040102	1	4	1					1
301040103	1	4	1					1
301040104	1	4	1					1
201050101	1	5	1					1
201050102	1	5	1					1
201050103	1	5	1					1
201050104	1	5	1					1
301050101	1	5	1					1
301050102	1	5	1					1
301050103	1	5	1					1
301050104	1	5	1					1
201060101	1	6	1					1
201060102	1	6	1					1
201060103	1	6	1					1
201060104	1	6	1					1
301060101	1	6	1					1
301060102	1	6	1					1
301060103	1	6	1					1
301060104	1	6	1					1
201070101	1	7	1					1
201070102	1	7	1					1
201070103	1	7	1					1
201070104	1	7	1					1
301070101	1	7	1					1
301070102	1	7	1					1
301070103	1	7	1					1
301070104	1	7	1					1
201080101	1	8	1			2		1
201080102	1	8	1			2		1
201080103	1	8	1			2		1
201080104	1	8	1			2		1
201090101	1	9	1					1
201090102	1	9	1					1
201090103	1	9	1					1
201090104	1	9	1					1
301090101	1	9	1					1
301090102	1	9	1					1
301090103	1	9	1					1
301090104	1	9	1					1
201100101	1	10	1					1
201100102	1	10	1					1
201100103	1	10	1					1
201100104	1	10	1					1
301100101	1	10	1					1
301100102	1	10	1					1
301100103	1	10	1					1
301100104	1	10	1					1
201110101	1	11	1					1
201110102	1	11	1					1
201110103	1	11	1					1
201110104	1	11	1					1
301110101	1	11	1					1
301110102	1	11	1					1
301110103	1	11	1					1
301110104	1	11	1					1
201120101	1	12	1					1
201120102	1	12	1					1
201120103	1	12	1					1
201120104	1	12	1					1
301120101	1	12	1					1
301120102	1	12	1					1
301120103	1	12	1					1
301120104	1	12	1					1
201130101	1	13	1					1
201130102	1	13	1					1
201130103	1	13	1					1
201130104	1	13	1					1
301130101	1	13	1					1
301130102	1	13	1					1
301130103	1	13	1					1
301130104	1	13	1					1
201140101	1	14	1					1
201140102	1	14	1					1
201140103	1	14	1					1
201140104	1	14	1					1
201150101	1	15	1					1
201150102	1	15	1					1
201150103	1	15	1					1
201150104	1	15	1					1
301150101	1	15	1					1
