bulletId	effectId	bonName	bulletType	bulleForward	forwardCurve	bulleRegression	regressionCurve	frame	bulletPos	status
int	int	int	int	int	int	int	int	int	int	int
101002141	101002131	0	1	9	1	0	0	9	0;0;0	1
101002142	101002132	0	1	9	1	0	0	9	0;0;0	1
10100414	10100413	0	1	6	1	0	0	6	0;0;0	1
10200414	10200413	0	1	15	1	0	0	15	0;0;0	1
10200814	10200813	0	1	5	1	0	0	5	0;0;0	1
10300814	10300813	0	1	9	1	0	0	9	0;0;0	1
100414	100413	0	1	10	1	0	0	10	0;0;0	1
100424	100423	0	1	12	1	0	0	12	0;0;0	1
10000014	0	0	1	0	1	0	0	0	0;0;0	1
10200114	0	weapon_R_move_jnt	2	4	1	47	0	58	0;0;0	1
10200124	0	weapon_move_jnt	2	5	1	88	0	93	0;0;0	1
400124	0	weapon_1_move_jnt	2	3	1	32	0	39	0;0;0	1
10200314	10200313	0	1	15	1	0	0	15	0;0;0	1
10200324	10200323	0	1	15	1	0	0	15	0;0;0	1
10400514	10400513	0	1	9	1	0	0	9	0;0;0	1
10300614	0	weapon_2_move_jnt	2	3	1	33	0	37	0;0;3	1
10400214	10400213	0	1	4	1	0	0	4	0;0;0	1
10400224	10400223	0	1	7	1	0	0	7	0;0;0	1
400244	400243	0	1	5	1	0	0	5	0;0;0	1
10101114	10101113	0	1	5	1	0	0	5	0;0;0	1
101011141	101011131	0	1	5	1	0	0	5	0;0;0	1
10101124	10101123	0	1	5	1	0	0	5	0;0;0	1
10101214	0	root_move_jnt03	2	16	1	25	0	57	0;0;0	1
10101224	0	Jo_move_jnt	2	16	1	22	0	54	0;0;0	1
10101234	0	root_move_jnt01	2	13	1	18	0	48	0;0;0	1
10101244	0	root_move_jnt02	2	15	1	21	0	46	0;0;0	1
10300324	10300323	0	1	20	1	0	0	20	0;0;0	1
10300114	0	bear_Root_M	2	5	1	16	0	30	0;0;0	1
10300124	0	bear_root_move_jnt	2	9	1	11	0	26	0;0;0	1
10100714	10100713	0	1	9	1	0	0	9	0;0;0	1
10101014	0	wuqi_Jo_01	2	9	1	41	0	42	0;0;0	1
10400424	0	Root_M	2	3	1	49	0	55	0;0;1.5	1
102009241	0	weapon_1_move_jnt	2	33	1	33	0	53	0.5;0;1	1
102009242	0	weapon_2_move_jnt	2	23	1	23	0	60	0.5;0;1	1
1013014	10300213	0	1	8	1	0	0	8	0;0;0	1
1013024	10300213	0	1	8	1	0	0	8	0;0;0	1
1013034	10300213	0	1	8	1	0	0	8	0;0;0	1
1013044	10300213	0	1	8	1	0	0	8	0;0;0	1
103011141	103011131	0	1	9	1	0	0	9	0;0;0	1
103011142	103011132	0	1	9	1	0	0	9	0;0;0	1
401414	401413	0	1	6	1	0	0	6	0;0;0	1
400914	400913	0	1	5	1	0	0	5	0;0;0	1
400944	400943	0	1	29	1	0	0	29	0;0;0	1
400954	400951	0	1	40	1	0	0	40	0;0;0	1
400964	400961	0	1	30	1	0	0	30	0;0;0	1
101018141	0	wuqi_Jo_2	2	6	1	43	0	55	0;0;0	1
101018142	0	wuqi_Jo_3	2	7	1	44	0	55	0;0;0	1
101018143	0	wuqi_Jo_4	2	8	1	45	0	55	0;0;0	1
10400814	0	weapon_Jo_00	2	3	1	48	0	50	0;0;0	1
10400824	0	bullet_Jo	2	1	1	1	0	1	0;0;0	1
10201641	10201624	0	1	4	1	0	0	4	0;0;0	1
400714	400713	0	1	9	1	0	0	9	0;0;0	1
400724	400723	0	1	8	1	0	0	8	0;0;0	1
10300924	0	weapon_move_2_jnt	2	4	1	5	0	26	0;0;0	1
10101824	101018131	0	1	8	1	0	0	8	0;0;0	1
10301914	10301913	0	1	6	1	0	0	6	0;0;0	1
401714	401723	0	1	8	1	0	0	8	0;0;0	1
102014141	102014131	0	1	4	1	0	0	3	0;0;0	1
102014142	10201413	0	1	4	1	0	0	3	0;0;0	1
102014241	10201423	0	1	3	1	0	0	3	0;0;0	1
102014242	102014231	0	1	3	1	0	0	3	0;0;0	1
10201224	0	weapon_1_move_jnt	2	20	1	72	0	80	0;0;5	1
102614	1026151	0	1	15	1	0	0	15	0;0;0	1
10101314	10101313	0	1	12	1	0	0	12	0;0;0	1
10101324	10101323	0	1	9	1	0	0	9	0;0;0	1
400621	0	weapon_1_move_jnt	2	20	1	30	0	60	0;0;2	1
10100341	0	weapon_move_jnt	2	3	1	44	0	50	0;0;3	1
10100641	0	weapon_2_move_jnt	2	5	1	6	0	7	0;0;0	1
10300214	0	weapon_01_1_jnt	2	10	1	16	0	34	0;0;0	1
102013141	10201313	0	1	9	1	0	0	9	0;0;0	1
102013142	102013131	0	1	9	1	0	0	9	0;0;0	1
402214	0	weapon_6_move_jnt	2	10	1	11	0	12	0;0.5;1.5	1
4022141	0	weapon_6_move_jnt	2	10	1	11	0	12	0;1.5;10	1
10600224	0	weapon_2_move_jnt	2	15	1	68	0	69	0;0;0	1
10301214	10301213	0	1	10	1	0	0	10	0;0;0	1
10600114	0	weapon_1_move_jnt	2	11	1	22	0	45	0;0;1	1
10401014	10401013	0	1	5	1	0	0	5	0;0;1	1
104010141	104010131	0	1	5	1	0	0	5	0;0;1	1
104007141	0	weapon_1_move_jnt	2	29	1	42	0	61	0;0;0	1
104007241	0	weapon_1_move_jnt	2	24	1	64	0	81	0;0;0	1
10800814	0	weapon_2_move_jnt	2	20	1	34	0	35	0;0;0	1
10800824	0	weapon_1_move_jnt	2	7	1	27	0	33	0;0;0	1
402114	0	Weapon_JntA	2	4	1	13	0	14	0;0;5	1
402144	0	Weapon_Jnt	2	20	1	24	0	25	0;0;5	1
10500224	10500223	0	1	9	1	0	0	9	0;0;0	1
102324	102323	0	1	15	1	0	0	15	0;0;0	1
10700814	10700813	0	1	6	1	0	0	6	0;0;0	1
