actionId	actionName	forwardStart	forwardEnd	bulletLaunch	hits	hitsType	hitPause	hitShowType	returnStart	returnEnd	motionBlur	speedLine	frame	skillFuse	hitType	attackPos	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
31101001	skill1	4	12	0	12;20	4;5	1;1	1	40	58	6;12	6;12	91	60	1	0;0;1.5	1
32101001	skill2	11	18	0	19;26;51;74	4;5;5;2	0;0;0;3	1	89	106	11;18	11;18	134	108	1	0;0;1.5	1
33101001	skill3	0	0	0	1	3	0	1	0	0	0;0	0;0	150	150	1	0;0;0	1
31101002	skill1	0	0	41;48;90	48;55;96	1;1;1	0	2	0	0	0;0	0;0	115	100	1	0;0;0	1
32101002	skill2	0	0	0	75	1	0	1	0	0	0;0	0;0	105	80	1	0;0;0	1
33101002	skill3	0	0	0	1	2	0	1	0	0	0;0	0;0	240	240	1	0;0;0	1
31101003	skill1	0	0	30	33	1	0	2	0	0	5;22	5;22	119	89	1	0;0;3	1
32101003	skill2	15	40	0	40;45;49;54;59;82	1;1;1;1;1;2	0;0;0;0;0;2	1	106	124	5;20	5;20	159	126	1	0;0;2	1
33101003	skill3	0	0	0	1	1	0	1	0	0	0;0	0;0	148	148	1	0;0;0	1
31101004	skill1	0	0	33	39	1	0	2	0	0	0;0	0;0	67	49	1	0;0;0	1
32101004	skill2	0	0	0	83	0	0	1	0	0	0;0	0;0	110	90	1	0;0;0	1
33101004	skill3	0	0	0	1	1	0	1	0	0	0;0	0;0	210	210	1	0;0;0	1
31101005	skill1	3	21	0	60	2	2	1	87	100	4;12	4;12	121	102	1	0;0;1.5	1
32101005	skill2	4	9	0	9;15;38;65	1;1;3;2	0;0;0;3	1	90	107	4;15	4;15	122	109	4	0;0;1.5	1
33101005	skill3	0	0	0	1	2	0	1	0	0	0;0	0;0	210	210	1	0;0;0	1
31101006	skill1	0	0	98	102	1	0	2	0	0	11;20	11;20	129	108	2	0;0;2	1
32101006	skill2	20	27	0	28;34;56	4;5;1	0;0;1	1	77	90	11;20	11;20	104	92	2	0;0;1.5	1
33101006	skill3	0	0	0	1	1	0	1	0	0	0;0	0;0	202	202	1	0;0;0	1
31101007	skill1	0	0	67	76	2	0	2	0	0	0;0	0;0	105	86	2	0;0;0	1
32101007	skill2	0	0	0	150	1	0	1	0	0	0;0	0;0	166	155	1	0;0;0	1
33101007	skill3	0	0	0	1	1	0	1	0	0	0;0	0;0	202	202	1	0;0;0	1
31101008	skill1	22	28	0	29	4	2	1	41	70	21;28	21;28	101	72	1	0;0;1.5	1
32101008	skill2	6	32	0	36;47;73	1;3;2	0;0;3	1	96	105	6;32	6;32	161	107	1	0;0;1.6	1
33101008	skill3	0	0	0	1	2	0	1	0	0	0;0	0;0	275	275	1	0;0;0	1
31101009	skill1	4	15	0	13;26;35;57	1;1;3;2	1;1;1;3	1	74	89	4;10	4;10	134	91	1	0;0;2.75	1
32101009	skill2	0	0	0	42	1	0	2	0	0	0	0	86	47	1	0;0;0	1
33101009	skill3	0	0	0	1	2	0	1	0	0	0;0	0;0	50	50	1	0;0;0	1
31101010	skill1	0	0	32	74	3	0	2	0	0	0	0	118	79	2	0;0;0	1
32101010	skill2	0	0	0	133	1	0	1	0	0	0	0	135	138	1	0;0;0	1
33101010	skill3	0	0	0	1	1	0	1	0	0	0;0	0;0	50	50	1	0;0;0	1
31101011	skill1	0	0	47;53;57;65;93	52;58;62;70;98	1;1;1;1;2	0	2	0	0	0	0	138	108	1	0;0;0	1
32101011	skill2	31	41	11	16;72	1;7	0;2	2;1	94	110	20;41	20;41	140	112	1	0;0;6	1
33101011	skill3	0	0	0	1	2	0	1	0	0	0;0	0;0	50	50	1	0;0;0	1
31101012	skill1	0	0	35;37;41;44	51;53;54;59	1;1;1;1	0	2	0	0	0	0	110	80	1	0;0;0	1
32101012	skill2	0	0	0	64;75	1;2	0	1	0	0	0	0	140	110	2	0;0;0	1
33101012	skill3	0	0	0	1	3	0	1	0	0	0;0	0;0	50	50	2	0;0;0	1
31101013	skill1	0	0	24	27	2	1	2	0	0	0	0	88	58	1	0;0;0	1
32101013	skill2	9	32	34	36	2	1	2	85	102	9;32	9;32	134	104	3	0;0;5	1
33101013	skill3	0	0	0	1	2	0	1	0	0	0;0	0;0	50	50	1	0;0;0	1
31101014	skill1	0	0	28	31	2	0	2	0	0	0;0	0;0	96	36	1	0;0;0	1
32101014	skill2	0	0	0	82	0	0	1	0	0	0	0	120	90	1	0;0;0	1
33101014	skill3	0	0	0	1	0	0	1	0	0	0;0	0;0	50	50	1	0;0;0	1
31101017	skill1	10	30	0	32;41;71	1;1;2	0;0;2	1	99	113	10;30	10;30	141	115	3	0;0;3	1
32101017	skill2	0	0	0	110	2	0	1	0	0	0	0	150	120	3	0;0;0	1
33101017	skill3	0	0	0	1	2	0	1	0	0	0	0	50	50	3	0;0;0	1
31101018	skill1	18	35	0	39;50;79	1;1;2	1;1;2	1	93	112	18;35	18;35	130	114	1	0;0;1.5	1
32101018	skill2	0	0	45;46;47	51;52;53	1;1;1	0	1	0	0	0	0	150	120	1	0;0;0	1
33101018	skill3	0	0	0	1;5;10;15	1;1;1;1	0	1	0	0	0	0	50	50	1	0;0;0	1
31102001	skill1	0	0	7	34	2	0	1	0	0	0;0	0;0	61	39	2	0;0;0	1
32102001	skill2	0	0	32	76	1	0	1	0	0	0;0	0;0	150	120	4	0;0;0	1
33102001	skill3	0	0	0	1	3	0	1	0	0	0;0	0;0	190	190	2	0;0;0	1
31102002	skill1	31	63	0	65	2	2	1	88	110	31;59	31;59	126	112	1	-0.5;0;1.5	1
32102002	skill2	0	0	0	62	1	0	1	0	0	0;0	0;0	89	59	1	0;0;0	1
33102002	skill3	0	0	0	1	2	0	1	0	0	0;0	0;0	280	280	1	0;0;0	1
31102003	skill1	0	0	0	90	1	0	1	0	0	0;0	0;0	163	133	2	0;0;0	1
32102003	skill2	0	0	48	66	1	0	2	0	0	0;0	0;0	106	76	2	0;0;0	1
33102003	skill3	0	0	0	1	2	0	1	0	0	0;0	0;0	192	192	2	0;0;0	1
31102004	skill1	0	0	54	69	1	0	2	0	0	0;0	0;0	90	74	1	0;0;0	1
32102004	skill2	0	0	0	24	1	0	1	0	0	0;0	0;0	108	78	1	0;0;0	1
33102004	skill3	0	0	0	1	2	0	1	0	0	0;0	0;0	370	370	1	0;0;0	1
31102005	skill1	0	0	52	58	0	0	1	0	0	0;0	0;0	118	88	4	0;0;0	1
32102005	skill2	0	0	0	38;45;52	2;2;3	1;1;3	1	0	0	0;0	0;0	70	70	1	0;0;0	1
33102005	skill3	0	0	0	1	2	0	1	0	0	0;0	0;0	393	393	1	0;0;0	1
31102006	skill1	0	0	0	101	1;1;1	0	1	0	0	0	0	130	118	1	0;0;0	1
32102006	skill2	24	39	0	39;67;93	1;1;3	0;0;2	1	94	111	24;39	24;39	131	113	1	0;0;1.94	1
33102006	skill3	0	0	0	1	1	0	1	0	0	0;0	0;0	300	300	1	0;0;0	1
31102007	skill1	2	18	0	35;45;55;65	1;1;1;1	0	1	90	124	2;18	2;18	149	126	4	0;0;1.5	1
32102007	skill2	0	0	0	88	1	0	1	0	0	0;0	0;0	120	90	1	0;0;0	1
33102007	skill3	0	0	0	1;2;4;6	1;1;1;1	0	1	0	0	0;0	0;0	50	50	4	0;0;0	1
31102008	skill1	0	0	0	32;33;42;43	1;1;1;1;1	0	2	0	0	0;0	0;0	94	70	1	0;0;0	1
32102008	skill2	0	0	0	78	1	0	1	0	0	0;0	0;0	130	100	1	0;0;0	1
33102008	skill3	0	0	0	1	2	0	1	0	0	0;0	0;0	260	260	1	0;0;0	1
31102009	skill1	29	43	0	44	2	2	1	72	87	28;43	39;43	101	89	1	0;0;1.5	1
32102009	skill2	0	0	17;27	41;48	1;1	0	1	0	0	0;0	0;0	120	90	1	0;0;0	1
33102009	skill3	0	0	0	1	2	0	1	0	0	0;0	0;0	50	50	1	0;0;0	1
31102010	skill1	0	0	0	52;59;90	1;1;3	0	1	0	0	0;0	0;0	160	130	2	0;0;0	1
32102010	skill2	19	40	0	40;46;56	1;1;3	0;0;2	1	115	130	19;40	19;40	147	132	2	0;0;1	1
33102010	skill3	0	0	0	1	2	0	1	0	0	0;0	0;0	50	50	1	0;0;0	1
31102011	skill1	58	69	0	74;96	5;2	0;2	1	109	123	58;69	58;69	150	125	2	0;0;2.2	1
32102011	skill2	0	0	0	95	1	0	1	0	0	0;0	0;0	150	120	1	0;0;0	1
33102011	skill3	0	0	0	1	1	0	1	0	0	0;0	0;0	50	50	1	0;0;0	1
31102012	skill1	0	0	0	110	1	0	1	0	0	0;0	0;0	154	124	1	0;0;0	1
32102012	skill2	0	0	40	92	2	0	1	0	0	0;0	0;0	120	100	1	0;0;0	1
33102012	skill3	0	0	0	1	2	0	1	0	0	0;0	0;0	50	50	1	0;0;0	1
31102013	skill1	0	0	44;51	53;60	1;2	0	2	0	0	0;0	0;0	124	94	3	0;0;0	1
32102013	skill2	0	0	0	85	1	0	1	0	0	0;0	0;0	117	87	1	0;0;0	1
33102013	skill3	0	0	0	1	1	0	1	0	0	0;0	0;0	50	50	1	0;0;0	1
31102014	skill1	0	0	60;65;70;92;97;103	64;69;74;96;101;107	1;1;1;1;1;1	0	2	0	0	0;0	0;0	134	110	1	0;0;0	1
32102014	skill2	0	0	0	76;96	1;1	1;1	1	0	0	0;0	0;0	149	119	3	0;0;0	1
33102014	skill3	0	0	0	1	1	0	1	0	0	0;0	0;0	50	50	3	0;0;0	1
31102016	skill1	18	39	0	41;92	1;2	1;2	1	112	127	18;39	18;39	169	129	1	0;0;2	1
32102016	skill2	0	0	51	54	1	0	1	0	0	0;0	0;0	101	71	1	0;0;0	1
33102016	skill3	0	0	0	1	3	0	1	0	0	0;0	0;0	50	50	1	0;0;0	1
31102017	skill1	0	0	0	56	0	0	1	0	0	0;0	0;0	70	60	1	0;0;0	1
32102017	skill2	9	38	0	46;51	1;1	1;3	1	73	95	9;38	9;38	125	97	1	0;0;1.5	1
33102017	skill3	0	0	0	1;2	1;1	0	1	0	0	0;0	0;0	50	50	1	0;0;0	1
31102018	skill1	21	25	61	67	2	0	1	60	70	21;25	21;25	120	72	2	0;0;3.2	1
32102018	skill2	0	0	0	60	0	0	1	0	0	0;0	0;0	101	71	1	0;0;0	1
33102018	skill3	0	0	0	1	2	0	1	0	0	0;0	0;0	50	50	1	0;0;0	1
31103001	skill1	0	0	30	35	1	0	1	0	0	0;0	0;0	70	40	1	0;0;0	1
32103001	skill2	0	0	36	46	2	0	1	0	0	0;0	0;0	110	80	3	0;0;0	1
33103001	skill3	0	0	0	1	1	0	1	0	0	0;0	0;0	260	260	1	0;0;0	1
31103002	skill1	0	0	36	46	1	0	2	0	0	0;0	0;0	78	48	1	0;0;0	1
32103002	skill2	0	0	0	67	3	1	1	0	0	0;0	0;0	141	125	1	0;0;0	1
33103002	skill3	0	0	0	1	1	0	1	0	0	0;0	0;0	295	295	1	0;0;0	1
31103003	skill1	0	0	0	66	1	0	1	0	0	0;0	0;0	110	80	1	0;0;0	1
32103003	skill2	0	0	28	48	1	0	2	0	0	0;0	0;0	64	50	1	0;0;6	1
33103003	skill3	0	0	0	1	1	0	1	0	0	0;0	0;0	50	50	1	0;0;0	1
31103004	skill1	0	0	0	60	1	0	1	0	0	0;0	0;0	130	100	1	0;0;0	1
32103004	skill2	31	49	0	83	2	2	1	110	130	31;49	31;49	180	132	1	0;0;2	1
33103004	skill3	0	0	0	1	2	0	1	0	0	0;0	0;0	50	50	1	0;0;0	1
31103005	skill1	13	14	0	15;20	1;1	1;1	1	32	33	13;14	13;14	50	35	1	0;0;2	1
32103005	skill2	18	21	0	23;24;25;26;28;29;30;30	1;1;1;1;1;1;1;1	0;0;0;0;0;0;0;2	1	68	72	0;0	0;0	91	74	1	0;0;2	1
33103005	skill3	0	0	0	1	1	0	1	0	0	0;0	0;0	190	190	1	0;0;0	1
31103006	skill1	0	0	26	29;35;40;45;50;56	1;1;1;1;1;1	0	1	0	0	0;0	0;0	114	84	1	0;0;0	1
32103006	skill2	9	16	0	13;37;45;49;59;105	1;1;1;1;1;2	1;1;1;1;1;3	1	115	124	9;16	9;16	134	126	1	0;0;2.5	1
33103006	skill3	0	0	0	1;2;3;4;5;6	1;1;1;1;1;1	0	1	0	0	0;0	0;0	50	50	1	0;0;0	1
31103007	skill1	0	0	0	84	1	0	1	0	0	0;0	0;0	162	132	1	0;0;0	1
32103007	skill2	0	0	0	123;128;133;139	1;1;1;1	0	1	0	0	0;0	0;0	174	144	1	0;0;0	1
33103007	skill3	0	0	0	1;5;10;15	1;1;1;1	0	1	0	0	0;0	0;0	50	50	1	0;0;0	1
31103008	skill1	0	0	28	37	1	0	2	0	0	0;0	0;0	63	42	1	0;0;0	1
32103008	skill2	0	0	0	24	1	0	1	0	0	0;0	0;0	100	70	1	0;0;0	1
33103008	skill3	0	0	0	1	1	0	1	0	0	0;0	0;0	220	220	1	0;0;0	1
31103009	skill1	0	0	0	31;40;84	1;1;3	0	1	0	0	0;0	0;0	110	89	1	0;0;0	1
32103009	skill2	0	0	18	23;24;25	1;1;1	0	2	0	0	0;0	0;0	85	55	1	0;0;0	1
33103009	skill3	0	0	0	1	3	0	1	0	0	0;0	0;0	50	50	1	0;0;0	1
31103010	skill1	4	22	0	22	7	2	1	51	61	4;22	4;22	83	63	1	0;0;1	1
32103010	skill2	0	0	0	89;93;97;101;105	1;1;1;1;1	0	1	0	0	0;0	0;0	148	118	1	0;0;0	1
33103010	skill3	0	0	0	1;5;10;15;20	1;1;1;1;1	0	1	0	0	0;0	0;0	50	50	1	0;0;0	1
31103011	skill1	0	0	12;102	21;111	1;2	0	2	0	0	0;0	0;0	156	126	2	0;0;0	1
32103011	skill2	31	65	0	61;98	1;2	0;1	1	115	132	31;70	31;70	150	134	2	0;0;1.5	1
33103011	skill3	0	0	0	1	1	0	1	0	0	0;0	0;0	50	50	1	0;0;0	1
31103012	skill1	30	65	14	24;62	1;7	1;3	2;1	79	98	30;65	30;65	144	100	1	0;0;1.3	1
32103012	skill2	25	29	0	35;39;45;81	1;1;3;2	1;1;1;3	1	81	102	25;29	25;29	124	104	1	0;0;1.1	1
