id	status
int	int
43101001_1	1
43101001_2	1
43101001_3	1
43101001_4	1
43101002_1	1
43101002_2	1
43101002_3	1
43101002_4	1
43101003_1	1
43101003_2	1
43101003_3	1
43101003_4	1
43101004_1	1
43101004_2	1
43101004_3	1
43101004_4	1
43101005_1	1
43101005_2	1
43101005_3	1
43101005_4	1
43101006_1	1
43101006_2	1
43101006_3	1
43101006_4	1
43101008_1	1
43101008_2	1
43101008_3	1
43101008_4	1
43102001_1	1
43102001_2	1
43102001_3	1
43102001_4	1
43102002_1	1
43102002_2	1
43102002_3	1
43102002_4	1
43102003_1	1
43102003_2	1
43102003_3	1
43102003_4	1
43102004_1	1
43102004_2	1
43102004_3	1
43102004_4	1
43102005_1	1
43102005_2	1
43102005_3	1
43102005_4	1
43102006_1	1
43102006_2	1
43102006_3	1
43102006_4	1
43102008_1	1
43102008_2	1
43102008_3	1
43102008_4	1
43103002_1	1
43103002_2	1
43103002_3	1
43103002_4	1
43103005_1	1
43103005_2	1
43103005_3	1
43103005_4	1
43103008_1	1
43103008_2	1
43103008_3	1
43103008_4	1
43104001_1	1
43104001_2	1
43104001_3	1
43104001_4	1
43104005_1	1
43104005_2	1
43104005_3	1
43104005_4	1
43104002_1	1
43104002_2	1
43104002_3	1
43104002_4	1
43101007_1	1
43101007_2	1
43101007_3	1
43101007_4	1
43103006_1	1
43103006_2	1
43103006_3	1
43103006_4	1
43102007_1	1
43102007_2	1
43102007_3	1
43102007_4	1
43101011_1	1
43101011_2	1
43101011_3	1
43101011_4	1
43101009_1	1
43101009_2	1
43101009_3	1
43101009_4	1
43101010_1	1
43101010_2	1
43101010_3	1
43101010_4	1
43101012_1	1
43101012_2	1
43101012_3	1
43101012_4	1
43102009_1	1
43102009_2	1
43102009_3	1
43102009_4	1
43102011_1	1
43102011_2	1
43102011_3	1
43102011_4	1
43103011_1	1
43103011_2	1
43103011_3	1
43103011_4	1
43104004_1	1
43104004_2	1
43104004_3	1
43104004_4	1
43102010_1	1
43102010_2	1
43102010_3	1
43102010_4	1
43104003_1	1
43104003_2	1
43104003_3	1
43104003_4	1
43101017_1	1
43101017_2	1
43101017_3	1
43101017_4	1
43103009_1	1
43103009_2	1
43103009_3	1
43103009_4	1
43104016_1	1
43104016_2	1
43104016_3	1
43104016_4	1
43102012_1	1
43102012_2	1
43102012_3	1
43102012_4	1
43101018_1	1
43101018_2	1
43101018_3	1
43101018_4	1
43101013_1	1
43101013_2	1
43101013_3	1
43101013_4	1
43104006_1	1
43104006_2	1
43104006_3	1
43104006_4	1
43102014_1	1
43102014_2	1
43102014_3	1
43102014_4	1
43103004_1	1
43103004_2	1
43103004_3	1
43103004_4	1
43102013_1	1
43102013_2	1
43102013_3	1
43102013_4	1
43102016_1	1
43102016_2	1
43102016_3	1
43102016_4	1
43103003_1	1
43103003_2	1
43103003_3	1
43103003_4	1
43103007_1	1
43103007_2	1
43103007_3	1
43103007_4	1
43104008_1	1
43104008_2	1
43104008_3	1
43104008_4	1
43103010_1	1
43103010_2	1
43103010_3	1
43103010_4	1
43103001_1	1
43103001_2	1
43103001_3	1
43103001_4	1
