id	level	consume	comsumeNum	goldNum	type	status
int	int	int	int	int	int	int
1	1	0	0	0	1	1
2	2	4102101	1	10000	1	1
3	3	4102101	1	20000	1	1
4	4	4102101;4102102	1;1	30000	1	1
5	5	4102101;4102102	1;2	40000	1	1
6	6	4102101;4102102	2;2	50000	1	1
7	7	4102101;4102102	2;3	70000	1	1
8	8	4102101;4102102	2;4	100000	1	1
9	9	4102101;4102102	2;5	150000	1	1
10	10	4102101;4102102	3;6	200000	1	1
11	1	0	0	0	2	1
12	2	4102101	1	10000	2	1
13	3	4102101	1	20000	2	1
14	4	4102101;4102103	1;1	30000	2	1
15	5	4102101;4102103	1;2	40000	2	1
16	6	4102101;4102103	2;2	50000	2	1
17	7	4102101;4102103	2;3	70000	2	1
18	8	4102101;4102103	2;4	100000	2	1
19	9	4102101;4102103	2;5	150000	2	1
20	10	4102101;4102103	3;6	200000	2	1
21	1	0	0	0	3	1
22	2	4102101	1	10000	3	1
23	3	4102101	1	20000	3	1
24	4	4102101;4102104	1;1	30000	3	1
25	5	4102101;4102104	1;2	40000	3	1
26	6	4102101;4102104	2;2	50000	3	1
27	7	4102101;4102104	2;3	70000	3	1
28	8	4102101;4102104	2;4	100000	3	1
29	9	4102101;4102104	2;5	150000	3	1
30	10	4102101;4102104	3;6	200000	3	1
31	1	0	0	0	4	1
32	2	4102101	1	10000	4	1
33	3	4102101	1	20000	4	1
34	4	4102101;4102105	1;1	30000	4	1
35	5	4102101;4102105	1;2	40000	4	1
36	6	4102101;4102105	2;2	50000	4	1
37	7	4102101;4102105	2;3	70000	4	1
38	8	4102101;4102105	2;4	100000	4	1
39	9	4102101;4102105	2;5	150000	4	1
40	10	4102101;4102105	3;6	200000	4	1
41	1	0	0	0	5	1
42	2	4102101	1	10000	5	1
43	3	4102101	1	20000	5	1
44	4	4102101;4102106	1;1	30000	5	1
45	5	4102101;4102106	1;2	40000	5	1
46	6	4102101;4102106	2;2	50000	5	1
47	7	4102101;4102106	2;3	70000	5	1
48	8	4102101;4102106	2;4	100000	5	1
49	9	4102101;4102106	2;5	150000	5	1
50	10	4102101;4102106	3;6	200000	5	1
51	1	0	0	0	6	1
52	2	4102101	1	10000	6	1
53	3	4102101	1	20000	6	1
54	4	4102101;4102201	1;1	30000	6	1
55	5	4102101;4102201	1;2	40000	6	1
56	6	4102101;4102201	2;2	50000	6	1
57	7	4102101;4102201	2;3	70000	6	1
58	8	4102101;4102201	2;4	100000	6	1
59	9	4102101;4102201	2;5	150000	6	1
60	10	4102101;4102201	3;6	200000	6	1
