id	para	status
int	int	int
evadeReducedDamage	0.5	1
evadeReducedDisNum	1	1
luckyValuePara	400	1
cardMakeUpLimit	7	1
cardWeightArray	10;20;30;40;60;80;100	1
cardWeightValue	10	1
starRatioEffectAI	1;1.1;1.5;1.5;1.5;1.5	1
starRatioEffectSpAI	1;1;1;1	1
targetNumRatio	1;1.125;1.36;1.563;1.8;2.042;2.286;2.531	1
standardEffectAI	100	1
focusOnTargetAI	0.4	1
overHealShield	40030005	1
hitPauseTime	0.025;0.075;0.09;0.2;0.4;0.5	1
hitPauseTimeScale	0.03	1
battleCatSize	1.5	1
swallowMonsterBroken	2	1
absoluteAbandon	0.35	1
normalAbandon	0.5	1
crowdControlRatio	1	1
maxFuseTime	-54	1
luckMultiplier	0.18	1
luckAdd	0	1
backDmgType	22	1
condectDmgType	22	1
cameraCollider	4;4;3	1
combatDamageAmend	1	1
roleShock	8	1
battleShock	5	1
ultimateMaxLevel	25	1
passsiveMaxLevel	7	1
combatValMax	1	1
combatDamageMin	2	1
skillVoicePlayRate	0.3	1
passiveBuffIntervalTime	0.3	1
passiveTypeIntervalTime	0.5	1
