id	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int
1	1	单伤	單傷	DMG	単体攻撃	단일 대미지	ดาเมจเป้าเดี่ยว
2	1	群伤	群傷	AoE	全体攻撃	광역 대미지	ดาเมจหมู่
3	1	治疗	治療	Heal	回復	치유	ฟื้นฟู
4	1	群疗	群療	AoE Heal	全体回復	광역 치유	ฟื้นฟูหมู่
5	1	增益	增益	Buff	バフ	버프	บัฟ
6	1	减益	減益	Debuff	デバフ	디버프	ดีบัฟ
7	1	加攻	加攻	ATK UP	攻撃力上昇	공격력 증가	เพิ่ม ATK
8	1	减攻	減攻	ATK DOWN	攻撃力低下	공격력 감소	ลด ATK
9	1	减伤	減傷	DMG RED	ダメージ減少	대미지 감소	ลดดาเมจ
10	1	易伤	易傷	Vulnerability	被ダメージ増加	취약	เปราะบาง
11	1	加防	加防	DEF UP	防御力上昇	방어력 증가	เพิ่ม DEF
12	1	减防	減防	DEF DOWN	防御力低下	방어력 감소	ลด DEF
13	1	护盾	護盾	Shield	シールド	실드	โล่ป้องกัน
14	1	抢夺	搶奪	Plunder	奪い取る	강탈	ขโมย
15	1	回能	回能	Recover SP	SP回復	반환	ฟื้นพลังงาน
16	1	减能	減能	Reduce SP	SP減少	게이지 감소	ลดพลังงาน
17	1	补卡	補卡	Add Card	カード補充	드로우	การ์ดสำรอง
18	1	升星	升星	Star Up	昇格	승급	เพิ่มดาว
19	1	处决	處決	Execute	処刑	처단	เผด็จศึก
20	1	斩杀	斬殺	Slay	斬殺	참살	สังหาร
21	1	驱散	驅散	Dispel	解除	해제	ลบล้าง
22	1	清除	清除	Clear	全解除	제거	ลบล้าง
23	1	点燃	點燃	Burning	燃焼	연소	ไฟไหม้
24	1	持续伤害	持續傷害	DoT	持続ダメージ	지속 대미지	ดาเมจต่อเนื่อง
25	1	恐惧	恐懼	Fear	恐怖	공포	หวาดกลัว
26	1	眩晕	眩暈	Stun	スタン	스턴	มึนงง
27	1	群体击晕	群體擊暈	AoE Stun	全体スタン	광역 스턴	มึนงงหมู่
28	1	沉默	沉默	Silence	沈黙	침묵	ใบ้
29	1	隐身	隱身	Stealth	不可視	은신	พลางตัว
30	1	强化	強化	Enhance	強化	강화	เสริมพลัง
31	1	特殊	特殊	Special	特殊	특수	พิเศษ
32	1	群嘲	群嘲	AoE Taunt	全体挑発	광역 도발	ยั่วยุหมู่
33	1	破盾	破盾	Shield Break	シールドダメージ	실드 파괴	ทำลายโล่
34	1	召唤物	召喚物	Summons	召喚物	소환물	อัญเชิญ
35	1	挑衅	挑釁	Taunt	挑発	도전	ยั่วยุ
36	1	重伤	重傷	Mortal Wound	重傷	중상	บาดเจ็บหนัก
37	1	保护	保護	Protect	守護	보호	คุ้มกัน
38	1	吞噬	吞噬	Devour	呑噬	흡수	กลืนกิน
39	1	发现	發現	Discovery	発見	발견	ค้นพบ
40	1	抉择	抉擇	Choice	選定	선택	ทางเลือก
41	1	降星	降星	Starcast	降格	감성	ลดดาว
42	1	免疫	免疫	Immune	無効	면역	ต้านทาน
43	1	屏障	屏障	Barrier	シールド	장벽	ม่านพลัง
44	1	控制	控制	Control	行動制限	제어	ควบคุม
45	1	群体控制	群體控制	Crowd Control	全体行動制限	군중 제어	ควบคุมหมู่
46	1	吸血	吸血	Lifesteal	吸血	흡혈	ดูดเลือด
47	1	生命消耗	生命消耗	HP Cost	HP消費	HP 소모	ลดพลังชีวิต
48	1	锁血	鎖血	HP Lock	即死回避	쇄혈	ล็อกพลังชีวิต
49	1	弃牌	棄牌	Discard	カード放棄	폴드	ทิ้งไพ่
50	1	持续治疗	持續治療	HoT	持続回復	지속 치유	ฟื้นฟูต่อเนื่อง
51	1	延时	延時	Delay	遅延	연장	ยืดเวลา
52	1						
