id	desc	mainEffectType	subEffectType	miniEffectType	effectLv	dispelLv	status
int	int	int	int	int	int	int	int
10001	通用效果，空效果（可以驱，用于空标记）	0	0	1		1	1
10002	通用效果，空效果（不能驱，用于触发器）	0	0	1		999	1
411203151	怪物通用，提升30%穿透	1	1203	1		1	1
411203152	怪物通用，降低20%穿透	1	1203	1		1	1
411203153	怪物通用，降低30%穿透	1	1203	1		1	1
411203154	怪物通用，提升30%穿透	1	1203	1		1	1
411203155	怪物通用，提升15%穿透	1	1203	1		1	1
411203156	怪物通用，提升50%穿透	1	1203	1		1	1
411203157	怪物通用，降低80%穿透	1	1203	1		1	1
405010151	怪物通用，100%攻击生成护盾	5	1	1		3	1
405010152	怪物通用，150%攻击生成护盾	5	1	1		3	1
405010153	怪物通用，200%攻击生成护盾	5	1	1		3	1
405010154	怪物通用，250%攻击生成护盾	5	1	1		3	1
405010155	怪物通用，300%攻击生成护盾	5	1	1		3	1
405020151	怪物通用，100%防御生成护盾	5	2	1		3	1
405020152	怪物通用，300%防御生成护盾	5	2	1		3	1
405040152	怪物通用，30%生命生成护盾	5	4	1		3	1
405040151	怪物通用，95%生命生成护盾	5	4	1		3	1
404040151	怪物通用，恐惧	4	4	1		1	1
410001151	怪物通用，嘲讽	100	1	1		3	1
412010151	怪物通用，降低20%防御	100	1	1		3	1
412010152	怪物通用，降低10%防御	1	202	1		1	1
412010154	怪物通用，降低30%防御	1	202	1		1	1
412010153	怪物通用，提升30%防御	1	202	1		1	1
412010155	怪物通用，提升15%防御	1	202	1		1	1
412010156	怪物通用，提升40%防御	1	202	1		1	1
412010157	怪物通用，提升140%防御	1	202	1		1	1
412010158	怪物通用，提升50%防御	1	202	1		1	1
412010159	怪物通用，降低60%防御	1	202	1		1	1
412010160	怪物通用，提升100%防御	1	202	1		1	1
412010161	怪物通用，降低50%防御	1	202	1		1	1
416030151	怪物通用，提升100%暴击率	1	603	1		1	1
416030152	怪物通用，提升45%暴击率	1	603	1		1	1
416030153	怪物通用，提升50%暴击率	1	603	1		1	1
416030154	怪物通用，提升15%暴击率	1	603	1		1	1
416030155	怪物通用，提升30%暴击率	1	603	1		1	1
416030156	怪物通用，降低20%暴击率	1	603	1		1	1
416030157	怪物通用，降低30%暴击率	1	603	1		1	1
416030161	怪物通用，降低50%暴击率	1	603	1		1	1
404070151	怪物通用，沉默	4	7	1		1	1
401102151	怪物通用，提升20%攻击力	1	102	1		1	1
401102152	怪物通用，提升30%攻击力	1	102	1		1	1
401102155	怪物通用，提升15%攻击力	1	102	1		1	1
401102158	怪物通用，提升10%攻击力	1	102	1		1	1
401102156	怪物通用，提升5%攻击力	1	102	1		1	1
401102153	怪物通用，降低20%攻击力	1	102	1		1	1
401102154	怪物通用，降低5%攻击力	1	102	1		1	1
401102157	怪物通用，降低30%攻击力	1	102	1		1	1
401102159	怪物通用，降低60%攻击力	1	102	1		1	1
401102160	怪物通用，提升50%攻击力	1	102	1		1	1
401102161	怪物通用，降低10%攻击力	1	102	1		1	1
404010151	怪物通用，眩晕	4	1	1		3	1
403010151	怪物通用，根据100%攻击力HOT治疗	3	1	1		1	1
403010152	怪物通用，根据200%攻击力HOT治疗	3	1	1		1	1
403010153	怪物通用，根据30%攻击力HOT治疗	3	1	1		1	1
403010154	怪物通用，根据50%攻击力HOT治疗	3	1	1		1	1
411701151	怪物通用，100%吸血固定值加成	1	1701	1		1	1
411701152	怪物通用，50%吸血固定值加成	1	1701	1		1	1
411701153	怪物通用，30%吸血固定值加成	1	1701	1		1	1
411701154	怪物通用，300%吸血固定值加成	1	1701	1		1	1
411303151	怪物通用，降低30%忍耐	1	1303	1		1	1
411303152	怪物通用，提升30%忍耐	1	1303	1		1	1
411303153	怪物通用，提升15%忍耐	1	1303	1		1	1
411303154	怪物通用，提升20%忍耐	1	1303	1		1	1
411303155	怪物通用，降低20%忍耐	1	1303	1		1	1
411303156	怪物通用，提升40%忍耐	1	1303	1		1	1
411303157	怪物通用，提升50%忍耐	1	1303	1		1	1
411303158	怪物通用，提升5%忍耐	1	1303	1		1	1
411303159	怪物通用，提升100%忍耐	1	1303	1		1	1
411303163	怪物通用，降低50%忍耐	1	1303	1		1	1
411303164	怪物通用，提升3%忍耐	1	1303	1		1	1
411303165	怪物通用，提升60%忍耐	1	1303	1		1	1
411303166	怪物通用，提升70%忍耐	1	1303	1		1	1
411602151	怪物通用，降低50%受到的治疗效果	1	1602	1		1	1
411602152	怪物通用，提升20%受到的治疗效果	1	1602	1		1	1
411602153	怪物通用，提升15%受到的治疗效果	1	1602	1		1	1
411602154	怪物通用，提升50%受到的治疗效果	1	1602	1		1	1
411602155	怪物通用，提升30%受到的治疗效果	1	1602	1		1	1
404060151	怪物通用，禁止恢复类技能	4	6	1		1	1
404020151	怪物通用，睡眠1回合	4	2	1		1	1
418030151	怪物通用，降低30%暴击抵抗	1	803	1		1	1
418030152	怪物通用，提升100%暴击抵抗	1	803	1		1	1
418030153	怪物通用，提升50%暴击抵抗	1	803	1		1	1
418030154	怪物通用，提升40%暴击抵抗	1	803	1		1	1
418030155	怪物通用，提升15%暴击抵抗	1	803	1		1	1
