index	buffId	star	effectNum1	status
int	int	int	int	int
1001_1	1001	1	99	1
201010101_1	201010101	1	1.2	1
201010101_2	201010101	2	1.5	1
201010101_3	201010101	3	2	1
201010102_1	201010102	1	0.9	1
201010102_2	201010102	2	1.12	1
201010102_3	201010102	3	1.5	1
201010103_1	201010103	1	2.75	1
201010103_2	201010103	2	3.03	1
201010103_3	201010103	3	3.3	1
201010103_4	201010103	4	3.58	1
201010103_5	201010103	5	3.85	1
201010103_6	201010103	6	4.13	1
201010104_1	201010104	1	2.2	1
201010104_2	201010104	2	2.42	1
201010104_3	201010104	3	2.64	1
201010104_4	201010104	4	2.86	1
201010104_5	201010104	5	3.08	1
201010104_6	201010104	6	3.3	1
201010105_1	201010105	1	1.2	1
201010105_2	201010105	2	1.28	1
201010105_3	201010105	3	1.54	1
201010106_1	201010106	1	0.9	1
201010106_2	201010106	2	0.96	1
201010106_3	201010106	3	1.15	1
201010107_1	201010107	1	1.02	1
201010107_2	201010107	2	1.2	1
201010107_3	201010107	3	1.5	1
201010108_1	201010108	1	0.77	1
201010108_2	201010108	2	0.9	1
201010108_3	201010108	3	1.13	1
201010109_1	201010109	1	1.2	1
201010109_2	201010109	2	1.2	1
201010109_3	201010109	3	1.2	1
201010110_1	201010110	1	0.9	1
201010110_2	201010110	2	0.9	1
201010110_3	201010110	3	0.9	1
201010111_1	201010111	1	1.02	1
201010111_2	201010111	2	1.2	1
201010111_3	201010111	3	1.5	1
201010112_1	201010112	1	0.77	1
201010112_2	201010112	2	0.9	1
201010112_3	201010112	3	1.13	1
201010113_1	201010113	1	2.34	1
201010113_2	201010113	2	2.57	1
201010113_3	201010113	3	2.81	1
201010113_4	201010113	4	3.04	1
201010113_5	201010113	5	3.28	1
201010113_6	201010113	6	3.51	1
201010114_1	201010114	1	1.87	1
201010114_2	201010114	2	2.06	1
201010114_3	201010114	3	2.24	1
201010114_4	201010114	4	2.43	1
201010114_5	201010114	5	2.62	1
201010114_6	201010114	6	2.81	1
201010115_1	201010115	1	0.72	1
201010115_2	201010115	2	0.9	1
201010115_3	201010115	3	1.2	1
201010116_1	201010116	1	0.54	1
201010116_2	201010116	2	0.68	1
201010116_3	201010116	3	0.9	1
201010117_1	201010117	1	1.65	1
201010117_2	201010117	2	1.82	1
201010117_3	201010117	3	1.98	1
201010117_4	201010117	4	2.15	1
201010117_5	201010117	5	2.31	1
201010117_6	201010117	6	2.48	1
201010118_1	201010118	1	1.32	1
201010118_2	201010118	2	1.45	1
201010118_3	201010118	3	1.58	1
201010118_4	201010118	4	1.72	1
201010118_5	201010118	5	1.85	1
201010118_6	201010118	6	1.98	1
201010119_1	201010119	1	1.02	1
201010119_2	201010119	2	1.2	1
201010119_3	201010119	3	1.5	1
201010120_1	201010120	1	0.77	1
201010120_2	201010120	2	0.9	1
201010120_3	201010120	3	1.13	1
201010121_1	201010121	1	2.34	1
201010121_2	201010121	2	2.57	1
201010121_3	201010121	3	2.81	1
201010121_4	201010121	4	3.04	1
201010121_5	201010121	5	3.28	1
201010121_6	201010121	6	3.51	1
201010122_1	201010122	1	1.87	1
201010122_2	201010122	2	2.06	1
201010122_3	201010122	3	2.24	1
201010122_4	201010122	4	2.43	1
201010122_5	201010122	5	2.62	1
201010122_6	201010122	6	2.81	1
201010123_1	201010123	1	0.96	1
201010123_2	201010123	2	1.13	1
201010123_3	201010123	3	1.5	1
201010124_1	201010124	1	0.72	1
201010124_2	201010124	2	0.85	1
201010124_3	201010124	3	1.13	1
201010125_1	201010125	1	2.2	1
201010125_2	201010125	2	2.42	1
201010125_3	201010125	3	2.64	1
201010125_4	201010125	4	2.86	1
201010125_5	201010125	5	3.08	1
201010125_6	201010125	6	3.3	1
201010126_1	201010126	1	1.76	1
201010126_2	201010126	2	1.94	1
201010126_3	201010126	3	2.11	1
201010126_4	201010126	4	2.29	1
201010126_5	201010126	5	2.46	1
201010126_6	201010126	6	2.64	1
201010127_1	201010127	1	0.72	1
201010127_2	201010127	2	0.9	1
201010127_3	201010127	3	1.2	1
201010128_1	201010128	1	0.54	1
201010128_2	201010128	2	0.68	1
201010128_3	201010128	3	0.9	1
201010129_1	201010129	1	1.65	1
201010129_2	201010129	2	1.82	1
201010129_3	201010129	3	1.98	1
201010129_4	201010129	4	2.15	1
201010129_5	201010129	5	2.31	1
201010129_6	201010129	6	2.48	1
201010130_1	201010130	1	1.32	1
201010130_2	201010130	2	1.45	1
201010130_3	201010130	3	1.58	1
201010130_4	201010130	4	1.72	1
201010130_5	201010130	5	1.85	1
201010130_6	201010130	6	1.98	1
201010131_1	201010131	1	0.92	1
201010131_2	201010131	2	1.16	1
201010131_3	201010131	3	1.54	1
201010132_1	201010132	1	0.69	1
201010132_2	201010132	2	0.87	1
201010132_3	201010132	3	1.16	1
201010133_1	201010133	1	2.11	1
201010133_2	201010133	2	2.32	1
201010133_3	201010133	3	2.53	1
201010133_4	201010133	4	2.74	1
201010133_5	201010133	5	2.95	1
