id	role	star	status	skillDesc	skillDesc_zh_TW	skillDesc_en_UK	skillDesc_ja_JP	skillDesc_ko_KR	skillDesc_th_TH
int	int	int	int	int	int	int	int	int	int
7310100801	101008	1	1	按_#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_攻击力，对敌方单体造成<color="#FF7F50">「暴烈伤害」</color>\n<color="#FF7F50">「暴烈伤害」</color>：攻击时按_#type_num_6_1_倍暴击率造成伤害	按_#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_攻擊力，對敵方單體造成<color="#FF7F50">「暴烈傷害」</color>\n<color="#FF7F50">「暴烈傷害」</color>：攻擊時按_#type_num_6_1_倍爆擊率造成傷害	Deals _#skill_effectperlaststar_0_0_1_<color="#23d4c9"> to </color>_#skill_effectperstar_0_0_1_ ATK as <color="#FF7F50">[Savage DMG]</color> to one enemy.\n<color="#FF7F50">[Savage DMG]</color>: When attacking, deals damage based on _#type_num_6_1_ x CRIT Rate.	敵単体に攻撃力_#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_の<color="#FF7F50">「暴擊ダメージ」</color>を与える。\n<color="#FF7F50">「暴擊ダメージ」</color>：攻撃は_#type_num_6_1_倍の会心率でダメージを与える。	단일 적에게 공격력의 _#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_에 해당하는 <color="#FF7F50">「폭열 대미지」</color>를 부여한다.\n<color="#FF7F50">「폭열 대미지」</color>: 공격 시 크리티컬율의 _#type_num_6_1_배 대미지를 부여한다.	สร้าง​ดา​เม​จ​ใส่​ศัตรู​หนึ่ง​คน​เป็น​ <color="#FF7F50">[ดาเมจปะทุ]</color>​ _#skill_effectperlaststar_0_0_1_<color="#23d4c9">​ >​ </color>_#skill_effectperstar_0_0_1_​ ของ​ ATK​ \n<color="#FF7F50">[​ดา​เม​จ​ปะทุ​]</color>:​ เมื่อ​โจมตี​ สร้าง​ดา​เม​จ​ _#type_num_6_1_​ เท่า​ ของ​อัต​ราค​ริ​ติ​คอ​ล​
7310100803	101008	3	1	按_#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_攻击力，对敌方单体造成<color="#FF7F50">「暴烈伤害」</color>\n<color="#FF7F50">「暴烈伤害」</color>：攻击时按_#type_num_6_1_倍暴击率造成伤害	按_#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_攻擊力，對敵方單體造成<color="#FF7F50">「暴烈傷害」</color>\n<color="#FF7F50">「暴烈傷害」</color>：攻擊時按_#type_num_6_1_倍爆擊率造成傷害	Deals _#skill_effectperlaststar_0_0_1_<color="#23d4c9"> to </color>_#skill_effectperstar_0_0_1_ ATK as <color="#FF7F50">[Savage DMG]</color> to one enemy.\n<color="#FF7F50">[Savage DMG]</color>: When attacking, deals damage based on _#type_num_6_1_ x CRIT Rate.	敵単体に攻撃力_#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_の<color="#FF7F50">「暴擊ダメージ」</color>を与える。\n<color="#FF7F50">「暴擊ダメージ」</color>：攻撃は_#type_num_6_1_倍の会心率でダメージを与える。	단일 적에게 공격력의 _#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_에 해당하는 <color="#FF7F50">「폭열 대미지」</color>를 부여한다.\n<color="#FF7F50">「폭열 대미지」</color>: 공격 시 크리티컬율의 _#type_num_6_1_배 대미지를 부여한다.	สร้าง​ดา​เม​จ​ใส่​ศัตรู​หนึ่ง​คน​เป็น​ <color="#FF7F50">[ดาเมจปะทุ]</color>​ _#skill_effectperlaststar_0_0_1_<color="#23d4c9">​ >​ </color>_#skill_effectperstar_0_0_1_​ ของ​ ATK​ \n<color="#FF7F50">[​ดา​เม​จ​ปะทุ​]</color>:​ เมื่อ​โจมตี​ สร้าง​ดา​เม​จ​ _#type_num_6_1_​ เท่า​ ของ​อัต​ราค​ริ​ติ​คอ​ล​
7310100805	101008	5	1	按_#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_攻击力，对敌方单体造成<color="#FF7F50">「暴烈伤害」</color>\n<color="#FF7F50">「暴烈伤害」</color>：攻击时按_#type_num_6_1_倍暴击率造成伤害	按_#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_攻擊力，對敵方單體造成<color="#FF7F50">「暴烈傷害」</color>\n<color="#FF7F50">「暴烈傷害」</color>：攻擊時按_#type_num_6_1_倍爆擊率造成傷害	Deals _#skill_effectperlaststar_0_0_1_<color="#23d4c9"> to </color>_#skill_effectperstar_0_0_1_ ATK as <color="#FF7F50">[Savage DMG]</color> to one enemy.\n<color="#FF7F50">[Savage DMG]</color>: When attacking, deals damage based on _#type_num_6_1_ x CRIT Rate.	敵単体に攻撃力_#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_の<color="#FF7F50">「暴擊ダメージ」</color>を与える。\n<color="#FF7F50">「暴擊ダメージ」</color>：攻撃は_#type_num_6_1_倍の会心率でダメージを与える。	단일 적에게 공격력의 _#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_에 해당하는 <color="#FF7F50">「폭열 대미지」</color>를 부여한다.\n<color="#FF7F50">「폭열 대미지」</color>: 공격 시 크리티컬율의 _#type_num_6_1_배 대미지를 부여한다.	สร้าง​ดา​เม​จ​ใส่​ศัตรู​หนึ่ง​คน​เป็น​ <color="#FF7F50">[ดาเมจปะทุ]</color>​ _#skill_effectperlaststar_0_0_1_<color="#23d4c9">​ >​ </color>_#skill_effectperstar_0_0_1_​ ของ​ ATK​ \n<color="#FF7F50">[​ดา​เม​จ​ปะทุ​]</color>:​ เมื่อ​โจมตี​ สร้าง​ดา​เม​จ​ _#type_num_6_1_​ เท่า​ ของ​อัต​ราค​ริ​ติ​คอ​ล​
7310101100	101011	0	1	按_#skill_effectperstar_0_0_1_攻击力，对敌方单体造成<color="#FF7F50">「穿刺伤害」</color>\n<color="#FF7F50">「穿刺伤害」</color>：攻击时按_#type_num_4_1_倍穿透率造成伤害	按_#skill_effectperstar_0_0_1_攻擊力，對敵方單體造成<color="#FF7F50">「穿刺傷害」</color>\n<color="#FF7F50">「穿刺傷害」</color>：攻擊時按_#type_num_4_1_倍穿透率造成傷害	Deals _#skill_effectperstar_0_0_1_ ATK as <color="#FF7F50">[Jab DMG]</color> to one enemy.\n<color="#FF7F50">[Jab DMG]</color>: When attacking, deals damage based on _#type_num_4_1_ x Armor PEN.	敵単体に攻撃力_#skill_effectperstar_0_0_1_の<color="#FF7F50">「穿刺ダメージ」</color>を与える。\n<color="#FF7F50">「穿刺ダメージ」</color>：攻撃は_#type_num_4_1_倍の貫通率でダメージを与える。	단일 적에게 공격력의 _#skill_effectperstar_0_0_1_에 해당하는 <color="#FF7F50">「크리티컬 관통 대미지」</color>를 부여한다.\n<color="#FF7F50">「크리티컬 관통 대미지」</color>: 공격 시 관통률의 _#type_num_4_1_배의 대미지를 부여한다.	สร้าง​ดา​เม​จ​ใส่​ศัตรู​หนึ่ง​คน​เป็น​ <color="#FF7F50">[ดาเมจทะลวง]</color>​ _#skill_effectperstar_0_0_1_​ ของ​ ATK\n<color="#FF7F50">[​ดา​เม​จ​ทะลวง​]</color>:​ เมื่อ​โจมตี​ สร้าง​ดา​เม​จ​ _#type_num_4_1_​ เท่า​ ของ​อัตรา​เจาะ​เกราะ​
7310101101	101011	1	1	按_#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_攻击力，对敌方单体造成<color="#FF7F50">「穿刺伤害」</color>\n<color="#FF7F50">「穿刺伤害」</color>：攻击时按_#type_num_4_1_倍穿透率造成伤害	按_#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_攻擊力，對敵方單體造成<color="#FF7F50">「穿刺傷害」</color>\n<color="#FF7F50">「穿刺傷害」</color>：攻擊時按_#type_num_4_1_倍穿透率造成傷害	Deals _#skill_effectperlaststar_0_0_1_<color="#23d4c9"> to </color>_#skill_effectperstar_0_0_1_ ATK as <color="#FF7F50">[Jab DMG]</color> to one enemy.\n<color="#FF7F50">[Jab DMG]</color>: When attacking, deals damage based on _#type_num_4_1_ x Armor PEN.	敵単体に攻撃力_#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_の<color="#FF7F50">「穿刺ダメージ」</color>を与える。\n<color="#FF7F50">「穿刺ダメージ」</color>：攻撃は_#type_num_4_1_倍の貫通率でダメージを与える。	단일 적에게 공격력의 _#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_에 해당하는 <color="#FF7F50">「크리티컬 관통 대미지」</color>를 부여한다.\n<color="#FF7F50">「크리티컬 관통 대미지」</color>: 공격 시 관통률의 _#type_num_4_1_배의 대미지를 부여한다.	สร้าง​ดา​เม​จ​ใส่​ศัตรู​หนึ่ง​คน​เป็น​ <color="#FF7F50">[ดาเมจทะลวง]</color>​ _#skill_effectperlaststar_0_0_1_<color="#23d4c9">​ >​ </color>_#skill_effectperstar_0_0_1_​ ของ​ ATK​ \n<color="#FF7F50">[​ดา​เม​จ​ทะลวง​]</color>:​ เมื่อ​โจมตี​ สร้าง​ดา​เม​จ​ _#type_num_4_1_​ เท่า​ ของ​อัตรา​เจาะ​เกราะ​
7310101103	101011	3	1	按_#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_攻击力，对敌方单体造成<color="#FF7F50">「穿刺伤害」</color>\n<color="#FF7F50">「穿刺伤害」</color>：攻击时按_#type_num_4_1_倍穿透率造成伤害	按_#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_攻擊力，對敵方單體造成<color="#FF7F50">「穿刺傷害」</color>\n<color="#FF7F50">「穿刺傷害」</color>：攻擊時按_#type_num_4_1_倍穿透率造成傷害	Deals _#skill_effectperlaststar_0_0_1_<color="#23d4c9"> to </color>_#skill_effectperstar_0_0_1_ ATK as <color="#FF7F50">[Jab DMG]</color> to one enemy.\n<color="#FF7F50">[Jab DMG]</color>: When attacking, deals damage based on _#type_num_4_1_ x Armor PEN.	敵単体に攻撃力_#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_の<color="#FF7F50">「穿刺ダメージ」</color>を与える。\n<color="#FF7F50">「穿刺ダメージ」</color>：攻撃は_#type_num_4_1_倍の貫通率でダメージを与える。	단일 적에게 공격력의 _#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_에 해당하는 <color="#FF7F50">「크리티컬 관통 대미지」</color>를 부여한다.\n<color="#FF7F50">「크리티컬 관통 대미지」</color>: 공격 시 관통률의 _#type_num_4_1_배의 대미지를 부여한다.	สร้าง​ดา​เม​จ​ใส่​ศัตรู​หนึ่ง​คน​เป็น​ <color="#FF7F50">[ดาเมจทะลวง]</color>​ _#skill_effectperlaststar_0_0_1_<color="#23d4c9">​ >​ </color>_#skill_effectperstar_0_0_1_​ ของ​ ATK​ \n<color="#FF7F50">[​ดา​เม​จ​ทะลวง​]</color>:​ เมื่อ​โจมตี​ สร้าง​ดา​เม​จ​ _#type_num_4_1_​ เท่า​ ของ​อัตรา​เจาะ​เกราะ​
7310101105	101011	5	1	按_#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_攻击力，对敌方单体造成<color="#FF7F50">「穿刺伤害」</color>\n<color="#FF7F50">「穿刺伤害」</color>：攻击时按_#type_num_4_1_倍穿透率造成伤害	按_#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_攻擊力，對敵方單體造成<color="#FF7F50">「穿刺傷害」</color>\n<color="#FF7F50">「穿刺傷害」</color>：攻擊時按_#type_num_4_1_倍穿透率造成傷害	Deals _#skill_effectperlaststar_0_0_1_<color="#23d4c9"> to </color>_#skill_effectperstar_0_0_1_ ATK as <color="#FF7F50">[Jab DMG]</color> to one enemy.\n<color="#FF7F50">[Jab DMG]</color>: When attacking, deals damage based on _#type_num_4_1_ x Armor PEN.	敵単体に攻撃力_#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_の<color="#FF7F50">「穿刺ダメージ」</color>を与える。\n<color="#FF7F50">「穿刺ダメージ」</color>：攻撃は_#type_num_4_1_倍の貫通率でダメージを与える。	단일 적에게 공격력의 _#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_에 해당하는 <color="#FF7F50">「크리티컬 관통 대미지」</color>를 부여한다.\n<color="#FF7F50">「크리티컬 관통 대미지」</color>: 공격 시 관통률의 _#type_num_4_1_배의 대미지를 부여한다.	สร้าง​ดา​เม​จ​ใส่​ศัตรู​หนึ่ง​คน​เป็น​ <color="#FF7F50">[ดาเมจทะลวง]</color>​ _#skill_effectperlaststar_0_0_1_<color="#23d4c9">​ >​ </color>_#skill_effectperstar_0_0_1_​ ของ​ ATK​ \n<color="#FF7F50">[​ดา​เม​จ​ทะลวง​]</color>:​ เมื่อ​โจมตี​ สร้าง​ดา​เม​จ​ _#type_num_4_1_​ เท่า​ ของ​อัตรา​เจาะ​เกราะ​
7310100500	101005	0	1	按_#skill_effectperstar_0_0_1_攻击力，对敌方单体造成伤害，并对目标施加_#stacktime_num_0_3_层<color="#FF7F50">「易伤」</color>_#round_num_0_3_0_回合\n<color="#FF7F50">「易伤」</color>：提升目标10%受到伤害（可叠加，最高10层）	按_#skill_effectperstar_0_0_1_攻擊力，對敵方單體造成傷害，並對目標施加_#stacktime_num_0_3_層<color="#FF7F50">「易傷」</color>_#round_num_0_3_0_回合\n<color="#FF7F50">「易傷」</color>：提升目標10%受到傷害（可疊加，最高10層）	Deals _#skill_effectperstar_0_0_1_ ATK as damage to one enemy and applies _#stacktime_num_0_3_ stacks of <color="#FF7F50">[Vulnerability]</color> for _#round_num_0_3_0_ turn(s).\n<color="#FF7F50">[Vulnerability]</color>: Increases the target's damage received by 10% (stacks up to 10 times).	敵単体に攻撃力_#skill_effectperstar_0_0_1_のダメージを与え、対象に_#round_num_0_3_0_ターン持続する<color="#FF7F50">「被ダメージ増加」</color>を_#stacktime_num_0_3_スタック付与する。\n<color="#FF7F50">「被ダメージ増加」</color>：対象に与えるダメージが10%増加する（最大10スタックまで）。	단일 적에게 공격력의 _#skill_effectperstar_0_0_1_에 해당하는 대미지를 주고, _#round_num_0_3_0_ 턴 동안 _#stacktime_num_0_3_스택의 <color="#FF7F50">「취약」</color> 효과를 부여한다.\n<color="#FF7F50">「취약」</color>: 목표에게 적용되는 대미지가 10 % 증가된다.(중첩, 최대 10스택 중첩 가능)	สร้าง​ดา​เม​จ​ใส่​ศัตรู​หนึ่ง​คน​ _#skill_effectperstar_0_0_1_​ ของ​ ATK​ และ​ติด​เอฟเฟกต์​ <color="#FF7F50">[เปราะบาง]</color>​ _#stacktime_num_0_3_​ ชั้น​ เป็นเวลา​ _#round_num_0_3_0_​ เทิร์น​\n<color="#FF7F50">[​เปราะบาง​]</color>:​ เพิ่ม​ดา​เม​จ​ที่​ได้รับ​ 10%​ ให้​กับ​เป้าหมาย​ (​ซ้อนทับ​ได้​สูงสุด​ 10​ ชั้น​)​
7310100501	101005	1	1	按_#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_攻击力，对敌方单体造成伤害，并对目标施加_#stacktime_num_0_3_层<color="#FF7F50">「易伤」</color>_#round_num_0_3_0_回合\n<color="#FF7F50">「易伤」</color>：提升目标10%受到伤害（可叠加，最高10层）	按_#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_攻擊力，對敵方單體造成傷害，並對目標施加_#stacktime_num_0_3_層<color="#FF7F50">「易傷」</color>_#round_num_0_3_0_回合\n<color="#FF7F50">「易傷」</color>：提升目標10%受到傷害（可疊加，最高10層）	Deals _#skill_effectperlaststar_0_0_1_<color="#23d4c9"> to </color>_#skill_effectperstar_0_0_1_ ATK as damage to one enemy and applies _#stacktime_num_0_3_ stacks of <color="#FF7F50">[Vulnerability]</color> for _#round_num_0_3_0_ turn(s).\n<color="#FF7F50">[Vulnerability]</color>: Increases the target's damage received by 10% (stacks up to 10 times).	敵単体に攻撃力_#skill_effectperlaststar_0_0_1_<color="#23d4c9"> > </color>_#skill_effectperstar_0_0_1_のダメージを与え、対象に_#round_num_0_3_0_ターン持続する<color="#FF7F50">「被ダメージ増加」</color>を_#stacktime_num_0_3_スタック付与する。\n<color="#FF7F50">「被ダメージ増加」</color>：対象に与えるダメージが10%増加する（最大10スタックまで）。	단일 적에게 공격력의 _#skill_effectperlaststar_0_0_1_<color="#23d4c9">~</color>_#skill_effectperstar_0_0_1_에 해당하는 대미지를 부여하고, _#round_num_0_3_0_턴 동안  _#stacktime_num_0_3_스택의 <color="#FF7F50">「취약」</color> 효과를 부여한다.\n<color="#FF7F50">「취약」</color>: 목표에게 적용되는 대미지가 10 % 증가된다.(중첩, 최대 10스택 중첩 가능)	สร้าง​ดา​เม​จ​ใส่​ศัตรู​หนึ่ง​คน​ _#skill_effectperlaststar_0_0_1_<color="#23d4c9">​ >​ </color>_#skill_effectperstar_0_0_1_​ ของ​ ATK​ และ​ติด​เอฟเฟกต์​ <color="#FF7F50">[เปราะบาง]</color>​ _#stacktime_num_0_3_​ ชั้น​ เป็นเวลา​ _#round_num_0_3_0_​ เทิร์น​\n<color="#FF7F50">[​เปราะบาง​]</color>:​ เพิ่ม​ดา​เม​จ​ที่​ได้รับ​ 10%​ ให้​กับ​เป้าหมาย​ (​ซ้อนทับ​ได้​สูงสุด​ 10​ ชั้น​)​
