id	damageType	damageTags	damageRatioParams	desc	msgType	status
int	int	int	int	int	int	int
1	1			基础伤害：系数=1	1	1
2	2			真实伤害：跳过防御力计算	1	1
3	3			穿透伤害：跳过忍耐计算	1	1
4	1	6	2	穿刺伤害：攻击时穿透率提升至 NUM1 倍	1	1
5	1	7	2	破碎伤害：攻击时暴击伤害提升至 NUM1 倍	1	1
6	1	8	2	暴烈伤害：攻击时暴击率提升至 NUM1 倍	1	1
7	1	1	3.5	护盾伤害：对护盾造成 NUM1 倍伤害	3	1
8	1	9		处决伤害：无视锁血	5	1
9	1		2	破裂伤害：如果目标身上有增益效果，系数= NUM1 	1	1
10	1		2.5	破灭伤害：如果目标身上有减益效果，系数= NUM1 	1	1
11	1		0.3	弱点伤害：系数=1+（target_debuffNum）* NUM1 	1	1
12	1		0.2	增幅伤害：系数=1+（target_buffNum）* NUM1 	1	1
13	1		0.7;2	破势伤害：目标生命值大于 (NUM1 * 100%)，系数= NUM2	1	1
14	1		0.3;2	心眼伤害：目标生命值低于 (NUM1 * 100%)，系数= NUM2	1	1
15	1		1;3	粉碎伤害：系数=1+（target_maxHp/self_maxHp-1）* NUM1 ，最多造成 NUM2 倍	1	1
16	1		1.3	裁决伤害：系数=1+（target_lostHp/target_maxHp）* NUM1 	1	1
17	1		1	愤怒伤害：系数=1+（self_lostHp/self_maxHp）* NUM1 	1	1
18	1		0.8	强击伤害：系数=1+（nowHp/maxhp）* NUM1 	1	1
19	1		0.2	能量伤害：系数=1+（target_nowSpNum）* NUM1 	1	1
20	1		0.2	秘技伤害：系数=1+（牌库中自己卡牌的数量* NUM1 ）	1	1
21	4	3;4;5		间接伤害：直接扣除目标对应血量	4	1
22	5	3;4;5		纯粹伤害：直接扣除目标对应血量	4	1
23	1		0.15	蓄势伤害：系数=1+（nowSpNum）* NUM1 	1	1
24	1			叠层追伤（目前红茶专用：系数=1+指定Num1buff层数*Num2，至多计算Num3层，三个系数取伤害公式最后三个参数	1	1
25	1		1	湮灭伤害：系数=1+（target_nowHp/target_maxHp）* NUM1 	1	1
26	2	6;4	2.7	反击伤害：（辞青专用）	1	1
27	1	10	0.15	蓄势伤害：系数=1+（nowSpNum）* NUM1 	5	1
28	1		0.15	秘技伤害：系数=1+（牌库中2星以上非sp牌数量*0.15	1	1
