id	resourcesId	levelType	remark	instantiationNum	effectTime	effectType	bonesName	ifScale	ifHitAin	ifTransform	materialAnimState	ifFollow	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	fx_common_hit_01	0	拳头受击	6	5	1	0	0	0	0		1	1
2	fx_common_shanghaizengfu_buff	0	伤害增幅buff	6	9999	1	0	0	0	0		1	1
3	fx_common_hit_03	0	钝器受击	6	5	1	0	0	0	0		1	1
4	fx_common_hit_04	0	突刺受击	6	5	1	0	0	0	0		1	1
5	fx_common_hit_05	0	大爆炸受击	6	5	1	0	0	0	0		1	1
6	fx_common_hit_06	0	连续小爆炸受击	6	5	1	0	0	0	0		1	1
7	fx_common_hit_07	0	远程箭受击	6	5	1	0	0	0	0		1	1
8	fx_common_hit_08	0	远程炮弹受击	6	5	1	0	0	0	0		1	1
9	fx_common_yao	0	怪物攻击啃咬	6	5	1	0	0	0	0		1	1
10	fx_common_zhua	0	怪物攻击爪子	6	5	1	0	0	0	0		1	1
11	fx_common_fly_01	0	飞行子弹	6	5	1	0	0	0	0		1	1
12	fx_monster_enter	0	小怪出场特效	6	5	1	0	0	0	0		1	1
13	boom	0	测试用爆炸特效	6	1.3	1	0	0	0	0		1	1
14	ui_4_kapai_use_tishi	0	人物技能选中特效	6	1.5	1	0	0	0	0		1	1
15	ui_8_spka_renwutishitexiao	0	大招可以使用的时候出现	6	999	1	0	0	0	0		1	1
16	fx_common_death	0	人物死亡	6	3	1	0	0	0	0		1	1
17	fx_common_death_2	0	0	6	1.5	1	0	0	0	0		1	1
18	fx_cell_remax	0	暴怒触发	6	2	1	0	0	0	0		1	1
19	fx_cell_remax_buff	0	暴怒状态	6	999	1	0	0	0	0		1	1
402	fx_cell_remax	0	临时特效	6	3	1	0	0	0	0		1	1
501	fx_cell_max_start	0	进入解体状态	6	2.15	1	0	0	0	0		1	1
502	fx_cell_down_debuff_small	0	持续解体小体型	6	999	1	0	0	0	0		1	1
503	fx_cell_down_debuff	0	持续解体大体型	6	999	1	0	0	0	0		1	1
