RoleId,,Level,Condition,ConditionDes,LevelType,,,Attr,AttrRefixId,AttrRefixType,,Group,Des,CostItem,LevelName,LevelIcon,,TypeName,TypeIcon,SkillChoose
3000001,律,1,,,1,韧形,待机解锁,"101,117;102,13;103,7;104,55",,4,待命时，跳过行动回合，行动时间减少50%，下次攻击时提升5弱破效果，不可叠加，造成1次常规伤害后消失,0,Level_Des_3000001_1_1,"1006223,2",LevelName_3000001_1,3900001_zy_jn_dj_icon,韧形,Level_TypeName_3000001_1,tianfu_3900001_big_1,
3000001,律,2,,,1,,弱点精通Ⅰ,"101,117;102,13;103,7;104,56","3100002,1",5,弱破效果提升2%,0,,"1006223,4",LevelName_3000001_2,3900001_zy_jn_bd_icon,,,tianfu_3900001_big_1,
3000001,律,3,,,1,,属性强化Ⅰ,"101,117;102,13;103,8;104,56",,,,0,,"1006223,6",LevelName_3000001_3,3900001_zy_jn_sx_icon,,,tianfu_3900001_big_1,
3000001,律,4,,,1,,属性强化Ⅱ,"101,117;102,13;103,7;104,55",,,,0,,"1006223,8",LevelName_3000001_4,3900001_zy_jn_sx_icon,,,tianfu_3900001_big_1,
3000001,律,5,,,1,,弱点特效Ⅰ,"101,117;102,13;103,7;104,56","3100003,1",5,穿透率提升1.6%,0,,"1006223,8",LevelName_3000001_5,3900001_zy_jn_bd_icon,,,tianfu_3900001_big_1,
3000001,律,6,,,1,,属性强化Ⅲ,"101,117;102,13;103,8;104,56",,,,0,,"1006223,12",LevelName_3000001_6,3900001_zy_jn_sx_icon,,,tianfu_3900001_big_1,
3000001,律,7,,,1,,奥义解锁,"101,117;102,13;103,7;104,55","3100004,1",4,解锁魔女奥义，在战斗中进行三层灵魂解放即可释放强大的奥义技能,0,Level_Des_3000001_1_7,"1006223,12",LevelName_3000001_7,3900001_zy_jn_ay_icon,,,tianfu_3900001_big_1,
3000001,律,8,,,1,,属性强化Ⅳ,"101,117;102,13;103,7;104,56",,,,0,,"1006223,16",LevelName_3000001_8,3900001_zy_jn_sx_icon,,,tianfu_3900001_big_1,
3000001,律,9,,,1,,连携技解锁,"101,117;102,13;103,8;104,56","3100062,1",5,,0,,"1006223,16",LevelName_3000001_9,3900001_zy_jn_qte_icon,,,tianfu_3900001_big_1,
3000001,律,10,,,1,,第三栏位解锁,"101,117;102,13;103,7;104,55","3100005,1",4,解锁魔女的第三星痕栏位,0,Level_Des_3000001_1_10,"1006223,20",LevelName_3000001_10,3900001_zy_jn_xh_icon,,,tianfu_3900001_big_1,
3000001,律,11,,,1,,普攻强化Ⅰ,"101,117;102,13;103,7;104,56","3100006,1",1,普通攻击等级+1,0,Level_Des_3000001_1_11,"1006223,20",LevelName_3000001_11,3900001_zy_jn_pg_icon,,,tianfu_3900001_big_1,
3000001,律,12,,,1,,属性强化Ⅴ,"101,117;102,13;103,8;104,56",,,,0,,"1006223,24",LevelName_3000001_12,3900001_zy_jn_sx_icon,,,tianfu_3900001_big_1,
3000001,律,13,,,1,,连携技强化Ⅰ,"101,117;102,13;103,7;104,55",,,连携技等级+1,0,,"1006223,24",LevelName_3000001_13,3900001_zy_jn_qte_icon,,,tianfu_3900001_big_1,
3000001,律,14,,,1,,属性强化Ⅵ,"101,117;102,13;103,7;104,56",,,,0,,"1006223,28",LevelName_3000001_14,3900001_zy_jn_sx_icon,,,tianfu_3900001_big_1,
3000001,律,15,,,1,,奥义强化Ⅰ,"101,117;102,13;103,8;104,56","3100007,1",1,奥义等级+1,0,Level_Des_3000001_1_15,"1006223,28",LevelName_3000001_15,3900001_zy_jn_ay_icon,,,tianfu_3900001_big_1,
3000001,律,16,,,1,,属性强化Ⅶ,"101,117;102,13;103,7;104,55",,,,0,,"1006223,32",LevelName_3000001_16,3900001_zy_jn_sx_icon,,,tianfu_3900001_big_1,
3000001,律,17,,,1,,属性强化Ⅷ,"101,117;102,13;103,7;104,56",,,,0,,"1006223,32",LevelName_3000001_17,3900001_zy_jn_sx_icon,,,tianfu_3900001_big_1,
3000001,律,18,,,1,,属性强化Ⅸ,"101,117;102,13;103,8;104,56",,,,0,,"1006223,34",LevelName_3000001_18,3900001_zy_jn_sx_icon,,,tianfu_3900001_big_1,
3000001,律,19,,,1,,属性强化Ⅹ,"101,117;102,13;103,7;104,55",,,,0,,"1006223,34",LevelName_3000001_19,3900001_zy_jn_sx_icon,,,tianfu_3900001_big_1,
3000001,律,20,,,1,,君王Ⅰ,"101,117;102,13;103,7;104,56","3100008,1",3,每携带1位君王，攻击时降低目标弱点防御0.5%，持续1回合,10001,,"1006223,38",LevelName_3000001_20,3900001_zy_jn_zj_icon,,,tianfu_3900001_big_1,"31000201,31000202"
3000001,律,21,"16000,20",Level_ConditionDes_3000001_2,2,怒目,仆从Ⅰ,"101,117;102,13;103,8;104,56","3100009,1",3,每携带1位仆从，自身弱破效果提升0.5%,10002,,"1006223,42",LevelName_3000001_21,3900001_zy_jn_zj_icon,怒目,Level_TypeName_3000001_2,tianfu_3900001_big_2,
3000001,律,22,"16000,20",,2,,属性强化Ⅰ,"101,117;102,13;103,7;104,55",,,,0,,"1006223,46",LevelName_3000001_22,3900001_zy_jn_sx_icon,,,tianfu_3900001_big_2,
3000001,律,23,"16000,20",,2,,神子Ⅰ,"101,117;102,13;103,7;104,56","3100010,1",3,每携带1位神子，自身穿透效果提升0.5%,10003,,"1006223,50",LevelName_3000001_23,3900001_zy_jn_zj_icon,,,tianfu_3900001_big_2,
3000001,律,24,"16000,20",,2,,属性强化Ⅱ,"101,117;102,13;103,8;104,56",,,,0,,"1006223,54",LevelName_3000001_24,3900001_zy_jn_sx_icon,,,tianfu_3900001_big_2,
3000001,律,25,"16000,20",,2,,普攻强化Ⅱ,"101,117;102,13;103,7;104,55","3100011,1",1,普通攻击等级+1,0,Level_Des_3000001_2_25,"1006223,58",LevelName_3000001_25,3900001_zy_jn_pg_icon,,,tianfu_3900001_big_2,
3000001,律,26,"16000,20",,2,,属性强化Ⅲ,"101,117;102,13;103,7;104,56","3100062,1",5,,0,,"1006223,62",LevelName_3000001_26,3900001_zy_jn_sx_icon,,,tianfu_3900001_big_2,
3000001,律,27,"16000,20",,2,,连携技强化Ⅱ,"101,117;102,13;103,8;104,56",,,连携技等级+1,0,,"1006223,66",LevelName_3000001_27,3900001_zy_jn_qte_icon,,,tianfu_3900001_big_2,
