Id,,ShopId,,PackGroup,Order,Name,Recommend,RecommendDesc,Poster,Rank,Type,Label,LabelDesc,,SpecialGiftLabel,LockFront,UnLockFront,Front,UnlockConditions,UnlockText,ItemId,Price,ShowPrice,IosProductId,AndoridProductId,IosProductId_CR,AndoridProductId_CR,IosProductId_APJXF,AndoridProductId_APJXF,IosProductId_JP,AndoridProductId_JP,WebProductId,BuyCounts,RandValue,Active,AutoFresh,Rate,RateValue,Voucher,Pic,Desc,Coordinate,DataTracking,Setting,Refund,PremiumPoints
30101,安普莎〔猩红之种〕,301,热卖装扮,,1,,,,,,10,"ui_sd_pf_icon_5,75005e,ui_sd_pf_icon_3,005463","ui_shop_16,ui_shop_17",,0,,,,,,"301402501,1;501402501,1;5003031,1",980,,,,,,,,,,,1,0,1,,1000,100,,head_301402501_2,,"67,-9",,1,,0
30302,裂痕（动态插画）,303,珍藏插画,,12,,,,,,10,0,0,,0,,,,,,"101302,1",70,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0
30303,我惟向你（动态插画）,303,珍藏插画,,11,,,,,,10,0,0,,0,,,,,,"101303,1",70,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0
30305,长恨此身（动态插画）,303,珍藏插画,,9,,,,,,10,0,0,,0,,,,,,"101305,1",70,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0
30307,恋如雨来（动态插画）,303,珍藏插画,,7,,,,,,10,0,0,,0,,,,,,"101307,1",70,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0
30309,梦回还（动态插画）,303,珍藏插画,,5,,,,,,10,0,0,,0,,,,,,"101309,1",70,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0
30310,净化之前（动态插画）,303,珍藏插画,,4,,,,,,10,0,0,,0,,,,,,"101310,1",70,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0
30312,坠星（动态插画）,303,珍藏插画,,2,,,,,,10,0,0,,0,,,,,,"101312,1",70,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0
30401,英雄诞生（插画）,304,精品插画,,30,,,,,,10,0,0,,0,,,,,,"1018001,1",1200,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0
30405,所爱之人（插画）,304,精品插画,,26,,,,,,10,0,0,,0,,,,,,"1018005,1",1200,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0
30406,恍惚（插画）,304,精品插画,,25,,,,,,10,0,0,,0,,,,,,"1018006,1",1200,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0
30407,雨中（插画）,304,精品插画,,24,,,,,,10,0,0,,0,,,,,,"1018007,1",1200,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0
30411,罪恶感（插画）,304,精品插画,,20,,,,,,10,0,0,,0,,,,,,"1018011,1",1200,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0
30412,以弱凌强（插画）,304,精品插画,,19,,,,,,10,0,0,,0,,,,,,"1018012,1",1200,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0
30415,夜话相知（插画）,304,精品插画,,16,,,,,,10,0,0,,0,,,,,,"1018015,1",1200,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0
30417,战斗节奏（插画）,304,精品插画,,14,,,,,,10,0,0,,0,,,,,,"1018017,1",1200,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0
30420,守护的诺言（插画）,304,精品插画,,11,,,,,,10,0,0,,0,,,,,,"1018020,1",1200,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0
30421,冒失的侍者（插画）,304,精品插画,,10,,,,,,10,0,0,,0,,,,,,"1018021,1",1200,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0
30422,迟来的利刃（插画）,304,精品插画,,9,,,,,,10,0,0,,0,,,,,,"1018022,1",1200,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0
30423,星魂辉光（插画）,304,精品插画,,8,,,,,,10,0,0,,0,,,,,,"1018023,1",1200,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0
30424,如梦非梦（插画）,304,精品插画,,7,,,,,,10,0,0,,0,,,,,,"1018024,1",1200,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0
30425,懵懂初醒（插画）,304,精品插画,,6,,,,,,10,0,0,,0,,,,,,"1018025,1",1200,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0
30426,刺杀（插画）,304,精品插画,,5,,,,,,10,0,0,,0,,,,,,"1018026,1",1200,,,,,,,,,,,1,0,1,,1000,100,,,,,,1,,0
40101,星痕经验小,401,基础商店,,25,,,,,,10,0,ui_shop_20,星痕升级,,,,,,,"1006505,3",1500,,,,,,,,,,,1,200,1,,"1000,850,700,600,500","60,10,10,10,10",,,,,,1,,0
40102,星痕经验中,401,基础商店,,24,,,,,,10,0,ui_shop_20,星痕升级,,,,,,,"1006506,2",3500,,,,,,,,,,,1,100,1,,"1000,850,700,600,500","60,10,10,10,10",,,,,,1,,0
40103,星痕经验大,401,基础商店,,23,,,,,,10,0,ui_shop_20,星痕升级,,,,,,,"1006507,1",5000,,,,,,,,,,,1,50,1,,"1000,850,700,600,500","60,10,10,10,10",,,,,,1,,0
40104,好感度道具低1,401,基础商店,,22,,,,,,10,0,ui_shop_21,星痕好感,,,,,,,"1006601,1",2000,,,,,,,,,,,1,150,1,,"1000,850,700,600,500","60,10,10,10,10",,,,,,1,,0
40105,好感度道具低2,401,基础商店,,21,,,,,,10,0,ui_shop_21,星痕好感,,,,,,,"1006604,1",4000,,,,,,,,,,,1,150,1,,"1000,850,700,600,500","60,10,10,10,10",,,,,,1,,0
40106,好感度道具低3,401,基础商店,,20,,,,,,10,0,ui_shop_21,星痕好感,,,,,,,"1006602,1",2000,,,,,,,,,,,1,150,1,,"1000,850,700,600,500","60,10,10,10,10",,,,,,1,,0
40107,好感度道具中1,401,基础商店,,19,,,,,,10,0,ui_shop_21,星痕好感,,,,,,,"1006605,1",4000,,,,,,,,,,,1,150,1,,"1000,850,700,600,500","60,10,10,10,10",,,,,,1,,0
