id	stageId	propId	propNum	unlockType	unlockId	freeRewardId	freeRewardNum	ChargeRewardId	ChargeRewardNum	status
int	int	int	int	int	int	int	int	int	int	int
1	51007	3000001	680	4	101080	3000002	50	3000002	1360	1
2	51007	3000001	680	4	101190	3000002	50	3000002	1360	1
3	51007	3000001	680	4	102140	3000002	50	3000002	1360	1
4	51007	3000001	680	4	102270	3000002	50	3000002	1360	1
5	51007	3000001	680	4	103260	3000002	50	3000002	1360	1
6	51008	3000001	680	4	104180	3000002	50	3000002	1360	1
7	51008	3000001	680	4	105140	3000002	50	3000002	1360	1
8	51008	3000001	680	4	106060	3000002	50	3000002	1360	1
9	51008	3000001	680	4	106251	3000002	50	3000002	1360	1
10	51008	3000001	680	4	107160	3000002	50	3000002	1360	1
11	51009	3000001	680	4	108050	3000002	50	3000002	1360	1
12	51009	3000001	680	4	108251	3000002	50	3000002	1360	1
13	51009	3000001	680	4	109170	3000002	50	3000002	1360	1
14	51009	3000001	680	4	110100	3000002	50	3000002	1360	1
15	51009	3000001	680	4	110251	3000002	50	3000002	1360	1
