id	freeRewardId	freeRewardNum	ChargeRewardId	ChargeRewardNum	PlayerLv	status
int	int	int	int	int	int	int
1	300004	30	300002	340	5	1
2	300003	30000	300002	340	10	1
3	419001	500	300002	410	15	1
4	412001;300003	50;20000	300002	410	20	1
5	413001;300003	50;25000	300002	480	25	1
6	419002;300003	1000;30000	300002	480	30	1
7	510001;300003	5;35000	300002	550	35	1
8	419001;300003	1000;40000	300002	550	40	1
9	412001;300003	80;45000	300002	620	45	1
10	413001;300003	80;50000	300002	620	50	1
11	419002;300003	2000;60000	300002	680	55	1
12	510001;300003	10;70000	300002	680	60	1
13	419001;300003	1500;80000	300002	820	65	1
14	412001;300003	120;90000	300002	820	70	1
15	413001;300003	120;100000	300002	960	75	1
16	419002;300003	4000;120000	300002	960	80	1
17	510001;300003	15;140000	300002	960	85	1
18	419001;300003	2000;160000	300002	960	90	1
19	419002;300003	8000;180000	300002	1020	95	1
20	419001;300003	3000;200000	300002	1020	100	1
