id	sceneId	subPrefab	ruleID	teamId	teamWeight	singleProp	singleConsume	tenProp	tenConsume	skinMustTimes	skinGetGroup	homeIcon	skinIcon	bgIcon	moduleIds	consumeId	status	switch	ptrSwitch	twSwitch	krSwitch	jpSwitch	steamSwitch	zmSwitch	cnSwitch	seaSwitch	des	des_zh_TW	des_en_UK	des_ja_JP	des_ko_KR	des_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1		GachaponSkinBlendRole_1	11164	2101;1001	270;8640	4140001	1	4140001	10	10	2101		161:skin_draw_tab_3	195:skin_draw_blend_christmas	13900802;10800604;11900802	4140001	1	1	0	0	0	1	1	0	0	0	再召唤<color=#ff1ea9>_num_</color>次必得皮肤	再召喚<color=#ff1ea9>_num_</color>次必得皮膚	Make <color=#ff1ea9>_num_</color> more summon(s) guarantees an outfit.	あと<color=#ff1ea9>_num_</color>回召喚すると必ず外観が当たる	<color=#ff1ea9>_num_</color>회를 더 소환 시 반드시 스킨을 획득합니다	คัดสรรอีก <color=#ff1ea9>_num_</color> ครั้ง จะการันตีรับคอสตูม
2		GachaponSkinBlendRole_2	11164	2102;1002	270;8640	4140001	1	4140001	10	10	2102		161:skin_draw_tab_3	195:skin_draw_blend_christmas	10800604;11900802	4140001	1	1	1	1	0	0	0	0	0	0	再召唤<color=#ff1ea9>_num_</color>次必得皮肤	再召喚<color=#ff1ea9>_num_</color>次必得皮膚	Make <color=#ff1ea9>_num_</color> more summon(s) guarantees an outfit.	あと<color=#ff1ea9>_num_</color>回召喚すると必ず外観が当たる	<color=#ff1ea9>_num_</color>회를 더 소환 시 반드시 스킨을 획득합니다	คัดสรรอีก <color=#ff1ea9>_num_</color> ครั้ง จะการันตีรับคอสตูม
3		GachaponSkinBlendRole_2	11164	2103;1002	260;8640	4140001	1	4140001	10	10	2103		161:skin_draw_tab_3	195:skin_draw_blend_christmas	10800604;11900802	4140001	1	1	0	0	1	0	0	0	0	0	再召唤<color=#ff1ea9>_num_</color>次必得皮肤	再召喚<color=#ff1ea9>_num_</color>次必得皮膚	Make <color=#ff1ea9>_num_</color> more summon(s) guarantees an outfit.	あと<color=#ff1ea9>_num_</color>回召喚すると必ず外観が当たる	<color=#ff1ea9>_num_</color>회를 더 소환 시 반드시 스킨을 획득합니다	คัดสรรอีก <color=#ff1ea9>_num_</color> ครั้ง จะการันตีรับคอสตูม
4		GachaponSkinBlendRole_1	11164	2104;1002	270;8640	4140001	1	4140001	10	10	2104		161:skin_draw_tab_3	195:skin_draw_blend_christmas	13900802;10800604;11900802	4140001	1	1	0	0	0	0	0	0	1	0	再召唤<color=#ff1ea9>_num_</color>次必得皮肤	再召喚<color=#ff1ea9>_num_</color>次必得皮膚	Make <color=#ff1ea9>_num_</color> more summon(s) guarantees an outfit.	あと<color=#ff1ea9>_num_</color>回召喚すると必ず外観が当たる	<color=#ff1ea9>_num_</color>회를 더 소환 시 반드시 스킨을 획득합니다	คัดสรรอีก <color=#ff1ea9>_num_</color> ครั้ง จะการันตีรับคอสตูม
5		GachaponSkinBlendRole_2	11164	2105;1002	270;8640	4140001	1	4140001	10	10	2105		161:skin_draw_tab_3	195:skin_draw_blend_christmas	10800604;11900802	4140001	1	1	0	0	0	0	0	1	0	0	再召唤<color=#ff1ea9>_num_</color>次必得皮肤	再召喚<color=#ff1ea9>_num_</color>次必得皮膚	Make <color=#ff1ea9>_num_</color> more summon(s) guarantees an outfit.	あと<color=#ff1ea9>_num_</color>回召喚すると必ず外観が当たる	<color=#ff1ea9>_num_</color>회를 더 소환 시 반드시 스킨을 획득합니다	คัดสรรอีก <color=#ff1ea9>_num_</color> ครั้ง จะการันตีรับคอสตูม
6		GachaponSkinBlendRole_4	11164	2106;1003	270;9000	4140001	1	4140001	10	10	2106		161:skin_draw_tab_3	195:skin_draw_blend_bg_valentine	10101304;13100102;12800802	4140001	1	1	1	1	0	0	0	0	0	0	再召唤<color=#ff1ea9>_num_</color>次必得皮肤	再召喚<color=#ff1ea9>_num_</color>次必得皮膚	Make <color=#ff1ea9>_num_</color> more summon(s) guarantees an outfit.	あと<color=#ff1ea9>_num_</color>回召喚すると必ず外観が当たる	<color=#ff1ea9>_num_</color>회를 더 소환 시 반드시 스킨을 획득합니다	คัดสรรอีก <color=#ff1ea9>_num_</color> ครั้ง จะการันตีรับคอสตูม
7		GachaponSkinBlendRole_4	11164	2107;1003	270;9000	4140001	1	4140001	10	10	2107		161:skin_draw_tab_3	195:skin_draw_blend_bg_valentine	10101304;13100102;12800802	4140001	1	1	0	0	1	0	0	0	0	0	再召唤<color=#ff1ea9>_num_</color>次必得皮肤	再召喚<color=#ff1ea9>_num_</color>次必得皮膚	Make <color=#ff1ea9>_num_</color> more summon(s) guarantees an outfit.	あと<color=#ff1ea9>_num_</color>回召喚すると必ず外観が当たる	<color=#ff1ea9>_num_</color>회를 더 소환 시 반드시 스킨을 획득합니다	คัดสรรอีก <color=#ff1ea9>_num_</color> ครั้ง จะการันตีรับคอสตูม
8		GachaponSkinBlendRole_4	11164	2108;1003	270;9000	4140001	1	4140001	10	10	2108		161:skin_draw_tab_3	195:skin_draw_blend_bg_valentine	10101304;13100102;12800802	4140001	1	1	0	0	0	1	1	0	0	0	再召唤<color=#ff1ea9>_num_</color>次必得皮肤	再召喚<color=#ff1ea9>_num_</color>次必得皮膚	Make <color=#ff1ea9>_num_</color> more summon(s) guarantees an outfit.	あと<color=#ff1ea9>_num_</color>回召喚すると必ず外観が当たる	<color=#ff1ea9>_num_</color>회를 더 소환 시 반드시 스킨을 획득합니다	คัดสรรอีก <color=#ff1ea9>_num_</color> ครั้ง จะการันตีรับคอสตูม
9		GachaponSkinBlendRole_4	11164	2109;1003	270;9000	4140001	1	4140001	10	10	2109		161:skin_draw_tab_3	195:skin_draw_blend_bg_valentine	10101304;13100102;12800802	4140001	1	1	0	0	0	0	0	0	1	0	再召唤<color=#ff1ea9>_num_</color>次必得皮肤	再召喚<color=#ff1ea9>_num_</color>次必得皮膚	Make <color=#ff1ea9>_num_</color> more summon(s) guarantees an outfit.	あと<color=#ff1ea9>_num_</color>回召喚すると必ず外観が当たる	<color=#ff1ea9>_num_</color>회를 더 소환 시 반드시 스킨을 획득합니다	คัดสรรอีก <color=#ff1ea9>_num_</color> ครั้ง จะการันตีรับคอสตูม
10		GachaponSkinBlendRole_4	11164	2110;1003	270;9000	4140001	1	4140001	10	10	2110		161:skin_draw_tab_3	195:skin_draw_blend_bg_valentine	10101304;13100102;12800802	4140001	1	1	0	0	0	0	0	1	0	0	再召唤<color=#ff1ea9>_num_</color>次必得皮肤	再召喚<color=#ff1ea9>_num_</color>次必得皮膚	Make <color=#ff1ea9>_num_</color> more summon(s) guarantees an outfit.	あと<color=#ff1ea9>_num_</color>回召喚すると必ず外観が当たる	<color=#ff1ea9>_num_</color>회를 더 소환 시 반드시 스킨을 획득합니다	คัดสรรอีก <color=#ff1ea9>_num_</color> ครั้ง จะการันตีรับคอสตูม
11		GachaponSkinBlendRole_5	11164	2111;1003	270;9000	4140001	1	4140001	10	10	2111		161:skin_draw_tab_3	195:skin_draw_blend_bg_bunnygirl	10202103;14300802	4140001	1	1	1	1	0	0	0	0	0	0	再召唤<color=#ff1ea9>_num_</color>次必得皮肤	再召喚<color=#ff1ea9>_num_</color>次必得皮膚	Make <color=#ff1ea9>_num_</color> more summon(s) guarantees an outfit.	あと<color=#ff1ea9>_num_</color>回召喚すると必ず外観が当たる	<color=#ff1ea9>_num_</color>회를 더 소환 시 반드시 스킨을 획득합니다	คัดสรรอีก <color=#ff1ea9>_num_</color> ครั้ง จะการันตีรับคอสตูม
12		GachaponSkinBlendRole_5	11164	2112;1003	270;9000	4140001	1	4140001	10	10	2112		161:skin_draw_tab_3	195:skin_draw_blend_bg_bunnygirl	10202103;14300802	4140001	1	1	0	0	1	0	0	0	0	0	再召唤<color=#ff1ea9>_num_</color>次必得皮肤	再召喚<color=#ff1ea9>_num_</color>次必得皮膚	Make <color=#ff1ea9>_num_</color> more summon(s) guarantees an outfit.	あと<color=#ff1ea9>_num_</color>回召喚すると必ず外観が当たる	<color=#ff1ea9>_num_</color>회를 더 소환 시 반드시 스킨을 획득합니다	คัดสรรอีก <color=#ff1ea9>_num_</color> ครั้ง จะการันตีรับคอสตูม
13		GachaponSkinBlendRole_5	11164	2113;1003	270;9000	4140001	1	4140001	10	10	2113		161:skin_draw_tab_3	195:skin_draw_blend_bg_bunnygirl	10202103;14300802	4140001	1	1	0	0	0	1	1	0	0	0	再召唤<color=#ff1ea9>_num_</color>次必得皮肤	再召喚<color=#ff1ea9>_num_</color>次必得皮膚	Make <color=#ff1ea9>_num_</color> more summon(s) guarantees an outfit.	あと<color=#ff1ea9>_num_</color>回召喚すると必ず外観が当たる	<color=#ff1ea9>_num_</color>회를 더 소환 시 반드시 스킨을 획득합니다	คัดสรรอีก <color=#ff1ea9>_num_</color> ครั้ง จะการันตีรับคอสตูม
14		GachaponSkinBlendRole_5	11164	2114;1003	270;9000	4140001	1	4140001	10	10	2114		161:skin_draw_tab_3	195:skin_draw_blend_bg_bunnygirl	10202103;14300802	4140001	1	1	0	0	0	0	0	0	1	0	再召唤<color=#ff1ea9>_num_</color>次必得皮肤	再召喚<color=#ff1ea9>_num_</color>次必得皮膚	Make <color=#ff1ea9>_num_</color> more summon(s) guarantees an outfit.	あと<color=#ff1ea9>_num_</color>回召喚すると必ず外観が当たる	<color=#ff1ea9>_num_</color>회를 더 소환 시 반드시 스킨을 획득합니다	คัดสรรอีก <color=#ff1ea9>_num_</color> ครั้ง จะการันตีรับคอสตูม
15		GachaponSkinBlendRole_5	11164	2115;1003	270;9000	4140001	1	4140001	10	10	2115		161:skin_draw_tab_3	195:skin_draw_blend_bg_bunnygirl	10202103;14300802	4140001	1	1	0	0	0	0	0	1	0	0	再召唤<color=#ff1ea9>_num_</color>次必得皮肤	再召喚<color=#ff1ea9>_num_</color>次必得皮膚	Make <color=#ff1ea9>_num_</color> more summon(s) guarantees an outfit.	あと<color=#ff1ea9>_num_</color>回召喚すると必ず外観が当たる	<color=#ff1ea9>_num_</color>회를 더 소환 시 반드시 스킨을 획득합니다	คัดสรรอีก <color=#ff1ea9>_num_</color> ครั้ง จะการันตีรับคอสตูม
16		GachaponSkinBlendRole_6	11164	2116;1003	270;9000	4140001	1	4140001	10	10	2116		161:skin_draw_tab_3	195:skin_draw_blend_bg_spring	11300103;11400103	4140001	1	1	1	1	0	0	0	0	0	0	再召唤<color=#ff1ea9>_num_</color>次必得皮肤	再召喚<color=#ff1ea9>_num_</color>次必得皮膚	Make <color=#ff1ea9>_num_</color> more summon(s) guarantees an outfit.	あと<color=#ff1ea9>_num_</color>回召喚すると必ず外観が当たる	<color=#ff1ea9>_num_</color>회를 더 소환 시 반드시 스킨을 획득합니다	คัดสรรอีก <color=#ff1ea9>_num_</color> ครั้ง จะการันตีรับคอสตูม
17		GachaponSkinBlendRole_6	11164	2117;1003	270;9000	4140001	1	4140001	10	10	2117		161:skin_draw_tab_3	195:skin_draw_blend_bg_spring	11300103;11400103	4140001	1	1	0	0	1	0	0	0	0	0	再召唤<color=#ff1ea9>_num_</color>次必得皮肤	再召喚<color=#ff1ea9>_num_</color>次必得皮膚	Make <color=#ff1ea9>_num_</color> more summon(s) guarantees an outfit.	あと<color=#ff1ea9>_num_</color>回召喚すると必ず外観が当たる	<color=#ff1ea9>_num_</color>회를 더 소환 시 반드시 스킨을 획득합니다	คัดสรรอีก <color=#ff1ea9>_num_</color> ครั้ง จะการันตีรับคอสตูม
18		GachaponSkinBlendRole_6	11164	2118;1003	270;9000	4140001	1	4140001	10	10	2118		161:skin_draw_tab_3	195:skin_draw_blend_bg_spring	11300103;11400103	4140001	1	1	0	0	0	1	1	0	0	0	再召唤<color=#ff1ea9>_num_</color>次必得皮肤	再召喚<color=#ff1ea9>_num_</color>次必得皮膚	Make <color=#ff1ea9>_num_</color> more summon(s) guarantees an outfit.	あと<color=#ff1ea9>_num_</color>回召喚すると必ず外観が当たる	<color=#ff1ea9>_num_</color>회를 더 소환 시 반드시 스킨을 획득합니다	คัดสรรอีก <color=#ff1ea9>_num_</color> ครั้ง จะการันตีรับคอสตูม
19		GachaponSkinBlendRole_6	11164	2119;1003	270;9000	4140001	1	4140001	10	10	2119		161:skin_draw_tab_3	195:skin_draw_blend_bg_spring	11300103;11400103	4140001	1	1	0	0	0	0	0	0	1	0	再召唤<color=#ff1ea9>_num_</color>次必得皮肤	再召喚<color=#ff1ea9>_num_</color>次必得皮膚	Make <color=#ff1ea9>_num_</color> more summon(s) guarantees an outfit.	あと<color=#ff1ea9>_num_</color>回召喚すると必ず外観が当たる	<color=#ff1ea9>_num_</color>회를 더 소환 시 반드시 스킨을 획득합니다	คัดสรรอีก <color=#ff1ea9>_num_</color> ครั้ง จะการันตีรับคอสตูม
20		GachaponSkinBlendRole_6	11164	2120;1003	270;9000	4140001	1	4140001	10	10	2120		161:skin_draw_tab_3	195:skin_draw_blend_bg_spring	11300103;11400103	4140001	1	1	0	0	0	0	0	1	0	0	再召唤<color=#ff1ea9>_num_</color>次必得皮肤	再召喚<color=#ff1ea9>_num_</color>次必得皮膚	Make <color=#ff1ea9>_num_</color> more summon(s) guarantees an outfit.	あと<color=#ff1ea9>_num_</color>回召喚すると必ず外観が当たる	<color=#ff1ea9>_num_</color>회를 더 소환 시 반드시 스킨을 획득합니다	คัดสรรอีก <color=#ff1ea9>_num_</color> ครั้ง จะการันตีรับคอสตูม
9999		GachaponSkinBlendRole_3	11164	2100;1000	900;50	4140001	1	4140001	10	10	2100		161:skin_draw_tab_3	195:skin_draw_blend_christmas	13900802;10800604	4140001	1	1	0	0	0	0	0	0	0	0						
