id	teamId	itemId	itemNum	randNum	displayNum	steamStatus	status
int	int	int	int	int	int	int	int
1	1000	4190004	100	120	120	1	1
2	1000	3000003	50000	120	120	1	1
3	1000	4104042	30	120	120	1	1
4	1000	4104043	20	120	120	1	1
5	1000	4190001	100	120	120	1	1
6	1000	4101003	3	120	120	1	1
7	1000	4102021	1	120	120	1	1
8	1000	4102104	1	120	120	1	1
9	1000	4102204	1	120	120	1	1
10	1000	4102304	1	120	120	1	1
11	1000	9000071	30	150	150	1	1
12	1000	9000071	50	150	150	1	1
14	2100	13900802	1	5	5	1	1
16	2100	10101303	1	40	40	1	1
17	2100	12700802	1	40	40	1	1
18	2100	11700802	1	40	40	1	1
25	2100	10101302	1	40	40	1	1
26	2100	10400102	1	40	40	1	1
35	1001	4190004	100	720	777	1	1
36	1001	3000003	50000	720	777	1	1
37	1001	4104042	30	720	777	1	1
38	1001	4104043	20	720	777	1	1
39	1001	4190001	100	720	777	1	1
40	1001	4101003	3	720	777	1	1
41	1001	4102021	1	720	777	1	1
42	1001	4102104	1	720	777	1	1
43	1001	4102204	1	720	777	1	1
44	1001	4102304	1	720	777	1	1
45	1001	9000071	30	900	971	1	1
46	1001	9000071	50	900	971	1	1
59	1002	4190004	100	720	777	1	1
60	1002	3000003	50000	720	777	1	1
61	1002	4104042	30	720	777	1	1
62	1002	4104043	20	720	777	1	1
63	1002	4190001	100	720	777	1	1
64	1002	4101003	3	720	777	1	1
65	1002	4102021	1	720	777	1	1
66	1002	4102104	1	720	777	1	1
67	1002	4102204	1	720	777	1	1
68	1002	4102304	1	720	777	1	1
69	1002	9000071	30	900	971	1	1
70	1002	9000071	50	900	971	1	1
74	2103	12700802	1	40	43	1	1
75	2103	11700802	1	40	43	1	1
77	2103	10101302	1	40	43	1	1
78	2103	10400102	1	40	43	1	1
79	2104	10800604	1	10	11	1	1
80	2104	13900802	1	10	11	1	1
81	2104	11900802	1	10	11	1	1
82	2104	12700802	1	60	65	1	1
83	2104	11700802	1	60	65	1	1
84	2104	10101302	1	60	65	1	1
85	2104	10400102	1	60	65	1	1
86	2105	10800604	1	15	16	1	1
88	2105	11900802	1	15	16	1	1
90	2105	12700802	1	40	43	1	1
91	2105	11700802	1	40	43	1	1
93	2105	10101302	1	40	43	1	1
94	2105	10400102	1	40	43	1	1
108	1003	4190004	100	900	894	1	1
109	1003	3000003	50000	900	894	1	1
110	1003	4104042	30	900	894	1	1
111	1003	4104043	20	900	894	1	1
112	1003	4190001	100	900	894	1	1
113	1003	4101003	3	900	894	1	1
114	1003	4102021	1	900	894	1	1
115	1003	4102104	1	900	894	1	1
116	1003	4102204	1	900	894	1	1
117	1003	4102304	1	900	894	1	1
135	2109	12800802	1	10	11	0	1
136	2109	10101304	1	10	11	0	1
137	2109	13100102	1	10	11	0	1
138	2109	12700802	1	60	65	0	1
139	2109	11700802	1	60	65	0	1
140	2109	10101302	1	60	65	0	1
141	2109	10400102	1	60	65	0	1
181	2114	14300802	1	15	16	0	1
183	2114	10202103	1	15	16	0	1
184	2114	12700802	1	60	65	0	1
185	2114	11700802	1	60	65	0	1
186	2114	10101302	1	60	65	0	1
187	2114	10400102	1	60	65	0	1
224	2119	11300103	1	15	16	0	1
225	2119	11400103	1	15	16	0	1
226	2119	12700802	1	60	65	0	1
227	2119	11700802	1	60	65	0	1
228	2119	10101302	1	60	65	0	1
229	2119	10400102	1	60	65	0	1
269	2124	15600802	1	10	11	0	1
270	2124	10800604	1	10	11	0	1
271	2124	13900802	1	10	11	0	1
272	2124	11900802	1	10	11	0	1
273	2124	12700802	1	60	65	0	1
274	2124	11700802	1	60	65	0	1
275	2124	10101302	1	60	65	0	1
