taskAchId	before	taskContentType	taskContentId	taskContenNum	resetType	rewardId	rewardNum	openType	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
91601		1118		5	2	3000013;3000003	500;50000	0	1	累计参与5次	累計參與5次	Join the mode 5 times.	累計5回参加する	누적 5회 참여	เข้าร่วมสะสม 5 ครั้ง
91602		1118		10	2	3000013;3000003	700;100000	0	1	累计参与10次	累計參與10次	Join the mode 10 times.	累計10回参加する	누적 10회 참여	เข้าร่วม​สะสม​ 10​ ครั้ง​
91603		1118		20	2	3000013;3000003	1000;200000	0	1	累计参与20次	累計參與20次	Join the mode 20 times.	累計20回参加する	누적 20회 참여	เข้าร่วม​สะสม​ 20​ ครั้ง​
91604		1118		40	2	3000013;3000003	1400;300000	0	1	累计参与40次	累計參與40次	Join the mode 40 times.	累計40回参加する	누적 40회 참여	เข้าร่วม​สะสม​ 40​ ครั้ง​
91605		1118		60	2	3000013;3000003	1900;400000	0	1	累计参与60次	累計參與60次	Join the mode 60 times.	累計60回参加する	누적 60회 참여	เข้าร่วม​สะสม​ 60​ ครั้ง​
91606		1118		80	2	3000013;3000003	2500;500000	0	1	累计参与80次	累計參與80次	Join the mode 80 times.	累計80回参加する	누적 80회 참여	เข้าร่วม​สะสม​ 80​ ครั้ง​
91607		1118		100	2	3000013;3000003	3000;600000	0	1	累计参与100次	累計參與100次	Join the mode 100 times.	累計100回参加する	누적 100회 참여	เข้าร่วม​สะสม​ 100​ ครั้ง​
91701		1121	9000	1	2	3000013;3000002	100;50	0	1	在赛季中名次首次达到9000名	在賽季中名次首次達到9000名	Rank No. 9000 for the first time in the season.	今シーズンで初回9000位に入る	시즌 내 첫 랭킹 상위 9000위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 9,000​ เป็นครั้งแรก​
91702		1121	8000	1	2	3000013;3000002	150;75	0	1	在赛季中名次首次达到8000名	在賽季中名次首次達到8000名	Rank No. 8000 for the first time in the season.	今シーズンで初回8000位に入る	시즌 내 첫 랭킹 상위 8000위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 8,000​ เป็นครั้งแรก​
91703		1121	7000	1	2	3000013;3000002	200;100	0	1	在赛季中名次首次达到7000名	在賽季中名次首次達到7000名	Rank No. 7000 for the first time in the season.	今シーズンで初回7000位に入る	시즌 내 첫 랭킹 상위 7000위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 7,000​ เป็นครั้งแรก​
