id	rewardStep	upperLimit	lowerLimit	type	reward	rewardNum	mailID	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	1	3	1	4190004;4104041;4100011;4110001	1000;800;100;100	90089	1	1至3	1至3	1-3	1〜3位	1~3	1-3
2	1	4	10	1	4190004;4104041;4100011;4110001	800;700;80;80	90089	1	4至10	4至10	No. 4-10	4〜10位	4~10	4-10
3	1	11	20	1	4190004;4104041;4100011;4110001	600;650;70;70	90089	1	11至20	11至20	No. 11-20	11〜20位	11~20	11-20
4	1	21	30	1	4190004;4104041;4100011;4110001	500;600;60;60	90089	1	21至30	21至30	No. 21-30	21〜30位	21~30	21-30
5	1	31	50	1	4190004;4104041;4100011;4110001	400;500;50;50	90089	1	31到50	31到50	No. 31-50	31〜50位	31~50	31-50
6	1	51	70	1	4190004;4104041;4100011;4110001	300;400;40;40	90089	1	51到70	51到70	No. 51-70	51〜70位	51~70	51-70
7	1	71	100	1	4190004;4104041;4100011;4110001	200;300;30;30	90089	1	71到100	71到100	No. 71-100	71〜100位	71~100	71-100
8	1	101	200	1	4190004;4104041;4100011;4110001	100;200;20;20	90089	1	101到200	101到200	No. 101-200	101〜200位	101~200	100-200
9	1	201	9999999	1	4190004;4104041;4100011;4110001	100;100;10;10	90089	1	200+	200+	No. 200+	200位圏外	200+	2000+
10	2	1	3	1	4190004;4104042;4100011;4110001	2000;800;200;200	90089	1	1至3	1至3	1-3	1〜3位	1~3	1-3
11	2	4	10	1	4190004;4104042;4100011;4110001	1800;700;180;180	90089	1	4至10	4至10	No. 4-10	4〜10位	4~10	4-10
12	2	11	20	1	4190004;4104042;4100011;4110001	1600;650;170;170	90089	1	11至20	11至20	No. 11-20	11〜20位	11~20	11-20
13	2	21	30	1	4190004;4104042;4100011;4110001	1400;600;160;160	90089	1	21至30	21至30	No. 21-30	21〜30位	21~30	21-30
14	2	31	50	1	4190004;4104042;4100011;4110001	1200;500;150;150	90089	1	31到50	31到50	No. 31-50	31〜50位	31~50	31-50
15	2	51	70	1	4190004;4104042;4100011;4110001	1000;400;140;140	90089	1	51到70	51到70	No. 51-70	51〜70位	51~70	51-70
16	2	71	100	1	4190004;4104042;4100011;4110001	800;300;130;130	90089	1	71到100	71到100	No. 71-100	71〜100位	71~100	71-100
17	2	101	200	1	4190004;4104042;4100011;4110001	600;200;120;120	90089	1	101到200	101到200	No. 101-200	101〜200位	101~200	100-200
18	2	201	9999999	1	4190004;4104042;4100011;4110001	500;100;110;110	90089	1	200+	200+	No. 200+	200位圏外	200+	2000+
19	3	1	3	1	4190004;4104043;4100032;4110001	3000;800;100;300	90089	1	1至3	1至3	1-3	1〜3位	1~3	1-3
20	3	4	10	1	4190004;4104043;4100032;4110001	2800;700;80;280	90089	1	4至10	4至10	No. 4-10	4〜10位	4~10	4-10
21	3	11	20	1	4190004;4104043;4100032;4110001	2600;650;70;270	90089	1	11至20	11至20	No. 11-20	11〜20位	11~20	11-20
22	3	21	30	1	4190004;4104043;4100032;4110001	2400;600;60;260	90089	1	21至30	21至30	No. 21-30	21〜30位	21~30	21-30
23	3	31	50	1	4190004;4104043;4100032;4110001	2200;500;50;250	90089	1	31到50	31到50	No. 31-50	31〜50位	31~50	31-50
24	3	51	70	1	4190004;4104043;4100032;4110001	2000;400;40;240	90089	1	51到70	51到70	No. 51-70	51〜70位	51~70	51-70
25	3	71	100	1	4190004;4104043;4100032;4110001	1800;300;30;230	90089	1	71到100	71到100	No. 71-100	71〜100位	71~100	71-100
26	3	101	200	1	4190004;4104043;4100032;4110001	1600;200;20;220	90089	1	101到200	101到200	No. 101-200	101〜200位	101~200	100-200
27	3	201	9999999	1	4190004;4104043;4100032;4110001	1500;100;10;210	90089	1	200+	200+	No. 200+	200位圏外	200+	2000+
