id	upperLimit	reward	rewardNum	status
int	int	int	int	int
5000101	50000	4190001;3000003;4101001;4102201	100;10000;10;10	1
5000102	100000	4190001;3000003;4101001;4102201	200;20000;20;15	1
5000103	150000	4190001;3000003;4101001;4102201	300;30000;30;20	1
5000104	200000	4190001;3000003;4101001;4102201	400;40000;40;25	1
5000105	250000	4190001;3000003;4101001;4102201	500;50000;50;30	1
5000106	300000	4190001;3000003;4101001;4102201	500;60000;60;40	1
5000107	400000	4190001;3000003;4101001;4102201	500;70000;70;50	1
5000108	500000	4190001;3000003;4101001;4102201	500;80000;80;60	1
5000109	600000	4190001;3000003;4101001;4102201	1000;90000;90;80	1
5000110	700000	4190001;3000003;4101001;4102201	1000;100000;100;100	1
