id	openDay	isMainTask	Numtype	taskContentType	taskContentId	taskContenNum	rewardId	rewardNum	openType	openParameter	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	descr	descr_zh_TW	descr_en_UK	descr_ja_JP	descr_ko_KR	descr_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
101	1	1	11	201	100030	1	5100001;4110001;6810001	2;5;1	100		1	主线通关序章	主線通關序章	Clear the prologue of the main story.	Chapter.0をクリアする	메인 스토리 프롤로그 클리어	ผ่าน​ด่าน​เนื้อเรื่อง​หลัก​	主线通关序章	主線通關序章	Clear the prologue of the main story.	Chapter.0をクリアする	메인 스토리 프롤로그 클리어	ผ่าน​ด่าน​เนื้อเรื่อง​หลัก​
201	2	1	12	201	102140	1	5100001;4110001;6810002	2;5;1	100		1	主线通关第3章	主線通關第3章	Complete main story chapter 3.	Chapter.3をクリアする	메인 스토리 제3장 클리어	ผ่าน​เนื้อเรื่อง​หลัก​บท​ที่​ 3​	主线通关第3章	主線通關第3章	Complete main story chapter 3.	Chapter.3をクリアする	메인 스토리 제3장 클리어	ผ่าน​เนื้อเรื่อง​หลัก​บท​ที่​ 3​
301	3	1	13	201	103100	1	5100001;4110001;6810003	2;5;1	100		1	主线通关第5章	主線通關第5章	Complete main story chapter 5.	Chapter.5をクリアする	메인 스토리 제5장 클리어	ผ่าน​เนื้อเรื่อง​หลัก​บท​ที่​ 5​	主线通关第5章	主線通關第5章	Complete main story chapter 5.	Chapter.5をクリアする	메인 스토리 제5장 클리어	ผ่าน​เนื้อเรื่อง​หลัก​บท​ที่​ 5​
401	4	1	14	201	104180	1	5100001;4110001;6810004	3;5;1	100		1	主线通关第7章	主線通關第7章	Complete main story chapter 7.	Chapter.7をクリアする	메인 스토리 제7장 클리어	ผ่าน​เนื้อเรื่อง​หลัก​บท​ที่​ 7​	主线通关第7章	主線通關第7章	Complete main story chapter 7.	Chapter.7をクリアする	메인 스토리 제7장 클리어	ผ่าน​เนื้อเรื่อง​หลัก​บท​ที่​ 7​
501	5	1	15	201	106060	1	5100001;4110001;6810005	3;5;1	100		1	主线通关第9章	主線通關第9章	Complete main story chapter 9.	Chapter.9をクリアする	메인 스토리 제9장 클리어	ผ่าน​เนื้อเรื่อง​หลัก​บท​ที่​ 9​	主线通关第9章	主線通關第9章	Complete main story chapter 9.	Chapter.9をクリアする	메인 스토리 제9장 클리어	ผ่าน​เนื้อเรื่อง​หลัก​บท​ที่​ 9​
601	6	1	16	201	106251	1	5100001;4110001;6810006	3;5;1	100		1	主线通关第10章	主線通關第10章	Complete main story chapter 10.	Chapter.10をクリアする	메인 스토리 제10장 클리어	ผ่าน​เนื้อเรื่อง​หลัก​บท​ที่​ 10​	主线通关第10章	主線通關第10章	Complete main story chapter 10.	Chapter.10をクリアする	메인 스토리 제10장 클리어	ผ่าน​เนื้อเรื่อง​หลัก​บท​ที่​ 10​
701	7	1	17	201	108050	1	5100001;4110001;6810007	5;5;1	100		1	主线通关第12章	主線通關第12章	Complete main story chapter 12.	Chapter.12をクリアする	메인 스토리 제12장 클리어	ผ่าน​เนื้อเรื่อง​หลัก​บท​ที่​ 12​	主线通关第12章	主線通關第12章	Complete main story chapter 12.	Chapter.12をクリアする	메인 스토리 제12장 클리어	ผ่าน​เนื้อเรื่อง​หลัก​บท​ที่​ 12​
102	1		20	601	1	50	4190001;4110001	50;5	601		1	累计召唤50次	累計召喚50次	Make 50 summons in total.	召喚を50回行う	소환 누적 50회	รับสมัครสะสม 50 ครั้ง	累计召唤50次	累計召喚50次	Make 50 summons in total.	召喚を50回行う	소환 누적 50회	รับสมัครสะสม 50 ครั้ง
202	2		20	601	1	100	4190001;4110001	50;5	601		1	累计召唤100次	累計召喚100次	Make 100 summons in total.	召喚を100回行う	소환 누적 100회	รับสมัครสะสม 100 ครั้ง	累计召唤100次	累計召喚100次	Make 100 summons in total.	召喚を100回行う	소환 누적 100회	รับสมัครสะสม 100 ครั้ง
302	3		20	601	1	150	4190001;4110001	50;5	601		1	累计召唤150次	累計召喚150次	Make 150 summons in total.	召喚を150回行う	소환 누적 150회	รับสมัครสะสม 150 ครั้ง	累计召唤150次	累計召喚150次	Make 150 summons in total.	召喚を150回行う	소환 누적 150회	รับสมัครสะสม 150 ครั้ง
402	4		20	601	1	200	4190001;4110001	50;10	601		1	累计召唤200次	累計召喚200次	Make 200 summons in total.	召喚を200回行う	소환 누적 200회	รับสมัครสะสม 200 ครั้ง	累计召唤200次	累計召喚200次	Make 200 summons in total.	召喚を200回行う	소환 누적 200회	รับสมัครสะสม 200 ครั้ง
502	5		20	601	1	250	4190001;4110001	50;10	601		1	累计召唤250次	累計召喚250次	Make 250 summons in total.	召喚を250回行う	소환 누적 250회	รับสมัครสะสม 250 ครั้ง	累计召唤250次	累計召喚250次	Make 250 summons in total.	召喚を250回行う	소환 누적 250회	รับสมัครสะสม 250 ครั้ง
602	6		20	601	1	300	4190001;4110001	50;10	601		1	累计召唤300次	累計召喚300次	Make 300 summons in total.	召喚を300回行う	소환 누적 300회	รับสมัครสะสม 300 ครั้ง	累计召唤300次	累計召喚300次	Make 300 summons in total.	召喚を300回行う	소환 누적 300회	รับสมัครสะสม 300 ครั้ง
702	7		20	601	1	350	4190001;4110001	50;10	601		1	累计召唤350次	累計召喚350次	Make 350 summons in total.	召喚を350回行う	소환 누적 350회	รับสมัครสะสม 350 ครั้ง	累计召唤350次	累計召喚350次	Make 350 summons in total.	召喚を350回行う	소환 누적 350회	รับสมัครสะสม 350 ครั้ง
103	1		30	1116	1	15	4190001;3000003	50;10000	411		1	通关训练中枢15层	通關訓練中樞15層	Clear 15 Floors in Training Hub.	訓練中枢第15層をクリアする	훈련 허브 15층 클리어	ผ่าน​ศูนย์​การ​ฝึก​ชั้น​ที่​ 15​	通关训练中枢15层	通關訓練中樞15層	Clear 15 Floors in Training Hub.	訓練中枢第15層をクリアする	훈련 허브 15층 클리어	ผ่าน​ศูนย์​การ​ฝึก​ชั้น​ที่​ 15​
203	2		30	1116	1	25	4190001;3000003	50;10000	411		1	通关训练中枢25层	通關訓練中樞25層	Clear 25 Floors in Training Hub.	訓練中枢第25層をクリアする	훈련 허브 25층 클리어	ผ่าน​ศูนย์​การ​ฝึก​ชั้น​ที่​ 25​	通关训练中枢25层	通關訓練中樞25層	Clear 25 Floors in Training Hub.	訓練中枢第25層をクリアする	훈련 허브 25층 클리어	ผ่าน​ศูนย์​การ​ฝึก​ชั้น​ที่​ 25​
303	3		30	1116	1	30	4190001;3000003	50;10000	411		1	通关训练中枢30层	通關訓練中樞30層	Clear 30 Floors in Training Hub.	訓練中枢第30層をクリアする	훈련 허브 30층 클리어	ผ่าน​ศูนย์​การ​ฝึก​ชั้น​ที่​ 30​	通关训练中枢30层	通關訓練中樞30層	Clear 30 Floors in Training Hub.	訓練中枢第30層をクリアする	훈련 허브 30층 클리어	ผ่าน​ศูนย์​การ​ฝึก​ชั้น​ที่​ 30​
