id	unlockId	taskContentType	taskContentId	taskContenNum	rewardId	rewardNum	openType	openParameter	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	0	1205	6	1	4190004;3000002	100;100	0		1	将任意<color=#ff4dc0>1</color>个战斗员突破<color=#ff4dc0>5</color>次	將任意<color=#ff4dc0>1</color>個戰鬥員突破<color=#ff4dc0>5</color>次	Ascend <color=#ff4dc0>1</color> Combatant <color=#ff4dc0>5</color> times.	任意の戦闘員<color=#ff4dc0>1</color>名を<color=#ff4dc0>5</color>回突破する	임의 전투원 <color=#ff4dc0>1</color>명 <color=#ff4dc0>5</color>회 돌파	ปลดลิมิตตัวละครใดก็ได้ <color=#ff4dc0>1</color> คน ทั้งหมด <color=#ff4dc0>5</color> ครั้ง
2	0	1205	6	2	4190004;3000002	100;100			1	将任意<color=#ff4dc0>2</color>个战斗员突破<color=#ff4dc0>5</color>次	將任意<color=#ff4dc0>2</color>個戰鬥員突破<color=#ff4dc0>5</color>次	Ascend <color=#ff4dc0>2</color> Combatants <color=#ff4dc0>5</color> times.	任意の戦闘員<color=#ff4dc0>2</color>名を<color=#ff4dc0>5</color>回突破する	임의 전투원 <color=#ff4dc0>2</color>명 <color=#ff4dc0>5</color>회 돌파	ปลดลิมิตตัวละครใดก็ได้ <color=#ff4dc0>2</color> คน ทั้งหมด <color=#ff4dc0>5</color> ครั้ง
3	0	1205	6	4	4190004;3000002	200;200			1	将任意<color=#ff4dc0>4</color>个战斗员突破<color=#ff4dc0>5</color>次	將任意<color=#ff4dc0>4</color>個戰鬥員突破<color=#ff4dc0>5</color>次	Ascend <color=#ff4dc0>4</color> Combatants <color=#ff4dc0>5</color> times.	任意の戦闘員<color=#ff4dc0>4</color>名を<color=#ff4dc0>5</color>回突破する	임의 전투원 <color=#ff4dc0>4</color>명 <color=#ff4dc0>5</color>회 돌파	ปลดลิมิตตัวละครใดก็ได้ <color=#ff4dc0>4</color> คน ทั้งหมด <color=#ff4dc0>5</color> ครั้ง
4	0	1205	6	6	4190004;3000002	200;200			1	将任意<color=#ff4dc0>6</color>个战斗员突破<color=#ff4dc0>5</color>次	將任意<color=#ff4dc0>6</color>個戰鬥員突破<color=#ff4dc0>5</color>次	Ascend <color=#ff4dc0>6</color> Combatants <color=#ff4dc0>5</color> times.	任意の戦闘員<color=#ff4dc0>6</color>名を<color=#ff4dc0>5</color>回突破する	임의 전투원 <color=#ff4dc0>6</color>명 <color=#ff4dc0>5</color>회 돌파	ปลดลิมิตตัวละครใดก็ได้ <color=#ff4dc0>6</color> คน ทั้งหมด <color=#ff4dc0>5</color> ครั้ง
5	0	1205	6	8	4190004;3000002	200;200			1	将任意<color=#ff4dc0>8</color>个战斗员突破<color=#ff4dc0>5</color>次	將任意<color=#ff4dc0>8</color>個戰鬥員突破<color=#ff4dc0>5</color>次	Ascend <color=#ff4dc0>8</color> Combatants <color=#ff4dc0>5</color> times.	任意の戦闘員<color=#ff4dc0>8</color>名を<color=#ff4dc0>5</color>回突破する	임의 전투원 <color=#ff4dc0>8</color>명 <color=#ff4dc0>5</color>회 돌파	ปลดลิมิตตัวละครใดก็ได้ <color=#ff4dc0>8</color> คน ทั้งหมด <color=#ff4dc0>5</color> ครั้ง
6	0	104	5	1	4190004;3000002	100;100			1	将<color=#ff4dc0>1</color>个战斗员星级提升到<color=#ff4dc0>5</color>星	將<color=#ff4dc0>1</color>個戰鬥員星級提升到<color=#ff4dc0>5</color>星	Upgrade <color=#ff4dc0>1</color> Combatant to <color=#ff4dc0>5</color>★.	任意の戦闘員<color=#ff4dc0>1</color>名を<color=#ff4dc0>5</color>回突破する	전투원 <color=#ff4dc0>1</color>명의 별 등급 <color=#ff4dc0>5</color>★ 달성	เพิ่มดาวตัวละครใดก็ได้ <color=#ff4dc0>1</color> คน ให้เป็น <color=#ff4dc0>5</color>★
7	0	104	5	2	4190004;3000002	100;100			1	将<color=#ff4dc0>2</color>个战斗员星级提升到<color=#ff4dc0>5</color>星	將<color=#ff4dc0>2</color>個戰鬥員星級提升到<color=#ff4dc0>5</color>星	Upgrade <color=#ff4dc0>2</color> Combatants to <color=#ff4dc0>5</color>★.	任意の戦闘員<color=#ff4dc0>2</color>名を<color=#ff4dc0>5</color>回突破する	전투원 <color=#ff4dc0>2</color>명의 별 등급 <color=#ff4dc0>5</color>★ 달성	เพิ่มดาวตัวละครใดก็ได้ <color=#ff4dc0>2</color> คน ให้เป็น <color=#ff4dc0>5</color>★
8	0	104	5	4	4190004;3000002	200;200			1	将<color=#ff4dc0>4</color>个战斗员星级提升到<color=#ff4dc0>5</color>星	將<color=#ff4dc0>4</color>個戰鬥員星級提升到<color=#ff4dc0>5</color>星	Upgrade <color=#ff4dc0>4</color> Combatants to <color=#ff4dc0>5</color>★.	任意の戦闘員<color=#ff4dc0>4</color>名を<color=#ff4dc0>5</color>回突破する	전투원 <color=#ff4dc0>4</color>명의 별 등급 <color=#ff4dc0>5</color>★ 달성	เพิ่มดาวตัวละครใดก็ได้ <color=#ff4dc0>4</color> คน ให้เป็น <color=#ff4dc0>5</color>★
9	0	104	5	6	4190004;3000002	200;200			1	将<color=#ff4dc0>6</color>个战斗员星级提升到<color=#ff4dc0>5</color>星	將<color=#ff4dc0>6</color>個戰鬥員星級提升到<color=#ff4dc0>5</color>星	Upgrade <color=#ff4dc0>6</color> Combatants to <color=#ff4dc0>5</color>★.	任意の戦闘員<color=#ff4dc0>6</color>名を<color=#ff4dc0>5</color>回突破する	전투원 <color=#ff4dc0>6</color>명의 별 등급 <color=#ff4dc0>5</color>★ 달성	เพิ่มดาวตัวละครใดก็ได้ <color=#ff4dc0>6</color> คน ให้เป็น <color=#ff4dc0>5</color>★
