id	unlockId	taskContentType	taskContentId	taskContenNum	rewardId	rewardNum	openType	openParameter	group	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1001	0	405	0	1	4190001;3000003;4101002	100;10000;10	0		1	1	每日登陆	每日登入	Log in daily.	ログインする	매일 접속	ล็อกอินทุกวัน
1002	0	7	3000004	100	5100001;3000003;4110001	3;20000;10	0		1	1	每日情绪消耗100	每日情緒消耗100	Use 100 Pathos every day.	エモーションを100消費する	매일 이모션 100 소모	ใช้​พา​โธส​ 100​ หน่วย​ต่อ​วัน​
1003	0	2130	0	1	3000002;3000018;4100011	200;60;10	0		1	1	参与1次入职挑战	參與1次入職挑戰	Perform an Onboarding Challenge 1 time.	新人挑戦に1回参加する	입사 도전 1회 참여	เข้าร่วมท้าทายมือใหม่ 1 ครั้ง
2001	0	405	0	1	4190001;3000003;4101002	100;10000;10	0		2	1	每日登陆	每日登入	Log in daily.	ログインする	매일 접속	ล็อกอินทุกวัน
2002	0	7	3000004	100	5100001;3000003;4110001	3;20000;10	0		2	1	每日情绪消耗100	每日情緒消耗100	Use 100 Pathos every day.	エモーションを100消費する	매일 이모션 100 소모	ใช้​พา​โธส​ 100​ หน่วย​ต่อ​วัน​
2003	0	2130	0	1	3000002;3000018;4100011	200;60;10	0		2	1	参与1次入职挑战	參與1次入職挑戰	Perform an Onboarding Challenge 1 time.	新人挑戦に1回参加する	입사 도전 1회 참여	เข้าร่วมท้าทายมือใหม่ 1 ครั้ง
3001	0	405	0	1	4190001;3000003;4101002	100;10000;10	0		3	1	每日登陆	每日登入	Log in daily.	ログインする	매일 접속	ล็อกอินทุกวัน
3002	0	7	3000004	100	5100001;3000003;4110001	3;20000;10	0		3	1	每日情绪消耗100	每日情緒消耗100	Use 100 Pathos every day.	エモーションを100消費する	매일 이모션 100 소모	ใช้​พา​โธส​ 100​ หน่วย​ต่อ​วัน​
3003	0	2130	0	1	3000002;3000018;4100011	200;60;10	0		3	1	参与1次入职挑战	參與1次入職挑戰	Perform an Onboarding Challenge 1 time.	新人挑戦に1回参加する	입사 도전 1회 참여	เข้าร่วมท้าทายมือใหม่ 1 ครั้ง
4001	0	405	0	1	4190001;3000003;4101002	100;10000;10	0		4	1	每日登陆	每日登入	Log in daily.	ログインする	매일 접속	ล็อกอินทุกวัน
4002	0	7	3000004	100	5100001;3000003;4110001	3;20000;10	0		4	1	每日情绪消耗100	每日情緒消耗100	Use 100 Pathos every day.	エモーションを100消費する	매일 이모션 100 소모	ใช้​พา​โธส​ 100​ หน่วย​ต่อ​วัน​
4003	0	2130	0	1	3000002;3000018;4100011	200;60;10	0		4	1	参与1次入职挑战	參與1次入職挑戰	Perform an Onboarding Challenge 1 time.	新人挑戦に1回参加する	입사 도전 1회 참여	เข้าร่วมท้าทายมือใหม่ 1 ครั้ง
5001	0	405	0	1	4190001;3000003;4101002	100;10000;10	0		5	1	每日登陆	每日登入	Log in daily.	ログインする	매일 접속	ล็อกอินทุกวัน
5002	0	7	3000004	100	5100001;3000003;4110001	3;20000;10	0		5	1	每日情绪消耗100	每日情緒消耗100	Use 100 Pathos every day.	エモーションを100消費する	매일 이모션 100 소모	ใช้​พา​โธส​ 100​ หน่วย​ต่อ​วัน​
5003	0	2130	0	1	3000002;3000018;4100011	200;60;10	0		5	1	参与1次入职挑战	參與1次入職挑戰	Perform an Onboarding Challenge 1 time.	新人挑戦に1回参加する	입사 도전 1회 참여	เข้าร่วมท้าทายมือใหม่ 1 ครั้ง
6001	0	405	0	1	4190001;3000003;4101002	100;10000;10	0		6	1	每日登陆	每日登入	Log in daily.	ログインする	매일 접속	ล็อกอินทุกวัน
6002	0	7	3000004	100	5100001;3000003;4110001	3;20000;10	0		6	1	每日情绪消耗100	每日情緒消耗100	Use 100 Pathos every day.	エモーションを100消費する	매일 이모션 100 소모	ใช้​พา​โธส​ 100​ หน่วย​ต่อ​วัน​
6003	0	2130	0	1	3000002;3000018;4100011	200;60;10	0		6	1	参与1次入职挑战	參與1次入職挑戰	Perform an Onboarding Challenge 1 time.	新人挑戦に1回参加する	입사 도전 1회 참여	เข้าร่วมท้าทายมือใหม่ 1 ครั้ง
7001	0	405	0	1	4190001;3000003;4101002	100;10000;10	0		7	1	每日登陆	每日登入	Log in daily.	ログインする	매일 접속	ล็อกอินทุกวัน
7002	0	7	3000004	100	5100001;3000003;4110001	3;20000;10	0		7	1	每日情绪消耗100	每日情緒消耗100	Use 100 Pathos every day.	エモーションを100消費する	매일 이모션 100 소모	ใช้​พา​โธส​ 100​ หน่วย​ต่อ​วัน​
7003	0	2130	0	1	3000002;3000018;4100011	200;60;10	0		7	1	参与1次入职挑战	參與1次入職挑戰	Perform an Onboarding Challenge 1 time.	新人挑戦に1回参加する	입사 도전 1회 참여	เข้าร่วมท้าทายมือใหม่ 1 ครั้ง
