id	activetyId	chapter	type	unlockItem	unlockNum	unlockPlot	endFlag	regionId	plotImage	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	plotDesc	plotDesc_zh_TW	plotDesc_en_UK	plotDesc_ja_JP	plotDesc_ko_KR	plotDesc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1000	1	0	1	0	0	0	1	12060101		1	序章	序章	Prologue	Chapter 0	프롤로그	บทนำ						
1011	1	101	1	9000006	100	0	0	12060102	102:nightcat_plot_img_cover101	1	暗夜猫线1-1	暗夜貓線1-1	Night Cat Story 1-1	ダークキャットルート1-1	다크나이트 캣 스토리 1-1	เส้นทางไนต์แคท 1-1	这里的原画展很有趣哦，虽然还是发生了些意外……	這裡的原畫展很有趣哦，雖然還是發生了些意外……	The original art exhibition here is quite intriguing, despite some unexpected incidents...	予期せぬ出来事に遭遇したけど、原画展面白かったです！	이 원화 전시회는 정말 재밌었어. 예상하지 못한 일이 발생하긴 했지만…	นิทรรศการ​ภาพ​ต้นฉบับ​ที่นี่​น่าสนใจ​มาก​เลย​ล่ะ​ ถึง​จะ​เกิดเรื่อง​ไม่​คาดฝัน​ขึ้น​นิดหน่อย​ก็​เถอะ​...​
1012	1	101	2	9000006	100	1011	0	12060103	102:nightcat_plot_img_cover101	1	暗夜猫线1-2	暗夜貓線1-2	Night Cat Story 1-2	ダークキャットルート1-2	다크나이트 캣 스토리 1-2	เส้นทางไนต์แคท 1-2	什么？？！怎么伊德和小音也来这里了？	什麼？？！怎麼伊德和小音也來這裡了？	What! Why are Idego and Poppy here too？	ええ？！イードとイナもここに来た？！	뭐??! 에이드 님이랑 이나가 여길 어떻게 온 거야?	หา​?!​ ทำไม​ทั้ง​เอ็ด​กับ​อิ​นะ​ถึง​มา​อยู่​ที่นี่​ด้วย​ล่ะ​?!​
1013	1	101	1	9000006	100	1012	1	12060104	102:nightcat_plot_img_cover101	1	暗夜猫线1-3	暗夜貓線1-3	Night Cat Story 1-3	ダークキャットルート1-3	다크나이트 캣 스토리 1-3	เส้นทางไนต์แคท 1-3	虽然有些麻烦，不过世界的规则还是要了解一下！	雖然有些麻煩，不過世界的規則還是要瞭解一下！	Though troublesome, we must familiarize ourselves with the rules of this world!	ちょっと厄介だけど、世界のルールを知っておいて損はない！	조금 귀찮긴 하지만 이 세계의 규칙을 찾아봐야겠어!	ถึง​จะ​ยุ่งยาก​ไป​สักหน่อย​ แต่​ก็​ต้อง​ทำความเข้าใจ​กฎ​ของ​โลก​ใบ​นี้​ให้ได้​!​
1021	1	102	1	9000006	100	0	0	12060105	102:nightcat_plot_img_cover102	1	暗夜猫线2-1	暗夜貓線2-1	Night Cat Story 2-1	ダークキャットルート2-1	다크나이트 캣 스토리 2-1	เส้นทางไนต์แคท 2-1	要潜入调查啦！小音一定会好好努力的！	要潛入調查啦！小音一定會好好努力的！	It's time to dive in! I will definitely work hard!	潜入調査開始！イナ、頑張るね！	조사를 시작할게요! 이나는 정말 열심히 할 거라구요!	ได้เวลา​ลอบ​เข้าไป​สืบสวน​แล้ว​!​ อิ​นะ​จะ​พยายาม​เต็มที่​เลย​!​
1022	1	102	2	9000006	100	1021	0	12060106	102:nightcat_plot_img_cover102	1	暗夜猫线2-2	暗夜貓線2-2	Night Cat Story 2-2	ダークキャットルート2-2	다크나이트 캣 스토리 2-2	เส้นทางไนต์แคท 2-2	呜哇——突然出现的怪物，真是可怕……	嗚哇——突然出現的怪物，真是可怕……	Ah... That monster just showed up! That was scary!	うわああ！怪物が突然現れた！怖い…	우와——갑자기 어디서 이런 몬스터가 나타난 걸까요. 정말 무서워요…	ว๊าย​—​ จู่ๆ​ ก็​มี​มอนสเตอร์​โผล่​ออกมา​ด้วย​ น่ากลัว​จัง​...​
1023	1	102	1	9000006	100	1022	1	12060107	102:nightcat_plot_img_cover102	1	暗夜猫线2-3	暗夜貓線2-3	Night Cat Story 2-3	ダークキャットルート2-3	다크나이트 캣 스토리 2-3	เส้นทางไนต์แคท 2-3	虽然发生了可怕的事，不过我们也不是一无所获。	雖然發生了可怕的事，不過我們也不是一無所獲。	Even though something dreadful occurred, we didn't leave empty-handed.	恐ろしい出来事も起きたけど、収穫なしとは言えない。	끔찍한 일이 있긴 했지만, 아무런 수확이 없었던 건 아니예요	ถึง​จะ​มีเรื่อง​น่ากลัว​เกิดขึ้น​ แต่​พวกเรา​ก็​ไม่​ได้​กลับ​ไป​มือเปล่า​หรอก​นะ​
1031	1	103	1	9000006	100	0	0	12060108	102:nightcat_plot_img_cover103	1	暗夜猫线3-1	暗夜貓線3-1	Night Cat Story 3-1	ダークキャットルート3-1	다크나이트 캣 스토리 3-1	เส้นทางไนต์แคท 3-1	真相，永远都要靠自己寻找。	真相，永遠都要靠自己尋找。	The truth will always have to be uncovered by our own hands.	真実は、自分で見つけ出すんだ。	진실은 스스로 찾아야 하는 법이야	ความจริง​น่ะ​...​ มัน​ต้อง​ค้นหา​ให้​เจอ​ด้วยตัวเอง​อยู่แล้ว​
1032	1	103	1	9000006	100	1031	0	12060109	102:nightcat_plot_img_cover103	1	暗夜猫线3-2	暗夜貓線3-2	Night Cat Story 3-2	ダークキャットルート3-2	다크나이트 캣 스토리 3-2	เส้นทางไนต์แคท 3-2	伪装身份调查，言行都要更加小心谨慎。	偽裝身份調查，言行都要更加小心謹慎。	When disguising our identities for investigation, we must be extremely cautious in our words and actions.	偽装調査！いつもより慎重に行動しないといけない。	신분을 위장하고 조사를 할 땐 언행을 더 조심해야 하는 법이야	เมื่อ​ต้อง​ปลอมตัว​เข้าไป​สืบสวน​ ก็​ต้อง​ระมัดระวัง​ทั้ง​คำพูด​และ​การกระทำ​ให้​มากกว่า​เดิม​ด้วย​นะ​
