id	type	exp	fristRewards	fristRewardsNum	regularReward	regularRewardNum	showItem	showItemTag	showItemNum	status
int	int	int	int	int	int	int	int	int	int	int
12065001	1	0	9000006;4190001;3000003	100;150;50000	9000005	100	9000006;4190001;3000003;9000005	3;3;3;1	100;150;50000;100	1
12065002	1	0	9000006;4110001;3000003	100;5;52500	9000005	100	9000006;4110001;3000003;9000005	3;3;3;1	100;5;52500;100	1
12065003	1	0	9000006;4190001;3000003	100;150;55000	9000005	100	9000006;4190001;3000003;9000005	3;3;3;1	100;150;55000;100	1
12065004	1	0	9000006;4110001;3000003	100;5;57500	9000005	100	9000006;4110001;3000003;9000005	3;3;3;1	100;5;57500;100	1
12065005	1	0	4190004;9000006;3000003	100;100;60000	9000005	100	4190004;9000006;3000003;9000005	3;3;3;1	100;100;60000;100	1
12065006	1	0	9000006;4190001;3000003	100;150;62000	9000005	100	9000006;4190001;3000003;9000005	3;3;3;1	100;150;62000;100	1
12065007	1	0	9000006;4110001;3000003	100;5;64000	9000005	100	9000006;4110001;3000003;9000005	3;3;3;1	100;5;64000;100	1
12065008	1	0	9000006;4190001;3000003	100;150;66000	9000005	100	9000006;4190001;3000003;9000005	3;3;3;1	100;150;66000;100	1
12065009	1	0	9000006;4110001;3000003	100;5;68000	9000005	100	9000006;4110001;3000003;9000005	3;3;3;1	100;5;68000;100	1
12065010	1	0	4190004;7105004;3000003	200;100;70000	9000005	100	4190004;7105004;3000003;9000005	3;3;3;1	200;100;70000;100	1
12065011	1	0	9000006;4190001;3000003	100;150;72000	9000005	100	9000006;4190001;3000003;9000005	3;3;3;1	100;150;72000;100	1
12065012	1	0	9000006;4110001;3000003	100;5;74000	9000005	100	9000006;4110001;3000003;9000005	3;3;3;1	100;5;74000;100	1
12065013	1	0	9000006;4190001;3000003	100;150;76000	9000005	100	9000006;4190001;3000003;9000005	3;3;3;1	100;150;76000;100	1
12065014	1	0	9000006;4110001;3000003	100;5;78000	9000005	100	9000006;4110001;3000003;9000005	3;3;3;1	100;5;78000;100	1
12065015	1	0	4190004;9000006;3000003	100;100;80000	9000005	100	4190004;9000006;3000003;9000005	3;3;3;1	100;100;80000;100	1
12065016	1	0	9000006;4190001;3000003	100;150;82000	9000005	100	9000006;4190001;3000003;9000005	3;3;3;1	100;150;82000;100	1
12065017	1	0	9000006;4110001;3000003	100;5;84000	9000005	100	9000006;4110001;3000003;9000005	3;3;3;1	100;5;84000;100	1
12065018	1	0	9000006;4190001;3000003	100;150;86000	9000005	100	9000006;4190001;3000003;9000005	3;3;3;1	100;150;86000;100	1
12065019	1	0	9000006;4110001;3000003	100;5;88000	9000005	100	9000006;4110001;3000003;9000005	3;3;3;1	100;5;88000;100	1
12065020	1	0	4190004;7105004;3000003	200;100;90000	9000005	100	4190004;7105004;3000003;9000005	3;3;3;1	200;100;90000;100	1
12065021	1	0	9000006;4190001;3000003	100;150;92000	9000005	100	9000006;4190001;3000003;9000005	3;3;3;1	100;150;92000;100	1
12065022	1	0	9000006;4110001;3000003	100;5;94000	9000005	100	9000006;4110001;3000003;9000005	3;3;3;1	100;5;94000;100	1
12065023	1	0	9000006;4190001;3000003	100;150;96000	9000005	100	9000006;4190001;3000003;9000005	3;3;3;1	100;150;96000;100	1
12065024	1	0	9000006;4110001;3000003	100;5;98000	9000005	100	9000006;4110001;3000003;9000005	3;3;3;1	100;5;98000;100	1
12065025	1	0	4190004;9000006;3000003	100;100;100000	9000005	100	4190004;9000006;3000003;9000005	3;3;3;1	100;100;100000;100	1
12065026	1	0	9000006;4190001;3000003	100;150;102000	9000005	100	9000006;4190001;3000003;9000005	3;3;3;1	100;150;102000;100	1
12065027	1	0	9000006;4110001;3000003	100;5;104000	9000005	100	9000006;4110001;3000003;9000005	3;3;3;1	100;5;104000;100	1
12065028	1	0	9000006;4190001;3000003	100;150;106000	9000005	100	9000006;4190001;3000003;9000005	3;3;3;1	100;150;106000;100	1
12065029	1	0	9000006;4110001;3000003	100;5;108000	9000005	100	9000006;4110001;3000003;9000005	3;3;3;1	100;5;108000;100	1
12065030	1	0	4190004;7105004;3000003	200;100;110000	9000005	100	4190004;7105004;3000003;9000005	3;3;3;1	200;100;110000;100	1
12065031	1	0	9000006;4190001;3000003	100;150;112000	9000005	100	9000006;4190001;3000003;9000005	3;3;3;1	100;150;112000;100	1
12065032	1	0	9000006;4110001;3000003	100;5;114000	9000005	100	9000006;4110001;3000003;9000005	3;3;3;1	100;5;114000;100	1
