id	maxLevel	activeId	plotId	photoId	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
12060101	6	1	1112	123:nightcat_buff_icon_12060101	1	学生证	學生證	Student ID	学生証	학생증	บัตรนักเรียน	偶然掉落在草丛里的证件，不知道是哪个粗心的家伙丢下的呢？	偶然掉落在草叢裡的證件，不知道是哪個粗心的傢伙丟下的呢？	The identification card that fell into the grass... Wonder which careless soul dropped it?	ジャック・ザ・キングからの挑戦	풀숲에 떨어진 신분증은 어떤 덜렁거리는 녀석이 떨어뜨린 걸까?	บัตรประจำตัว​ที่​ตก​อยู่​ใน​พุ่ม​หญ้า​โดยบังเอิญ​ ไม่​รู้​ว่า​เป็น​ของ​คน​ขี้ลืม​คน​ไหน​ที่​ทำ​หล่น​ไว้​กัน​แน่​นะ​?​
12060102	6	1	1113	123:nightcat_buff_icon_12060102	1	茶杯	茶杯	Tea Cup	カップ	찻잔	ถ้วยชา	来一杯香醇的红茶拿铁，尽情享受温室花园里的茶会时光。	來一杯香醇的紅茶拿鐵，盡情享受溫室花園裡的茶會時光。	Have a cup of fragrant red tea latte and indulge in the tea party in the greenhouse garden.	チャートランドからの挑戦	향긋한 홍차 라테를 한 잔 마시며 온실 화원에서 느긋하게 티타임을 즐기자.	จิบ​ชา​ดำ​ลาเต้​หอมกรุ่น​สัก​แก้ว​ แล้ว​ดื่มด่ำ​กับ​ช่วงเวลา​แห่ง​งานเลี้ยง​น้ำชา​ใน​สวน​เรือนกระจก​ให้​เต็มที่​
12060103	6	1	1114	123:nightcat_buff_icon_12060103	1	日记本	日記本	Diary	日記	일기장	สมุดบันทึก	一本稍显破旧的日记本，写满了由依的奇思妙想，连由依自己都会不时翻阅。	一本稍顯破舊的日記本，寫滿了由依的奇思妙想，連由依自己都會不時翻閱。	A slightly worn-out diary, filled with Yui's eccentric ideas, which even Yui herself occasionally rereads.	槍騎士からの挑戦	다소 낡아 보이는 일기장엔 유이의 기발한 아이디어로 가득하다. 유이도 수시로 본다.	สมุดบันทึก​ที่​ดู​เก่า​เล็กน้อย​ ข้างใน​เต็มไปด้วย​ไอเดีย​สุด​สร้างสรรค์​ของ​ยู​อิ​ แม้แต่​เจ้า​ตัวเอง​ก็​ยัง​หยิบ​กลับมา​เปิด​อ่าน​อยู่​บ่อยครั้ง​
12060104	6	1	1011	123:nightcat_buff_icon_12060104	1	草莓蛋糕	草莓蛋糕	Strawberry Cake	いちごケーキ	딸기 케이크	เค้กสตรอว์เบอร์รี	酸酸甜甜的草莓蛋糕，是小音的自信之作。	酸酸甜甜的草莓蛋糕，是小音的自信之作。	The sweet and tangy strawberry cakes are the bakes that Poppy is most confident in.	いちごケーキ、イナの自信作。	새콤달콤한 딸기 케이크는 이나가 자신 있어 하는 작품 중 하나이다.	เค้ก​สตรอว์เบอร์รี​รสเปรี้ยว​อม​หวาน​ นี่​คือ​ผลงาน​ที่​อิ​นะ​ภูมิใจ​นำเสนอ​เป็น​ที่สุด​
12060105	6	1	1012	123:nightcat_buff_icon_12060105	1	黑猫	黑貓	Darkpaw	黒猫	블랙 펠리니언	แมวพาโธซิส	“本喵还是第一次看到有人被路障追着跑……”黑猫如是说道。	“本喵還是第一次看到有人被路障追著跑……”黑貓如是說道。	"I've never seen anyone being chased by roadblocks before..." remarked the black cat.	「バリケードに追いかけられる人間が見られるとは…吾輩のニャン生の中でも初めてだにゃ。」黒猫はこう呟いた。	난 바리케이드에 쫓기는 사람을 처음 봤다냥…'이라며 검은 고양이가 말했다.	"​นี่​เป็นครั้งแรก​เลย​นะ​เหมียว​ตัว​นี้​เห็น​คน​ถูก​แผง​กั้น​ถนน​ไล่​ตา​ม.​.."​ แมว​สี​ดำ​กล่าว​ไว้​เช่นนั้น​
12060106	6	1	1013	123:nightcat_buff_icon_12060106	1	报纸	報紙	Newspaper	新聞	신문	หนังสือพิมพ์	报纸每天都会为人们带来最新的资讯，但最近的头版头条似乎总是被同一个人占据。	報紙每天都會為人們帶來最新的資訊，但最近的頭版頭條似乎總是被同一個人佔據。	The newspaper brings daily news to people, but lately, the front page seems to be consistently dominated by the same person.	新聞は毎日、人々に最新のニュースを伝えるが、最近のヘッドラインはいつも同じ人物で占められているようだ。	신문에서는 매일 사람들에게 새로운 정보를 알려주지만 요즘 들어 헤드라인에서 한 사람의 정보만 다루고 있는 것만 같다.	หนังสือพิมพ์​ที่​คอย​นำเสนอ​ข่าวสาร​ล่าสุด​ให้​ผู้​คนใน​ทุกวัน​ แต่​ช่วงนี้​พาดหัวข่าว​หน้า​แรก​กลับ​ถูก​คน​คน​เดิม​ยึดครอง​อยู่​เสมอ​
12060107	6	1	1021	123:nightcat_buff_icon_12060107	1	废弃文件	廢棄文件	Abandoned File	廃棄書類	폐기문건	เอกสารที่ถูกทิ้ง	那些无用文件的最终归宿便是成为碎片躺在这冰冷的盒子里。	那些無用檔的最終歸宿便是成為碎片躺在這冰冷的盒子裡。	The ultimate fate of those useless documents is to become fragments lying in this cold box.	役立たずの書類の最後な行き先は、この冷たい箱の中で横たわる破片となる。	그 쓸모없는 서류들은 결국 파쇄되어 차가운 상자에 들어가게 된다.	จุดหมาย​สุดท้าย​ของ​เอกสาร​ไร้ประโยชน์​เหล่านั้น​ คือ​การกลายเป็น​เศษกระดาษ​และ​นอน​อยู่​ใน​กล่อง​อัน​เย็นชืด​ใบ​นี้​ต่อไป​
12060108	6	1	1022	123:nightcat_buff_icon_12060108	1	挂牌	掛牌	List	下げ札	개업	ป้ายแขวน	本该挂在档案室门把上的挂牌掉落在门口，似乎是有人离去时不小心打落的。	本該掛在檔案室門把上的掛牌掉落在門口，似乎是有人離去時不小心打落的。	The nameplate that should have been hanging on the archives' door handle fell at the entrance, seemingly dropped by someone carelessly leaving.	資料室のドアの取っ手に掛けてあったはずの下げ札が、出入り口から落ちていた。誰かが部屋を出るときに誤って外してしまったようだ。	서류실 문고리에 걸려있어야 할 간판이 문 앞에 떨어져 있는데, 아마 누가 실수로 떨어뜨린 것 같다.	ป้าย​ที่​ควร​แขวน​อยู่​บน​ลูกบิด​ประตู​ห้อง​เก็บ​เอกสาร​กลับ​ตก​อยู่​หน้า​ประตู​ ดูเหมือน​จะ​มี​ใคร​บางคน​ทำ​หล่น​โดยไม่ตั้งใจ​ตอน​เดิน​ออก​ไป​
12060109	6	1	1023	123:nightcat_buff_icon_12060109	1	纸箱	紙箱	Paper Box	段ボール	종이상자	กล่องกระดาษ	堆满原稿的纸箱，其中不乏各类小说，杂志报道，漫画等，认真翻阅也许会发现惊喜。	堆滿原稿的紙箱，其中不乏各類小說，雜誌報導，漫畫等，認真翻閱也許會發現驚喜。	A cardboard box piled high with manuscripts, containing various novels, magazine articles, comics, and more. Perhaps a careful perusal will lead to delightful surprises.	原稿でいっぱいの段ボール箱。中には小説、雑誌記事、漫画などがたくさん詰め込まれている。読んでみると驚きを見つけるかもしれない。	원고를 수북이 쌓아 놓은 상자에는 각종 소설, 잡지 보도, 만화 등이 들어있어 들여다보면 재밌는 게 발견될지도 모른다.	กล่อง​กระดาษ​ที่​อัด​แน่น​ไป​ด้วย​ต้นฉบับ​ ไม่​ว่า​จะ​เป็น​นิยาย​ บท​ความใน​นิตยสาร​ หรือ​มัง​งะ​ หา​กลอง​เปิด​อ่าน​อย่าง​ตั้งใจ​ อาจ​ได้​พบ​เรื่อง​น่า​ประหลาดใจ​ก็ได้​
