type	id	status
string	string	int
12060101_1	120601011	1
12060101_2	120601012	1
12060101_3	120601013	1
12060101_4	120601014	1
12060101_5	120601015	1
12060101_6	120601016	1
12060102_1	120601021	1
12060102_2	120601022	1
12060102_3	120601023	1
12060102_4	120601024	1
12060102_5	120601025	1
12060102_6	120601026	1
12060103_1	120601031	1
12060103_2	120601032	1
12060103_3	120601033	1
12060103_4	120601034	1
12060103_5	120601035	1
12060103_6	120601036	1
12060104_1	120601041	1
12060104_2	120601042	1
12060104_3	120601043	1
12060104_4	120601044	1
12060104_5	120601045	1
12060104_6	120601046	1
12060105_1	120601051	1
12060105_2	120601052	1
12060105_3	120601053	1
12060105_4	120601054	1
12060105_5	120601055	1
12060105_6	120601056	1
12060106_1	120601061	1
12060106_2	120601062	1
12060106_3	120601063	1
12060106_4	120601064	1
12060106_5	120601065	1
12060106_6	120601066	1
12060107_1	120601071	1
12060107_2	120601072	1
12060107_3	120601073	1
12060107_4	120601074	1
12060107_5	120601075	1
12060107_6	120601076	1
12060108_1	120601081	1
12060108_2	120601082	1
12060108_3	120601083	1
12060108_4	120601084	1
12060108_5	120601085	1
12060108_6	120601086	1
12060109_1	120601091	1
12060109_2	120601092	1
12060109_3	120601093	1
12060109_4	120601094	1
12060109_5	120601095	1
12060109_6	120601096	1
12060110_1	120601101	1
12060110_2	120601102	1
12060110_3	120601103	1
12060110_4	120601104	1
12060110_5	120601105	1
12060110_6	120601106	1
12060111_1	120601111	1
12060111_2	120601112	1
12060111_3	120601113	1
12060111_4	120601114	1
12060111_5	120601115	1
12060111_6	120601116	1
12060112_1	120601121	1
12060112_2	120601122	1
12060112_3	120601123	1
12060112_4	120601124	1
12060112_5	120601125	1
12060112_6	120601126	1
12060113_1	120601131	1
12060113_2	120601132	1
12060113_3	120601133	1
12060113_4	120601134	1
12060113_5	120601135	1
12060113_6	120601136	1
12060114_1	120601141	1
12060114_2	120601142	1
12060114_3	120601143	1
12060114_4	120601144	1
12060114_5	120601145	1
12060114_6	120601146	1
12060115_1	120601151	1
12060115_2	120601152	1
12060115_3	120601153	1
12060115_4	120601154	1
12060115_5	120601155	1
12060115_6	120601156	1
12060116_1	120601161	1
12060116_2	120601162	1
12060116_3	120601163	1
12060116_4	120601164	1
12060116_5	120601165	1
12060116_6	120601166	1
12060117_1	120601171	1
12060117_2	120601172	1
12060117_3	120601173	1
12060117_4	120601174	1
12060117_5	120601175	1
12060117_6	120601176	1
12060118_1	120601181	1
12060118_2	120601182	1
12060118_3	120601183	1
12060118_4	120601184	1
12060118_5	120601185	1
12060118_6	120601186	1
12060119_1	120601191	1
12060119_2	120601192	1
12060119_3	120601193	1
12060119_4	120601194	1
12060119_5	120601195	1
12060119_6	120601196	1
12060120_1	120601201	1
12060120_2	120601202	1
12060120_3	120601203	1
12060120_4	120601204	1
12060120_5	120601205	1
12060120_6	120601206	1
12060121_1	120601211	1
12060121_2	120601212	1
12060121_3	120601213	1
12060121_4	120601214	1
12060121_5	120601215	1
12060121_6	120601216	1
12060122_1	120601221	1
12060122_2	120601222	1
12060122_3	120601223	1
12060122_4	120601224	1
12060122_5	120601225	1
12060122_6	120601226	1
12060123_1	120601231	1
12060123_2	120601232	1
12060123_3	120601233	1
12060123_4	120601234	1
12060123_5	120601235	1
12060123_6	120601236	1
12060124_1	120601241	1
12060124_2	120601242	1
12060124_3	120601243	1
12060124_4	120601244	1
12060124_5	120601245	1
12060124_6	120601246	1
12060125_1	120601251	1
12060125_2	120601252	1
12060125_3	120601253	1
12060125_4	120601254	1
12060125_5	120601255	1
12060125_6	120601256	1
