id	type	showType	quality	stack	openType	openParameter	photoId	effectType	effectNum	effectId	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
8610501	86	861	6	1	0	0	18:card_icon_105004_1	0	0	1001	1	碎夜疾霆	碎夜疾霆	Thunderous Shatter	シャタードナイトサンダー	썬더 브레이크	สายฟ้ารัตติกาล	用于解锁内特的碎夜疾霆	用於解鎖內特的碎夜疾霆	Unlocks Nate: Thunderous Shatter.	ネイト・シャタードナイトサンダーを解放するのに使える。	네이트의 썬더 브레이크 해제 시 사용된다	ใช้สำหรับปลดล็อก "สายฟ้ารัติกาล" ของเนท	获得等级为50级的UR战斗员，若已有该战斗员且等级低于50级，则转化成100核心并返还原有战斗员的全部养成资源；若等于高于50级，则转化成100核心	獲得等級為50級的UR戰鬥員，若已有該戰鬥員且等級低於50級，則轉化成100核心並返還原有戰鬥員的全部養成資源；若等於高於50級，則轉化成100核心	Obtain a Lv.50 UR Combatant. If you already have this Combatant and the level of this Combatant is lower than 50, converts into 100 Cores and refunds all the progression materials for this Combatant. If the level of this Combatant is equal or greater than 50, converts into 100 Cores instead.	Lv.50のUR戦闘員を獲得する。当該戦闘員(Lv.50未満)を所持している場合、100個の核心に変換され、当該戦闘員に使用された育成資源が全て返還されます。Lv.50以上の場合は、100個の核心に変換されます。	50레벨의 UR 전투원을 획득할 수 있으며, 기존에 해당 전투원을 보유하고 있고, 50레벨 미만이라면, 코어 100개로 전환되며, 기존 전투원을 육성시에 사용된 재료를 모두 반환하며, 50레벨 이상이라면 코어 100개로 전환된다	รับ​ตัวละคร​ UR​ เล​เวล​ 50​ หาก​มี​ตัวละคร​นี้​อยู่แล้ว​และ​เล​เวล​ต่ำกว่า​ 50​ จะ​เปลี่ยนเป็น​แกน​หลัก​ 100​ ชิ้น​ พร้อม​คืน​ทรัพยากร​การพัฒนา​ตัวละคร​ทั้งหมด​ หาก​มี​เล​เวล​ 50​ หรือ​สูง​กว่า​ จะ​เปลี่ยนเป็น​แกน​หลัก​ 100​ ชิ้น​
8612901	86	861	6	1	0	0	18:card_icon_129008_1	0	0	1002	1	狂想花骸	狂想花骸	Rhapsody Flower	花葬ラプソディ	플라워 리메인	บุปผาวิปลาส	用于解锁丝薇蒂的狂想花骸	用於解鎖絲薇蒂的狂想花骸	Unlocks Sylviette: Rhapsody Flower.	シルヴェッティ･花葬ラプソディを解放するのに使える。	스위티의 플라워 리메인 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ค​บุปผา​รัตติกาล​ของ​ซิ​ลเว็ตต์​	获得等级为50级的UR战斗员，若已有该战斗员且等级低于50级，则转化成100核心并返还原有战斗员的全部养成资源；若等于高于50级，则转化成100核心	獲得等級為50級的UR戰鬥員，若已有該戰鬥員且等級低於50級，則轉化成100核心並返還原有戰鬥員的全部養成資源；若等於高於50級，則轉化成100核心	Obtain a Lv.50 UR Combatant. If you already have this Combatant and the level of this Combatant is lower than 50, converts into 100 Cores and refunds all the progression materials for this Combatant. If the level of this Combatant is equal or greater than 50, converts into 100 Cores instead.	Lv.50のUR戦闘員を獲得する。当該戦闘員(Lv.50未満)を所持している場合、100個の核心に変換され、当該戦闘員に使用された育成資源が全て返還されます。Lv.50以上の場合は、100個の核心に変換されます。	50레벨의 UR 전투원을 획득할 수 있으며, 기존에 해당 전투원을 보유하고 있고, 50레벨 미만이라면, 코어 100개로 전환되며, 기존 전투원을 육성시에 사용된 재료를 모두 반환하며, 50레벨 이상이라면 코어 100개로 전환된다	รับ​ตัวละคร​ UR​ เล​เวล​ 50​ หาก​มี​ตัวละคร​นี้​อยู่แล้ว​และ​เล​เวล​ต่ำกว่า​ 50​ จะ​เปลี่ยนเป็น​แกน​หลัก​ 100​ ชิ้น​ พร้อม​คืน​ทรัพยากร​การพัฒนา​ตัวละคร​ทั้งหมด​ หาก​มี​เล​เวล​ 50​ หรือ​สูง​กว่า​ จะ​เปลี่ยนเป็น​แกน​หลัก​ 100​ ชิ้น​
8680101	86	861	6	1	0	0	18:card_icon_801008_1	0	0	1003	1	花间意	花間意	Floral Delicacy	花間意	꽃의 의미	เสน่ห์มวลบุปผา	用于解锁红茶的花间意(50级）	用於解鎖紅茶的花間意(50級）	Unlocks Black Tea: Floral Delicacy (Lv. 50).	紅茶･花間意（lv.50）を解放するのに使える。	꽃의 의미-홍차(50레벨) 해제 시에 사용된다.	ใช้​ใน​การ​ปลดล็อก​เสน่ห์มวลบุปผา​ของ​แบล็ก​ที​ (​เล​เวล​ 50)​	获得等级为50级的UR战斗员，若已有该战斗员且等级低于50级，则转化成100核心并返还原有战斗员的全部养成资源；若等于高于50级，则转化成100核心	獲得等級為50級的UR戰鬥員，若已有該戰鬥員且等級低於50級，則轉化成100核心並返還原有戰鬥員的全部養成資源；若等於高於50級，則轉化成100核心	Obtain a Lv.50 UR Combatant. If you already have this Combatant and the level of this Combatant is lower than 50, converts into 100 Cores and refunds all the progression materials for this Combatant. If the level of this Combatant is equal or greater than 50, converts into 100 Cores instead.	Lv.50のUR戦闘員を獲得する。当該戦闘員(Lv.50未満)を所持している場合、100個の核心に変換され、当該戦闘員に使用された育成資源が全て返還されます。Lv.50以上の場合は、100個の核心に変換されます。	50레벨의 UR 전투원을 획득할 수 있으며, 기존에 해당 전투원을 보유하고 있고, 50레벨 미만이라면, 코어 100개로 전환되며, 기존 전투원을 육성시에 사용된 재료를 모두 반환하며, 50레벨 이상이라면 코어 100개로 전환된다	รับ​ตัวละคร​ UR​ เล​เวล​ 50​ หาก​มี​ตัวละคร​นี้​อยู่แล้ว​และ​เล​เวล​ต่ำกว่า​ 50​ จะ​เปลี่ยนเป็น​แกน​หลัก​ 100​ ชิ้น​ พร้อม​คืน​ทรัพยากร​การพัฒนา​ตัวละคร​ทั้งหมด​ หาก​มี​เล​เวล​ 50​ หรือ​สูง​กว่า​ จะ​เปลี่ยนเป็น​แกน​หลัก​ 100​ ชิ้น​
8610201	86	861	6	1	0	0	18:card_icon_102012_1	0	0	1004	1	山明箬影	山明箬影	Mountain Trek	山中竹影	죽림의 그림자	ร่มเงาแห่งป่าไผ่	用于解锁艾可的山明箬影(50级）	用於解鎖艾可的山明箬影(50級）	Unlocks Echo: Mountain Trek (Lv. 50).	アイコ「山中竹影」（Lv.50）を解放するのに使える。	에코의 죽림의 그림자 해제 시 사용된다.(Lv.50)	ใช้​ใน​การ​ปลดล็อก​ร่มเงา​แห่ง​ป่าไผ่​ของ​เอ​ค​โค​ (​เล​เวล​ 50)​	获得等级为50级的UR战斗员，若已有该战斗员且等级低于50级，则转化成100核心并返还原有战斗员的全部养成资源；若等于高于50级，则转化成100核心	獲得等級為50級的UR戰鬥員，若已有該戰鬥員且等級低於50級，則轉化成100核心並返還原有戰鬥員的全部養成資源；若等於高於50級，則轉化成100核心	Obtain a Lv.50 UR Combatant. If you already have this Combatant and the level of this Combatant is lower than 50, converts into 100 Cores and refunds all the progression materials for this Combatant. If the level of this Combatant is equal or greater than 50, converts into 100 Cores instead.	Lv.50のUR戦闘員を獲得する。当該戦闘員(Lv.50未満)を所持している場合、100個の核心に変換され、当該戦闘員に使用された育成資源が全て返還されます。Lv.50以上の場合は、100個の核心に変換されます。	50레벨의 UR 전투원을 획득할 수 있으며, 기존에 해당 전투원을 보유하고 있고, 50레벨 미만이라면, 코어 100개로 전환되며, 기존 전투원을 육성시에 사용된 재료를 모두 반환하며, 50레벨 이상이라면 코어 100개로 전환된다	รับ​ตัวละคร​ UR​ เล​เวล​ 50​ หาก​มี​ตัวละคร​นี้​อยู่แล้ว​และ​เล​เวล​ต่ำกว่า​ 50​ จะ​เปลี่ยนเป็น​แกน​หลัก​ 100​ ชิ้น​ พร้อม​คืน​ทรัพยากร​การพัฒนา​ตัวละคร​ทั้งหมด​ หาก​มี​เล​เวล​ 50​ หรือ​สูง​กว่า​ จะ​เปลี่ยนเป็น​แกน​หลัก​ 100​ ชิ้น​
8614401	86	861	6	1	0	0	18:card_icon_144008_1	0	0	1005	1	黑桃A	黑桃A	Ace of Spades	スペードA	스페이스A	เอซโพธิ์ดำ	用于解锁千术的黑桃A(50级）	用於解鎖千術的黑桃A(50級）	Unlocks Trixie: Ace of Spades (Lv.50).	千術･スペードAを開放できる（Lv.50）。	트릭시의 스페이드 A(50레벨) 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​เอ​ซ​โพธิ์​ดำ​ของ​ท​ริก​ซี่​ (​เล​เวล​ 50)​	获得等级为50级的UR战斗员，若已有该战斗员且等级低于50级，则转化成100核心并返还原有战斗员的全部养成资源；若等于高于50级，则转化成100核心	獲得等級為50級的UR戰鬥員，若已有該戰鬥員且等級低於50級，則轉化成100核心並返還原有戰鬥員的全部養成資源；若等於高於50級，則轉化成100核心	Obtain a Lv.50 UR Combatant. If you already have this Combatant and the level of this Combatant is lower than 50, converts into 100 Cores and refunds all the progression materials for this Combatant. If the level of this Combatant is equal or greater than 50, converts into 100 Cores instead.	Lv.50のUR戦闘員を獲得する。当該戦闘員(Lv.50未満)を所持している場合、100個の核心に変換され、当該戦闘員に使用された育成資源が全て返還されます。Lv.50以上の場合は、100個の核心に変換されます。	50레벨의 UR 전투원을 획득할 수 있으며, 기존에 해당 전투원을 보유하고 있고, 50레벨 미만이라면, 코어 100개로 전환되며, 기존 전투원을 육성시에 사용된 재료를 모두 반환하며, 50레벨 이상이라면 코어 100개로 전환된다	รับ​ตัวละคร​ UR​ เล​เวล​ 50​ หาก​มี​ตัวละคร​นี้​อยู่แล้ว​และ​เล​เวล​ต่ำกว่า​ 50​ จะ​เปลี่ยนเป็น​แกน​หลัก​ 100​ ชิ้น​ พร้อม​คืน​ทรัพยากร​การพัฒนา​ตัวละคร​ทั้งหมด​ หาก​มี​เล​เวล​ 50​ หรือ​สูง​กว่า​ จะ​เปลี่ยนเป็น​แกน​หลัก​ 100​ ชิ้น​
8680601	86	861	6	1	0	0	18:card_icon_806008_1	0	0	1006	1	懵懂精灵	懵懂精靈	Innocent Sprite	無邪気な妖精	순수한 요정	ภูตเหมียวไร้เดียงสา	用于解锁可可的懵懂精灵(50级）	用於解鎖可可的懵懂精靈(50級）	Unlocks Cacao: Innocent Sprite (Lv.50).	カカオ･無邪気な妖精を開放できる（Lv.50）。	순수한 요정-카카오(50레벨)를 해제할 때 사용된다	ใช้​ใน​การ​ปลดล็อกภูตเหมียวไร้เดียงสา​ของ​โกโก้​ (​เล​เวล​ 50)​	获得等级为50级的UR战斗员，若已有该战斗员且等级低于50级，则转化成100核心并返还原有战斗员的全部养成资源；若等于高于50级，则转化成100核心	獲得等級為50級的UR戰鬥員，若已有該戰鬥員且等級低於50級，則轉化成100核心並返還原有戰鬥員的全部養成資源；若等於高於50級，則轉化成100核心	Obtain a Lv.50 UR Combatant. If you already have this Combatant and the level of this Combatant is lower than 50, converts into 100 Cores and refunds all the progression materials for this Combatant. If the level of this Combatant is equal or greater than 50, converts into 100 Cores instead.	Lv.50のUR戦闘員を獲得する。当該戦闘員(Lv.50未満)を所持している場合、100個の核心に変換され、当該戦闘員に使用された育成資源が全て返還されます。Lv.50以上の場合は、100個の核心に変換されます。	50레벨의 UR 전투원을 획득할 수 있으며, 기존에 해당 전투원을 보유하고 있고, 50레벨 미만이라면, 코어 100개로 전환되며, 기존 전투원을 육성시에 사용된 재료를 모두 반환하며, 50레벨 이상이라면 코어 100개로 전환된다	รับ​ตัวละคร​ UR​ เล​เวล​ 50​ หาก​มี​ตัวละคร​นี้​อยู่แล้ว​และ​เล​เวล​ต่ำกว่า​ 50​ จะ​เปลี่ยนเป็น​แกน​หลัก​ 100​ ชิ้น​ พร้อม​คืน​ทรัพยากร​การพัฒนา​ตัวละคร​ทั้งหมด​ หาก​มี​เล​เวล​ 50​ หรือ​สูง​กว่า​ จะ​เปลี่ยนเป็น​แกน​หลัก​ 100​ ชิ้น​
8610401	86	861	6	1	0	0	18:card_icon_104009_1	0	0	1007	1	破浪逐潮	破浪逐潮	Tide Chaser	波を逐う​	해변의 파도	ท้าทายคลื่นยักษ์	用于解锁南弥生的破浪逐潮(50级）	用於解鎖南彌生的破浪逐潮(50級）	Unlocks Minami: Tide Chaser (Lv. 50).	南弥生･波を逐う（Lv.50）​を解放するのに使える。	미나미의 해변의 파도 해제 시 사용된다 (레벨 50)	ใช้​ใน​การ​ปลดล็อก​ท้าทาย​คลื่น​ยักษ์​ของ​มิ​นา​มิ​ (​เล​เวล​ 50)​	获得等级为50级的UR战斗员，若已有该战斗员且等级低于50级，则转化成100核心并返还原有战斗员的全部养成资源；若等于高于50级，则转化成100核心	獲得等級為50級的UR戰鬥員，若已有該戰鬥員且等級低於50級，則轉化成100核心並返還原有戰鬥員的全部養成資源；若等於高於50級，則轉化成100核心	Obtain a Lv.50 UR Combatant. If you already have this Combatant and the level of this Combatant is lower than 50, converts into 100 Cores and refunds all the progression materials for this Combatant. If the level of this Combatant is equal or greater than 50, converts into 100 Cores instead.	Lv.50のUR戦闘員を獲得する。当該戦闘員(Lv.50未満)を所持している場合、100個の核心に変換され、当該戦闘員に使用された育成資源が全て返還されます。Lv.50以上の場合は、100個の核心に変換されます。	50레벨의 UR 전투원을 획득할 수 있으며, 기존에 해당 전투원을 보유하고 있고, 50레벨 미만이라면, 코어 100개로 전환되며, 기존 전투원을 육성시에 사용된 재료를 모두 반환하며, 50레벨 이상이라면 코어 100개로 전환된다	รับ​ตัวละคร​ UR​ เล​เวล​ 50​ หาก​มี​ตัวละคร​นี้​อยู่แล้ว​และ​เล​เวล​ต่ำกว่า​ 50​ จะ​เปลี่ยนเป็น​แกน​หลัก​ 100​ ชิ้น​ พร้อม​คืน​ทรัพยากร​การพัฒนา​ตัวละคร​ทั้งหมด​ หาก​มี​เล​เวล​ 50​ หรือ​สูง​กว่า​ จะ​เปลี่ยนเป็น​แกน​หลัก​ 100​ ชิ้น​
8602001	86	861	6	1	0	0	18:card_icon_101005_1	0	0	2001	1	涂鸦战争	塗鴉戰爭	Scribble Scramble	グラフィティ戦争	그래피티	สงครามกราฟฟิตี	GM用_用于解锁60级涂鸦战争	GM用_用於解鎖60級塗鴉戰爭	无翻译	GM_Lv.60グラフィティ戦争開放用	GM용_60레벨 그래피티 해제 시 사용된다	สำหรับ​ GM_​ใช้​ใน​การ​ปลดล็อก​ค​สงคราม​กราฟ​ฟิ​ตี​เล​เวล​ 60​	获得等级为60级的UR战斗员，若已有该战斗员且等级低于60级，则转化成100核心并返还原有战斗员的全部养成资源；若等于高于60级，则转化成100核心	獲得等級為60級的UR戰鬥員，若已有該戰鬥員且等級低於60級，則轉化成100核心並返還原有戰鬥員的全部養成資源；若等於高於60級，則轉化成100核心	Obtain a Lv.60 UR Combatant. If you already have this Combatant and the level of this Combatant is lower than 60, converts into 100 Cores and refunds all the progression materials for this Combatant. If the level of this Combatant is equal or greater than 60, converts into 100 Cores instead.	Lv.60のUR戦闘員を獲得する。当該戦闘員(Lv.60未満)を所持している場合、100個の核心に変換され、当該戦闘員に使用された育成資源が全て返還されます。Lv.60以上の場合は、100個の核心に変換されます。	60레벨의 UR 전투원을 획득할 수 있으며, 기존에 해당 전투원을 보유하고 있고, 60레벨 미만이라면, 코어 100개로 전환되며, 기존 전투원을 육성시에 사용된 재료를 모두 반환하며, 60레벨 이상이라면 코어 100개로 전환된다	รับ​ตัวละคร​ UR​ เล​เวล​ 60​ หาก​มี​ตัวละคร​นี้​อยู่แล้ว​และ​เล​เวล​ต่ำกว่า​ 60​ จะ​เปลี่ยนเป็น​แกน​หลัก​ 100​ ชิ้น​ พร้อม​คืน​ทรัพยากร​การพัฒนา​ทั้งหมด​ หาก​มี​เล​เวล​ 60​ หรือ​สูง​กว่า​ จะ​เปลี่ยนเป็น​แกน​หลัก​ 100​ ชิ้น​
8602003	86	861	6	1	0	0	18:card_icon_101008_1	0	0	2003	1	自由轮滑	自由輪滑	Freestyle Skater	フリースケーティング	프리 스케이팅	โรลเลอร์เบลด	GM用_用于解锁60级自由轮滑	GM用_用於解鎖60級自由輪滑	无翻译	GM_Lv.60フリースケーティング開放用	GM용_60레벨 프리 스케이팅 해제 시 사용된다	สำหรับ​ GM_​ใช้​ใน​การ​ปลดล็อก​โรล​เลอร์​เบล​ดเล​เวล​ 60​	获得等级为60级的UR战斗员，若已有该战斗员且等级低于60级，则转化成100核心并返还原有战斗员的全部养成资源；若等于高于60级，则转化成100核心	獲得等級為60級的UR戰鬥員，若已有該戰鬥員且等級低於60級，則轉化成100核心並返還原有戰鬥員的全部養成資源；若等於高於60級，則轉化成100核心	Obtain a Lv.60 UR Combatant. If you already have this Combatant and the level of this Combatant is lower than 60, converts into 100 Cores and refunds all the progression materials for this Combatant. If the level of this Combatant is equal or greater than 60, converts into 100 Cores instead.	Lv.60のUR戦闘員を獲得する。当該戦闘員(Lv.60未満)を所持している場合、100個の核心に変換され、当該戦闘員に使用された育成資源が全て返還されます。Lv.60以上の場合は、100個の核心に変換されます。	60레벨의 UR 전투원을 획득할 수 있으며, 기존에 해당 전투원을 보유하고 있고, 60레벨 미만이라면, 코어 100개로 전환되며, 기존 전투원을 육성시에 사용된 재료를 모두 반환하며, 60레벨 이상이라면 코어 100개로 전환된다	รับ​ตัวละคร​ UR​ เล​เวล​ 60​ หาก​มี​ตัวละคร​นี้​อยู่แล้ว​และ​เล​เวล​ต่ำกว่า​ 60​ จะ​เปลี่ยนเป็น​แกน​หลัก​ 100​ ชิ้น​ พร้อม​คืน​ทรัพยากร​การพัฒนา​ทั้งหมด​ หาก​มี​เล​เวล​ 60​ หรือ​สูง​กว่า​ จะ​เปลี่ยนเป็น​แกน​หลัก​ 100​ ชิ้น​
