id	nextId	sameTime	type	characterName	desc	fedesc	sceneType	sceneId	scenePivot	sceneScale	flashBackTime	screenAnim	screenTime	characterId	characterRes	faceId	action	loop	position	rotation	eyes	effect	enter	avatar	exist	music	sound	soundtime	loopSE	voice	fevoice	speaker	displayItem	itemAction	option	jumpId	durationTime	transientNum	battleGroupId	function	vague	lookAt	moveCamera	headEffect	feOption	feCharacterName	effectRootId	messageId	sceneBgId	EntryTip	bgEffectPos	speakId	speakIcon	status	characterName_zh_TW	characterName_en_UK	characterName_ja_JP	characterName_ko_KR	characterName_th_TH	fedesc_zh_TW	fedesc_en_UK	fedesc_ja_JP	fedesc_ko_KR	fedesc_th_TH	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	option_zh_TW	option_en_UK	option_ja_JP	option_ko_KR	option_th_TH	feOption_zh_TW	feOption_en_UK	feOption_ja_JP	feOption_ko_KR	feOption_th_TH	feCharacterName_zh_TW	feCharacterName_en_UK	feCharacterName_ja_JP	feCharacterName_ko_KR	feCharacterName_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	2		11				1	57:dialg_bg_303	8	1.1	2	17	-1	10900001					26		1					bgm_bg_gx_tower01																	6;0											1																														
2	3			雪豹	咕呜，哈——				8	1.1				10900001			100901		26		1			18:npc_icon_543_1	1		sfx_story_winter_xuebao																6;0											1	雪豹	Snow Leopard	ユキヒョウ	스노우 레오파드	เสือดาวหิมะ						咕嗚，哈——	Grr, haa—	ぐうっ、はッ――	크윽… 하——	กรร... โฮก—															
3	4			艾琳娜	竟然没有逃走？正好，收拾完那些搅局的家伙，就轮到你们了！				8	1.1				10900001		200302	100901		26		1																						6;0											1	艾琳娜	Erina	エリナ	에리나	เอรินา						竟然沒有逃走？正好，收拾完那些攪局的傢伙，就輪到你們了！	You didn't even try to escape? Perfect! After we handle these troublemakers, you're next!	逃げなかった……？ちょうどいいわ、そいつらを片づけたら、次はあんたたちの番よ！	도망 안 가? 좋아. 방해꾼 처리하고 다음은 너희 차례야——!	ไม่​คิด​หนี​งั้น​เหรอ​?​ ก็ดี​ พอ​จัดการ​เจ้า​พวก​ขวางหูขวางตา​เสร็จ​ ก็​ถึงตา​พวก​เธอ​แล้ว​!​															
4	5				<color=#d8d8d8>陌生的战斗让动物们显出疲态，雪莉见状急忙挡在她们前面。</color>				8	1.1				10900001		200302			26		1																						6;0											1											<color=#d8d8d8>陌生的戰鬥讓動物們顯出疲態，雪莉見狀急忙擋在她們前面。</color>	<color=#d8d8d8>The unfamiliar battle seemed to exhaust the animals, prompting Sherry to step in front of them protectively.</color>	<color=#d8d8d8>慣れない戦いに、動物たちは次第に疲弊していく。シェリーはそれを見るなり、慌てて仲間の前に立ちはだかった。</color>	<color=#d8d8d8>갑작스러운 전투에 동물들은 크게 지쳐갔고, 셀리는 당황하며 앞을 막아섰다.</color>	[​การต่อสู้​ที่​ไม่​คุ้นเคย​ทำให้​เห​ล่าสัตว์​แสดง​ความเหน็ดเหนื่อย​ออกมา​ เชอร์​รี​เห็น​ดังนั้น​จึง​รีบ​เข้ามา​ยืน​ขวาง​อยู่​หน้า​พวก​มัน​]​															
5	6		12	雪莉	住手！我们……是我们输了，请不要伤害他们！				8	1.1				10900001		200201			26		1			18:npc_icon_541_2	1																	1	6;0											1	雪莉	Sherry	シェリー	셀리	เชอร์รี						住手！我們……是我們輸了，請不要傷害他們！	Stop! We... we've lost. Please don't hurt them!	もうやめて！わ……私たちの負けでいいから、あの子たちを傷つけないで！	그만해! …졌어. 제발 내 동료는 다치게 하지 마!	หยุด​เถอะ​!​ พวกเรา​...​ พวกเรา​ยอมแพ้​แล้ว​ อย่า​ทำร้าย​พวก​มัน​เลย​นะ​!​															
6	7			米娅	艾、艾琳娜，它们好像受伤了……				8	1.1				10900001		200902			26		1			18:npc_icon_495_6	1																	1	6;0											1	米婭	Mia	ミーヤ	미아	มีอา						艾、艾琳娜，它們好像受傷了……	Um, Erina, they look injured...	エ、エリナ、動物たちケガしてるみたいです……	에, 에리나… 저 친구들, 많이 다친 것 같아…	อะ​...​เอ​ริ​นาคะ​ ดูเหมือน​พวก​มัน​จะ​บาดเจ็บ​อยู่​นะ​...​															
7	8			#playerName	事情似乎不太对劲……刚才的傀化也很突然……				8	1.1				10900001		200902			26		1																					0	6;0											1	#playerName	#playerName	#playerName	#playerName	#playerName						事情似乎不太對勁……剛才的傀化也很突然……	Something feels off... That Affliction appeared so suddenly.	何かおかしい……さっきの傀化も、あまりに突然すぎる……	이상하네… 퍼펫화도 너무 갑작스럽고…	สถานการณ์​ดู​แปลก​ๆ​ แฮะ​...​ สภาวะ​หุ่นเชิด​เมื่อกี้​เอง​ก็​เกิดขึ้น​อย่าง​กะทันหัน​ด้วย​...​															
8	9		12	艾琳娜	还不是因为这么多动物出现，引起了骚乱！				8	1.1				10900001		200302	100401		26		1																						6;0											1	艾琳娜	Erina	エリナ	에리나	เอรินา						還不是因為這麼多動物出現，引起了騷亂！	It's all because these animals causing chaos!	こんなにたくさんの動物が出てきて、騒ぎを起こしたからでしょう！	다 너 같은 동물 떼가 나타나서——!	ไม่​ใช่​เพราะ​สัตว์​พวก​นี้​โผล่​หัว​ออกมา​กัน​เยอะแยะ​แบบนี้​รึ​ไง​ เลย​ทำให้เกิด​ความวุ่นวาย​แบบนี้​น่ะ​!​															
9	10			雪莉	抱歉……我不知道……我们不是故意的……				8	1.1				10900001		200302	100401		26		1			18:npc_icon_541_3	1		sfx_story_winter_jiaobu															1	6;0											1	雪莉	Sherry	シェリー	셀리	เชอร์รี						抱歉……我不知道……我們不是故意的……	I'm so sorry... I didn't know... We never intended for this to happen.	ごめんなさい……本当に知らなかった……わざとやったわけじゃ、ないから……	미안… 정말… 일부러 그런 게 아니라… 우린… 그런…	ขอโทษ​...​ ฉัน​เอง​ก็​ไม่​รู้​...​ พวกเรา​ไม่​ได้​ตั้งใจ​...​															
