Id	close	mid	closeZoom	midZoom	mix	mixZoom	status
int	int	int	int	int	int	int	int
101008	0;0;0	0;0;0	1;1;1	1;1;1	0;-0.25;0	1;1;1	1
102008	0;0.28;0	0;0.178;0	1;1;1	1;1;1	0;-0.03;0	1;1;1	1
103008	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.2;0	1;1;1	1
104003	0;-0.045;0	0;0;0	1;1;1	1;1;1	0;-0.25;0	1;1;1	1
101014	0;0;0	0;0;0	1;1;1	1;1;1	0;-0.25;0	1;1;1	1
102018	0;0.28;0	0;0.178;0	1;1;1	1;1;1	0;-0.03;0	1;1;1	1
103017	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.2;0	1;1;1	1
104009	0;-0.045;0	0;0;0	1;1;1	1;1;1	0;-0.25;0	1;1;1	1
108008	0;0.35;0	0;0.178;0	1;1;1	1;1;1	0;-0.03;0	1;1;1	1
108007	0;0.35;0	0;0.178;0	1;1;1	1;1;1	0;-0.03;0	1;1;1	1
108006	0;0.35;0	0;0.178;0	1;1;1	1;1;1	0;-0.03;0	1;1;1	1
107008	0;-0.12;0	0;0;0	1;1;1	1;1;1	0;-0.27;0	1;1;1	1
106008	0;0.75;0	0;0.4;0	0.7;0.7;0.7	0.8;0.8;0.8	0;0.15;0	0.85;0.85;0.85	1
105008	0;0.35;0	0;0.25;0	0.9;0.9;0.9	0.9;0.9;0.9	0;-0.15;0	1;1;1	1
107010	0;-0.12;0	0;0;0	1;1;1	1;1;1	0;-0.27;0	1;1;1	1
106009	0;0.75;0	0;0.4;0	0.7;0.7;0.7	0.8;0.8;0.8	0;0.15;0	0.85;0.85;0.85	1
105004	0;0.35;0	0;0.25;0	0.9;0.9;0.9	0.9;0.9;0.9	0;-0.15;0	1;1;1	1
106011	0;0.75;0	0;0.4;0	0.7;0.7;0.7	0.8;0.8;0.8	0;0.15;0	0.85;0.85;0.85	1
20004	0;-0.12;0	0;0;0	1;1;1	1;1;1	0;-0.27;0	1;1;1	1
20005	0;0.8;0.451	0;0.2279;-0.817	1;1;1	1.1;1.1;1.1	0;0.15;0	1;1;1	1
20018	0;-0.12;0	0;0;0	1;1;1	1;1;1	0;-0.27;0	1;1;1	1
20019	0;0.28;0	0;0.178;0	1;1;1	1;1;1	0;-0.03;0	1;1;1	1
20020	0;0;0	0;0;0	1;1;1	1;1;1	0;-0.25;0	1;1;1	1
1028	0;0;0	0;0;0	1;1;1	1;1;1			1
1029	0;0.35;0	0;0.178;0	1;1;1	1;1;1			1
20024	0;-0.12;0	0;0;0	1;1;1	1;1;1			1
20025	0;-0.12;0	0;0;0	1;1;1	1;1;1			1
4006	0;0.28;0	0;0.178;0	1;1;1	1;1;1	0;0.1;0	0.8;0.8;0.8	1
20023	0;0.8;0.451	0;0.2279;-0.817	1;1;1	1.1;1.1;1.1	0;0.15;0	1;1;1	1
20030	0;-0.12;0	0;0;0	1;1;1	1;1;1	0;-0.27;0	1;1;1	1
109008	0;0.05;0	0;0;0	1;1;1	1;1;1	0;-0.2;0	1;1;1	1
10900001	0;0.05;0	0;0;0	1;1;1	1;1;1	0;-0.2;0	1;1;1	1
111008	0;0.05;0	0;0;0	1;1;1	1;1;1	0;-0.18;0	1;1;1	1
112008	0;0.27;0	0;0.16;0	1;1;1	1;1;1	0;-0.03;0	1;1;1	1
10300802	0;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.2;0	1;1;1	1
20033	0;0;0	0;0.02;0	1;1;1	1;1;1	0;-0.2;0	1;1;1	1
117008	0;0.28;0	0;0.178;0	1;1;1	1;1;1	0;-0.03;0	1;1;1	1
115008	0;-0.045;0	0;0;0	1;1;1	1;1;1	0;-0.25;0	1;1;1	1
20032	0;0;0	0;0.02;0	1;1;1	1;1;1	0;-0.2;0	1;1;1	1
114008	0;0;0	0;0;0	1;1;1	1;1;1	0;-0.15;0	1;1;1	1
113008	0;0.28;0	0;0.178;0	1;1;1	1;1;1	0;-0.03;0	1;1;1	1
100008						1;1;1	1
127008	0;0;0	0;0;0	1;1;1	1;1;1	0;-0.17;0	1;1;1	1
131008	0;0.28;0	0;0.178;0	1;1;1	1;1;1	0;0.1;0	0.9;0.9;0.9	1
110008	0;0;0	0;0;0	1;1;1	1;1;1	0;-0.2;0	1;1;1	1
130008	0;0;0	0;0;0	1;1;1	1;1;1	 0;-0.1;0	1;1;1	1
138008	0;0.05;0	0;0;0	1;1;1	1;1;1	0;-0.18;0	1;1;1	1
129008	0;0;0	0;0;0	1;1;1	1;1;1	0;-0.2;0	1;1;1	1
10802	0;0.35;0	0;0.178;0	1;1;1	1;1;1	0;-0.03;0	1;1;1	1
4026	0;0.28;0	0;0.178;0	1;1;1	1;1;1	0;0.3;0	0.4;0.4;0.4	1
4025	0;0.28;0	0;0.178;0	1;1;1	1;1;1	0;0.3;0	0.4;0.4;0.4	1
135008	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.16;0	1;1;1	1
121008	0;0;0	0;0;0	1;1;1	1;1;1	0;-0.16;0	1;1;1	1
126008	0;0.28;0	0;0.178;0	1;1;1	1;1;1	0;-0.03;0	1;1;1	1
136008	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.16;0	1;1;1	1
123008	0;0;0	0;0;0	1;1;1	1;1;1	0;-0.17;0	1;1;1	1
125008	0;0;0	0;0;0	1;1;1	1;1;1	0;0.17;0	0.85;0.85;0.85	1
140008	0;0;0	0;0;0	1;1;1	1;1;1	0;-0.17;0	1;1;1	1
129001	0;0;0	0;0;0	1;1;1	1;1;1	0;-0.17;0	1;1;1	1
116008	0;-0.12;0	0;0;0	1;1;1	1;1;1	0;-0.27;0	1;1;1	1
132008	0;0;0	0;0;0	1;1;1	1;1;1	0;-0.15;0	1;1;1	1
114002	0;0;0	0;0;0	1;1;1	1;1;1	0;-0.15;0	1;1;1	1
113002	0;0.28;0	0;0.178;0	1;1;1	1;1;1	0;-0.03;0	1;1;1	1
143008	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.16;0	1;1;1	1
803008	0;0.28;0	0;0.178;0	1;1;1	1;1;1	0;0.1;0	0.9;0.9;0.9	1
801008	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.16;0	1;1;1	1
