groupId	prechangeId	postchangeId	hour	status	hash	location	location_zh_TW	location_en_UK	location_ja_JP	location_ko_KR	location_th_TH	day	day_zh_TW	day_en_UK	day_ja_JP	day_ko_KR	day_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
countdown_01	136	136		1	e7ea59509118d55fe4d21159f3ca4932												
countdown_02			8:21	1	90322432041719b528872ef623643342	？？？	？？？	???	？？？	???	???	2217/8/30	2217/8/30	August 30, 2217	2217/8/30	2217년 8월 30일	30/08/2217  
countdown_03			8:52	1	1964a0b1d3c167bc847ea919d55dd88a	贝克街	貝克街	Baker Street	ベイカーストリート	베이커 가	ถนนเบเกอร์	2217/8/30	2217/8/30	August 30, 2217	2217/8/30	2217년 8월 30일	30/08/2217  
countdown_04			9:21	1	3d284aadb577ad4b0b375e0da0ae56fc	贝克猫餐厅	貝克貓餐廳	Baker's Cafe	ベイカーキャットレストラン	베이커캣 카페테리아	เบเกอร์คาเฟ่	2217/8/30	2217/8/30	August 30, 2217	2217/8/30	2217년 8월 30일	30/08/2217  
countdown_05			10:07	1	cdf540054fc9a13348b20486ef2ec958	贝克猫餐厅	貝克貓餐廳	Baker's Cafe	ベイカーキャットレストラン	베이커캣 카페테리아	เบเกอร์คาเฟ่	2217/8/30	2217/8/30	August 30, 2217	2217/8/30	2217년 8월 30일	30/08/2217  
countdown_06			11:21	1	5d850c5972a81199456357aecddbf569	贝克猫餐厅	貝克貓餐廳	Baker's Cafe	ベイカーキャットレストラン	베이커캣 카페테리아	เบเกอร์คาเฟ่	2217/8/30	2217/8/30	August 30, 2217	2217/8/30	2217년 8월 30일	30/08/2217  
countdown_07			17:52	1	0306fb629e0d3b10332885a75a5e09fb	贝克猫餐厅 一楼	貝克貓餐廳 一樓	1st Floor, Baker's Cafe	ベイカーキャットレストラン　1階	베이커캣 카페테리아 1층	เบเกอร์คาเฟ่ ชั้น 1	2217/8/30	2217/8/30	August 30, 2217	2217/8/30	2217년 8월 30일	30/08/2217  
countdown_08			18:01	1	e61c056a0939e9cd5e606b7f8eb6a139	五城广场附近街道	五城廣場附近街道	Near Quintupolis Plaza	五城広場付近の町	펜타폴리스 근처 거리	ถนนรอบจัตุรัสควินซ์	2217/8/30	2217/8/30	August 30, 2217	2217/8/30	2217년 8월 30일	30/08/2217  
countdown_09			20:31	1	d2b76a195c1885791d4c826faa8169a6	贝克猫餐厅 一楼	貝克貓餐廳 一樓	1st Floor, Baker's Cafe	ベイカーキャットレストラン　1階	베이커캣 카페테리아 1층	เบเกอร์คาเฟ่ ชั้น 1	2217/8/30	2217/8/30	August 30, 2217	2217/8/30	2217년 8월 30일	30/08/2217  
countdown_10			22:19	1	f69790eac11b967f9982392231f463eb	昆士区边缘 老街	昆士區邊緣 老街	Old Street, Quince Outskirts	コンシ区の端の古い街	퀸즈 타운 경계 옛 거리	ถนนเก่า ชายขอบเขตควินซ์	2217/8/30	2217/8/30	August 30, 2217	2217/8/30	2217년 8월 30일	30/08/2217  
countdown_11			22:46	1	66823ef5b8e4f85acf74e65a8f41cd9b	昆士区边缘 老街	昆士區邊緣 老街	Old Street, Quince Outskirts	コンシ区の端の古い街	퀸즈 타운 경계 옛 거리	ถนนเก่า ชายขอบเขตควินซ์	2217/8/30	2217/8/30	August 30, 2217	2217/8/30	2217년 8월 30일	30/08/2217  
countdown_12			23:01	1	b2fd03890cb505f21674dfd885908bf6	昆士区边缘 老街	昆士區邊緣 老街	Old Street, Quince Outskirts	コンシ区の端の古い街	퀸즈 타운 경계 옛 거리	ถนนเก่า ชายขอบเขตควินซ์	2217/8/30	2217/8/30	August 30, 2217	2217/8/30	2217년 8월 30일	30/08/2217  
countdown_13			23:17	1	afcd97e247a19167607a915e8a4e2e2d	昆士区民居 客厅	昆士區民居 客廳	Living Room, Quince Residence	コンシ区の民居 リビング	퀸즈 타운 민가 거실	บ้านในเขตควินซ์ ห้องนั่งเล่น	2217/8/30	2217/8/30	August 30, 2217	2217/8/30	2217년 8월 30일	30/08/2217  
countdown_14			23:52	1	bd8fd61a67fa73ea3718678e47b4f484	昆士区民居 儿童房	昆士區民居 兒童房	Elle's Room, Quince Residential Area	コンシ区の民居 子供部屋	퀸즈 타운 민가 아이방	ห้องเด็ก บ้านพักเขตควินซ์	2217/8/30	2217/8/30	August 30, 2217	2217/8/30	2217년 8월 30일	30/08/2217  
countdown_15	136	135		1	4dfe7d33ff43f32787bf63b3acdd26f0												
countdown_16			0:01	1	595be12821a28a31b8fe9eff448672c5	昆士区民居 儿童房	昆士區民居 兒童房	Elle's Room, Quince Residential Area	コンシ区の民居 子供部屋	퀸즈 타운 민가 아이방	ห้องเด็ก บ้านพักเขตควินซ์	2217/8/31	2217/8/31	August 31, 2217	2217/8/31	2217년 8월 31일	31/08/2217  
countdown_17			0:35	1	1efe262052dbd6c542f88718884f100c	昆士区边缘 老街	昆士區邊緣 老街	Old Street, Quince Outskirts	コンシ区の端の古い街	퀸즈 타운 경계 옛 거리	ถนนเก่า ชายขอบเขตควินซ์	2217/8/31	2217/8/31	August 31, 2217	2217/8/31	2217년 8월 31일	31/08/2217  
countdown_18			0:57	1	b7261e69bf67d2945c84680822b3f911	贝克街	貝克街	Baker Street	ベイカーストリート	베이커 가	ถนนเบเกอร์	2217/8/31	2217/8/31	August 31, 2217	2217/8/31	2217년 8월 31일	31/08/2217  
