id	nextId	sameTime	type	characterName	desc	fedesc	sceneType	sceneId	scenePivot	sceneScale	flashBackTime	screenAnim	screenTime	characterId	characterRes	faceId	action	loop	position	rotation	eyes	effect	enter	avatar	exist	music	sound	soundtime	loopSE	voice	fevoice	speaker	displayItem	itemAction	option	jumpId	durationTime	transientNum	battleGroupId	function	vague	lookAt	moveCamera	headEffect	feOption	feCharacterName	effectRootId	messageId	sceneBgId	EntryTip	bgEffectPos	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	2				<color=#d8d8d8>风轻云淡，连街上行人的脚步都显得轻快了起来。</color>		1	57:dialg_bg_33	8	1.1		17	-1	803008;801008					14;26		1						sfx_story_01_fengling		sfx_story_03_guangchang														1;0									1
2	3			米饭	好可惜啊，特莉丝小姐和小曼都没时间和我们一起准备。				8	1.1				803008;801008		200801;0			14;26		1																					0;803008	1;0									1
3	4			红茶	毕竟小曼要去上辅导课，而特莉丝小姐之后还有工作。				8	1.1				803008;801008		201201;0			14;26		1																					801008;803008	1;0									1
4	5			米饭	可明明她们刚刚这么期待……				8	1.1				803008;801008		200801;0	100901;0		14;26		1																					801008;803008	1;0									1
5	6			#playerName	是啊，所以我们几个要好好努力，这样才不会辜负大家的期待啊。				8	1.1				803008;801008		201201;0	100901;0		14;26		1																						1;0									1
6	7			米饭	嗯！我一定会努力的！				8	1.1				803008;801008		200101;0			14;26		1																						1;0									1
7	8			红茶	包在我身上。				8	1.1				803008;801008			0;101301		14;26		1																					801008;0	1;0									1
8	9			安妮	呵呵……谢谢你们。				8	1.1				803008;801008			0;101301		14;26		1			18:npc_icon_708_1	1																	1;1	46;1									1
9	10			安妮	只是没想到，连贝斯特你也一起出来了……				8	1.1				803008;801008					14;26		1			18:npc_icon_708_1	1																	1;1	46;1									1
10	11			贝斯特	唔，我只是不想留下来看店罢了。				8	1.1				803008;801008					14;26		1			18:npc_icon_562_1	1																	1;1	46;1									1
11	12			#playerName	那在去游乐园之前，我们先去那边的商场买点需要的东西做准备吧。				8	1.1				803008;801008					14;26		1																						1;1									1
12	13		11				1	57:dialg_bg_100			0.6										1																															1
13	14		2		昆士区丨商场一楼																1						op_jianpan		-1																							1
14	15				<color=#d8d8d8>在这里忙忙碌碌地转悠了一会儿，突然在商场的另一边听到了一个熟悉的声音。</color>		1	57:dialg_bg_67				17	-1								1																															1
15	16			铃	叮当叮当~今天是本店新开业的酬宾活动。																1			18:npc_icon_388_1	1	bgm_shop																										1
16	17			铃	不仅有活动限定的新品组合和礼包，还有各种大额折扣和满赠哦！																1			18:npc_icon_388_1	1																											1
17	18			米饭	那家店铺看上去很有人气呢！				7	1.1				803008;801008			100201;0		14;26		1																					1;1	1;1									1
18	19			红茶	是啊，店里也有很多人排队。				7	1.1				803008;801008			100201;101001		14;26		1																					1;1	1;1									1
19	20			#playerName	啊……是小铃啊。				7	1.1				803008;801008		201201;0	100201;101001		14;26		1																						1;1									1
20	21				<color=#d8d8d8>大家面前的铃永远都是元气满满的样子，可爱的笑容总能吸引所有人的目光。</color>				7	1.1				803008;801008		200801;0			14;26		1																						1;1									1
21	22			米饭	小铃？是调查官大人认识的人吗？				7	1.1				803008;801008		200801;0			14;26		1																						1;1									1
22	23			#playerName	嗯，是啊。				7	1.1				803008;801008					14;26		1																						1;1									1
23	24			米饭	那我们去看看吧~				7	1.1				803008;801008		200101;0			14;26		1																						1;1									1
24	25		11						5	1.1	1.5										1						sfx_story_01_keting																									1
25	26			铃	店长你好呀，和朋友们一起来这里购物吗？				5	1.1											1			18:npc_icon_388_1	1																		46;1									1
26	27			#playerName	是啊，这是小铃新开的店吗？				5	1.1											1																						46;1									1
27	28			铃	啊，是朋友新开的店铺，我是来帮忙的。\n对了，大家要不要进来看看呢？				5	1.1											1			18:npc_icon_388_1	1																		46;1									1
28			3						5	1.1											1														好啊。	29							46;1									1
29	30			#playerName	正好因为，我们有些挑花了眼，想听听看小铃你的推荐。				5	1.1											1																						46;1									1
30	31			铃	没问题，店长想要哪方面的推荐呢？				5	1.1											1			18:npc_icon_388_1	1																		46;1									1
31	32			#playerName	安妮小姐想要为自己的好友举办生日会，我们正准备去布置现场。				5	1.1											1																						46;1									1
32	33			#playerName	所以，想让你推荐一些女孩子们会喜欢的小惊喜。				5	1.1											1																						46;1									1
33	34			铃	明白啦，那在推荐之前，小铃想了解一下——安妮小姐的朋友是个怎样的人呢？				5	1.1											1			18:npc_icon_388_1	1																		46;1									1
34	35			安妮	她平日里比较低调安静，感觉没什么特别的喜好，但喜欢比较刺激的口味……				5	1.1											1			18:npc_icon_708_1	1																		46;1									1
35	36			贝斯特	呃……这么说来，我每次见到那家伙，她都在喝超级苦的咖啡。				5	1.1											1			18:npc_icon_562_6	1																		46;1									1
36	37			铃	了解！那让小铃想想有什么适合的商品吧！				5	1.1											1			18:npc_icon_388_1	1																		46;1									1
37	38			艾可	嘿嘿~这种事情，问我这个天才美少女就好啦！				5	1.1											1					-1	sfx_story_01_tingxia																46;1									1
38	39				<color=#d8d8d8>故作神秘的艾可不知从哪里冒了出来，而她身后的少女也很快靠近。</color>				7	1.1				102008;101008			10205;0		20;27		1					bgm_role_echo_troublemaker																	9;0									1
39	41			#playerName	<color=#d8d8d8>艾可，非天，你们怎么也在这里？</color>				7	1.1				102008;101008			10205;0		20;27		1																						9;0									1
41	43			非天	嗯，听说这里新店刚刚开张，正缺人手，我们就过来帮忙了。				7	1.1				102008;101008		0;200101	10205;10214		20;27		1																					101008;0	9;0									1
43	44			艾可	店长店长，你听我说，我这可有个好东西，你们肯定会喜欢！				7	1.1				102008;101008			10201;0		20;27		1																					0;102008	9;0									1
44			3						7	1.1				102008;101008			10201;0		20;27		1														哦？是什么？;该不会是你手里拿的这个吧？	45;53						0;102008	9;0									1
45	46			艾可	锵锵——答案就是艾可最爱的快乐水啦！				7	1.1				102008;101008		0;200601	0;10213		20;27		1																					0;102008	9;0									1
46	47			艾可	这是我最爱的那个品牌推出的新品快乐水「Neko Cola」~				7	1.1				102008;101008		0;200601	101101;10213		20;27		1																					0;102008	9;0									1
47	48			#playerName	这……除了这个瓶子设计成猫的样子之外，还有什么特别之处吗？				7	1.1				102008;101008		0;200601	101101;10213		20;27		1																					0;102008	9;0									1
48	49			艾可	哼哼~当然。它可不止是外表可爱哦，更重要的是——				7	1.1				102008;101008		201301;200601	0;10213		20;27		1																					0;102008	9;0									1
49	50			艾可	这款饮料还能根据人的情绪显现出不同的颜色！				7	1.1				102008;101008		0;200601	100101;10213		20;27		1																					0;102008	9;0									1
50	51			艾可	生日的时候有它在，还能测试对方的心情呢！比如喜不喜欢这份礼物……				7	1.1				102008;101008		0;200601	100101;10213		20;27		1																					0;102008	9;0									1
51	52			贝斯特	如果测试出不喜欢会很尴尬吧。				7	1.1				102008;101008		200201;200601	100101;10213		20;27		1			18:npc_icon_562_1	1																	0;102008	9;0									1
52	60			艾可	唔、唔……				7	1.1				102008;101008		200701;200601	0;10213		20;27		1																					0;102008	9;0									1
53	54			艾可	店长，你这是什么表情？\n你是看不起艾可最爱的快乐水吗？				7	1.1				102008;101008		200302;200601	0;10213		20;27		1																					0;102008	9;0									1
54	55			#playerName	当然不是，这个看上去是挺可爱的，不过我很好奇你推荐它的理由。				7	1.1				102008;101008		200201;200601	0;10213		20;27		1																					0;102008	9;0									1
55	56			艾可	这是最近大家都力推的新品快乐水「Neko Cola」，外表可爱只是她的优点之一。				7	1.1				102008;101008		0;200601	0;10213		20;27		1																					0;102008	9;0									1
56	57			艾可	它的特别之处可是能够根据人的情绪显现不同的颜色哦！				7	1.1				102008;101008		0;200601	10205;10213		20;27		1																					0;102008	9;0									1
57	58			艾可	比如要是在高兴的状态下，里面的快乐水就会变成热烈的红色哦！				7	1.1				102008;101008		0;200601	10205;10213		20;27		1																					0;102008	9;0									1
58	59			安妮	感觉很有趣呢，不过碳酸饮料不像是她会喜欢的口味……				7	1.1				102008;101008		200201;200601	10205;10213		20;27		1			18:npc_icon_708_1	1																	1;1	9;0									1
59	60			艾可	怎么会，这个世界怎么会有人能拒绝快乐水呢？				7	1.1				102008;101008		200401;200601	0;10213		20;27		1																					1;1	9;0									1
60	61			#playerName	好了好了，艾可。这个虽然很特别，但似乎并不适合送给萝丝小姐呢。				7	1.1				102008;101008		200201;0			20;27		1																						9;0									1
61	63			艾可	呜……连店长都这么说。				7	1.1				102008;101008		200401;0			20;27		1																						9;0									1
63	64			非天	你已经很努力了……				7	1.1				102008;101008		200401;200101	0;100201		20;27		1																					101008;102008	9;0									1
64	65			米饭	我、我很喜欢这个快乐水哦！				7	1.1				803008;102008;101008		200101;200201;0	0;0;100201		13;20;27		1																					102008;803008;803008	1;1									1
65	66			艾可	真的吗？还是有人有眼光的啊！				7	1.1				803008;102008;101008			0;10201;0		13;20;27		1																					102008;803008;803008	1;1									1
66	67				<color=#d8d8d8>艾可一下子又来了精神，开始和米饭推荐了其他的快乐水。</color>				7	1.1				803008;102008;101008					13;20;27		1																					102008;803008;803008	1;1									1
67	68		11								1										1					-1	sfx_story_01_shafa																									1
68	69				<color=#d8d8d8>就在这时，小铃抱着一个包装精美的盒子走来。</color>																1																															1
69	70			铃	久等了大家，小铃这次推荐的是这个哦~																1			18:npc_icon_388_1	1		sfx_story_01_shafa																									1
